flow_ID DPDK_proc_time frwd_proc_time
12828 8092 661
540 7852 663
21021 7418 664
25117 7401 664
21023 5420 664
25119 7501 662
12830 7367 662
542 7338 664
12862 7604 663
574 7381 662
21055 7323 663
25151 7347 661
21053 7588 662
25149 7398 663
12860 7724 662
572 7332 661
21048 7530 663
25144 7295 662
12857 7397 662
569 7483 663
12859 7449 664
571 7589 662
21050 7377 662
25146 7715 662
21042 7819 663
25138 7423 661
12851 8010 665
563 7621 664
12849 7371 665
561 7415 667
21040 7433 665
25136 7874 666
12852 7384 663
564 6265 664
21045 7365 664
25141 7535 662
21047 7328 664
25143 7386 662
12854 7321 661
566 8437 665
21030 7553 665
25126 7383 663
12839 7505 665
551 7396 664
12837 7381 664
549 7395 662
21028 7352 663
25124 7494 662
12832 7831 663
544 7302 660
21025 7753 662
25121 7346 662
21027 7334 665
25123 7321 663
12834 7365 663
546 7320 661
12842 7354 662
554 7368 664
21035 7347 663
25131 7768 664
21033 7409 663
25129 7789 663
12840 7341 663
552 7795 663
21036 7346 662
25132 7505 662
12845 7895 662
557 7396 664
12847 7396 664
559 7494 663
21038 7792 662
25134 7815 663
13014 7353 662
726 7350 666
21207 7327 665
25303 7937 665
21205 7337 665
25301 7358 663
13012 7385 662
724 7504 663
21200 7400 662
25296 7525 666
13009 7401 664
721 7358 663
13011 7348 666
723 7435 665
21202 7495 661
25298 7422 664
21210 7815 663
25306 7816 665
13019 7320 663
731 7469 664
13017 7234 663
729 7226 663
21208 7242 663
25304 7215 666
13020 7266 662
732 7368 662
21213 7486 662
25309 7367 666
21215 7484 665
25311 7833 663
13022 7622 661
734 7652 660
21198 7384 661
25294 7434 663
13007 8036 664
719 7341 666
13005 7429 663
717 7424 665
21196 7374 663
25292 7694 663
13000 7730 662
712 7446 664
21193 7517 664
25289 7348 663
21195 7425 666
25291 7355 662
13002 7365 663
714 7350 663
12994 7306 661
706 7525 664
21187 7373 662
25283 7832 664
21185 7365 663
25281 7488 664
12992 7619 661
704 7543 663
21188 7483 662
25284 7441 662
12997 7380 663
709 7379 665
12999 7405 665
711 7825 665
21190 7337 664
25286 7391 663
21222 7324 662
25318 7358 664
13031 7372 662
743 7374 665
13029 7413 663
741 7357 664
21220 7389 667
25316 7412 663
13024 7772 662
736 7452 663
21217 7373 661
25313 7407 665
21219 7357 662
25315 7449 663
13026 7534 662
738 7334 667
13034 7723 662
746 7408 662
21227 7301 666
25323 7566 664
21225 8388 664
25321 7302 661
13032 7387 664
744 7439 663
21228 7245 663
25324 7488 663
13037 7310 663
749 7308 664
13039 7648 662
751 7328 662
21230 7330 662
25326 7364 664
13054 7943 664
766 7304 661
21247 7324 665
25343 7222 664
21245 7550 661
25341 7239 661
13052 7256 662
764 7196 663
21240 7321 662
25336 7466 662
13049 7629 662
761 7341 666
13051 7308 662
763 7316 663
21242 7368 662
25338 7630 664
21234 7442 665
25330 7317 664
13043 7698 665
755 7294 663
13041 7431 661
753 7784 662
21232 7352 662
25328 7366 663
13044 7311 665
756 7303 664
21237 7331 664
25333 7313 664
21239 7386 664
25335 7395 665
13046 7410 664
758 7335 664
21246 7313 665
25342 7459 664
13055 7521 665
767 7481 662
13053 7380 664
765 7318 663
21244 7344 662
25340 7398 662
13048 7301 664
760 7317 662
21241 7423 662
25337 7325 665
21243 7351 663
25339 7267 661
13050 7208 662
762 7314 664
13042 7368 661
754 7352 663
21235 7531 667
25331 7847 662
21233 7481 665
25329 7665 663
13040 7372 666
752 7297 663
21236 7287 662
25332 7365 663
13045 7416 663
757 7385 663
13047 7480 663
759 7321 661
21238 7326 663
25334 7258 664
13030 7740 664
742 7405 662
21223 7303 663
25319 7577 664
21221 7625 663
25317 7793 663
13028 7944 665
740 7669 661
21216 7321 666
25312 7340 664
13025 7830 662
737 7575 664
13027 7471 664
739 7216 662
21218 7451 664
25314 7360 663
21226 7568 661
25322 7353 667
13035 7431 663
747 7483 667
13033 7990 661
745 7358 661
21224 7321 664
25320 7605 662
13036 7321 663
748 7335 664
21229 9905 663
25325 7785 663
21231 7344 663
25327 7798 662
13038 7405 661
750 7304 665
13006 7692 663
718 7453 664
21199 8775 660
25295 7336 662
21197 7507 661
25293 7422 664
13004 7344 664
716 7342 664
21192 7342 663
25288 7378 663
13001 10168 664
713 7401 664
13003 7774 663
715 7377 665
21194 7597 662
25290 7426 665
21186 7329 662
25282 7315 666
12995 7803 664
707 7816 663
12993 7335 663
705 7392 662
21184 7360 662
25280 7679 664
12996 7311 663
708 7738 664
21189 9841 665
25285 7657 663
21191 7404 663
25287 8100 662
12998 7431 662
710 7372 664
21206 8704 663
25302 7346 665
13015 7414 660
727 7880 663
13013 7398 662
725 7350 663
21204 7596 662
25300 7450 662
13008 7364 662
720 7380 662
21201 10141 664
25297 7662 663
21203 7312 663
25299 7614 663
13010 7438 666
722 7398 663
13018 7623 662
730 7479 665
21211 7373 663
25307 7344 664
21209 7524 663
25305 7378 668
13016 7490 662
728 7321 663
21212 7553 663
25308 7321 662
13021 9716 661
733 7520 665
13023 7807 663
735 7488 663
21214 8382 665
25310 7853 662
21126 7403 665
25222 7342 664
12935 7301 665
647 7876 661
12933 7304 663
645 7477 663
21124 7589 662
25220 7369 663
12928 7292 665
640 7419 663
21121 9909 663
25217 7351 662
21123 7472 664
25219 7243 664
12930 7300 665
642 7638 661
12938 7310 662
650 7334 665
21131 7286 666
25227 7353 664
21129 7335 664
25225 7332 664
12936 7395 663
648 7290 663
21132 7370 664
25228 7313 662
12941 9944 664
653 7550 663
12943 8548 663
655 7829 664
21134 7437 662
25230 7223 663
12958 7194 663
670 7430 664
21151 7350 662
25247 7356 661
21149 7123 665
25245 7343 665
12956 7719 663
668 7402 663
21144 7319 665
25240 7343 663
12953 10203 664
665 7525 662
12955 7980 662
667 7288 661
21146 7421 662
25242 7811 665
21138 7521 664
25234 7384 664
12947 7419 663
659 7499 661
12945 7639 662
657 7512 663
21136 7278 665
25232 7210 664
12948 7222 663
660 7335 667
21141 11172 662
25237 7249 664
21143 7215 662
25239 7318 664
12950 7421 664
662 7463 662
12982 7360 663
694 7395 663
21175 7409 663
25271 7376 662
21173 7470 664
25269 7444 663
12980 7556 667
692 7573 663
21168 7343 667
25264 7357 662
12977 9829 664
689 7391 663
12979 7455 663
691 7300 663
21170 7356 664
25266 7278 663
21178 7242 666
25274 7302 664
12987 7275 663
699 7236 663
12985 7188 666
697 7666 662
21176 7344 662
25272 7324 662
12988 8385 662
700 7230 661
21181 9862 663
25277 7404 665
21183 7889 664
25279 7666 662
12990 7337 663
702 7529 664
21166 7351 664
25262 7709 664
12975 7371 661
687 7368 663
12973 7420 661
685 7857 663
21164 7345 664
25260 7365 662
12968 7571 664
680 7480 664
21161 10302 663
25257 7567 662
21163 7358 664
25259 7625 665
12970 7781 661
682 7571 663
12962 7365 664
674 7643 663
21155 7383 663
25251 7366 663
21153 7382 661
25249 7352 662
12960 8443 663
672 7802 664
21156 7548 663
25252 7435 664
12965 10368 664
677 7965 661
12967 7475 663
679 7448 660
21158 7447 662
25254 8145 662
12974 7868 660
686 7389 665
21167 7479 664
25263 7157 660
21165 7419 667
25261 7501 662
12972 7367 663
684 7890 665
21160 7362 663
25256 7558 664
12969 9812 663
681 7522 663
12971 7886 665
683 7837 663
21162 7371 663
25258 7833 664
21154 7399 661
25250 7475 661
12963 7649 665
675 7550 663
12961 7894 663
673 7278 664
21152 7421 665
25248 7520 665
12964 7347 663
676 7291 662
21157 10424 663
25253 7874 664
21159 7358 664
25255 7392 664
12966 7316 664
678 7539 662
21174 7430 665
25270 7503 664
12983 7334 661
695 7552 665
12981 7406 665
693 7382 662
21172 7551 666
25268 7309 663
12976 7241 662
688 7324 665
21169 9881 661
25265 7291 663
21171 7315 663
25267 7301 663
12978 7379 661
690 7407 664
12986 7880 665
698 7337 664
21179 8076 661
25275 7325 664
21177 7370 663
25273 8243 664
12984 8607 663
696 7396 665
21180 7271 664
25276 7395 665
12989 10183 664
701 7143 664
12991 7471 663
703 7319 663
21182 7892 666
25278 7409 662
21150 7424 664
25246 7269 665
12959 7397 663
671 7316 663
12957 8198 662
669 7594 665
21148 7653 665
25244 7257 661
12952 7197 662
664 7690 664
21145 9602 663
25241 7439 663
21147 7276 667
25243 7278 662
12954 7556 666
666 7365 664
12946 8104 665
658 7138 661
21139 7330 661
25235 7412 664
21137 7438 661
25233 7175 664
12944 7158 665
656 7752 664
21140 7538 663
25236 7439 663
12949 9798 664
661 7299 665
12951 7683 661
663 7159 663
21142 7470 662
25238 7720 663
12934 7415 664
646 7330 665
21127 7481 666
25223 7316 662
21125 7452 666
25221 7377 661
12932 7314 661
644 7322 662
21120 7396 663
25216 7184 665
12929 9963 664
641 7363 662
12931 7801 664
643 7543 665
21122 7673 663
25218 7693 665
21130 7166 666
25226 7159 662
12939 7103 663
651 7475 662
12937 7406 664
649 7279 664
21128 7488 664
25224 7370 663
12940 7380 663
652 7316 662
21133 9707 663
25229 7427 665
21135 7625 667
25231 7152 665
12942 7401 663
654 7328 665
13110 7413 663
822 7270 663
21303 7450 663
25399 7692 661
21301 7182 664
25397 7645 662
13108 7332 664
820 7129 662
21296 7442 664
25392 7828 661
13105 9742 663
817 7126 664
13107 8085 661
819 7297 663
21298 7457 662
25394 7542 661
21306 7278 664
25402 7418 661
13115 7235 662
827 7426 662
13113 7115 663
825 7140 663
21304 7704 661
25400 7434 663
13116 7111 663
828 7293 660
21309 9641 662
25405 7123 663
21311 7379 664
25407 7366 662
13118 7309 663
830 7119 664
21294 7383 662
25390 7433 665
13103 7448 664
815 7320 662
13101 7388 660
813 7477 666
21292 8095 662
25388 7343 663
13096 7406 666
808 7187 661
21289 11045 664
25385 7318 664
21291 7466 664
25387 7369 662
13098 7528 663
810 7176 665
13090 7344 662
802 7323 662
21283 7502 666
25379 7130 663
21281 7375 664
25377 7315 663
13088 7300 666
800 7435 664
21284 7500 664
25380 7217 662
13093 9613 662
805 7433 662
13095 7389 664
807 7466 662
21286 7341 662
25382 7283 664
21254 7442 662
25350 7790 662
13063 7655 664
775 7219 664
13061 7688 665
773 7311 661
21252 7361 662
25348 7587 664
13056 7667 663
768 7249 666
21249 9920 663
25345 7302 660
21251 7414 664
25347 7162 662
13058 7376 665
770 7145 664
13066 7164 665
778 7377 662
21259 7441 663
25355 7299 662
21257 7468 663
25353 7105 662
13064 7378 663
776 7163 665
21260 7137 663
25356 7280 662
13069 9544 665
781 7272 663
13071 7314 663
783 7272 663
21262 7219 667
25358 7115 662
13086 7218 664
798 7245 665
21279 7667 664
25375 7239 665
21277 7170 663
25373 7430 663
13084 8195 663
796 7132 661
21272 7291 666
25368 7648 662
13081 9091 664
793 7653 663
13083 7330 663
795 7156 666
21274 7337 664
25370 7270 664
21266 7242 662
25362 7245 663
13075 7300 663
787 7600 661
13073 7373 663
785 7151 663
21264 7166 663
25360 7109 663
13076 7105 662
788 7754 665
21269 9787 662
25365 7255 662
21271 7067 662
25367 7154 661
13078 7196 663
790 7177 662
21278 7216 661
25374 7157 661
13087 7282 663
799 7491 663
13085 8280 663
797 7390 664
21276 7256 664
25372 7186 664
13080 7274 661
792 7164 662
21273 8460 665
25369 7417 666
21275 7544 664
25371 7280 666
13082 7298 663
794 7137 663
13074 7094 664
786 7365 665
21267 7159 664
25363 7458 663
21265 7144 662
25361 7812 661
13072 7285 661
784 7267 664
21268 7516 664
25364 7252 663
13077 8517 662
789 7277 663
13079 7088 663
791 7339 662
21270 7489 662
25366 7163 664
13062 7173 664
774 7149 661
21255 7878 662
25351 7279 664
21253 7180 664
25349 7223 661
13060 7092 663
772 7144 664
21248 7120 664
25344 7288 661
13057 8964 661
769 7306 663
13059 7119 665
771 7180 663
21250 7457 664
25346 7198 666
21258 7245 663
25354 7252 664
13067 7221 665
779 7317 665
13065 7261 664
777 7104 663
21256 7210 665
25352 7193 662
13068 7121 663
780 7427 661
21261 8446 662
25357 7235 662
21263 7107 662
25359 7366 662
13070 7230 664
782 7124 663
13102 7417 662
814 7244 662
21295 8281 665
25391 7258 663
21293 7178 665
25389 7116 662
13100 7184 664
812 7543 664
21288 7091 665
25384 7602 660
13097 8843 662
809 7130 663
13099 7291 664
811 7144 663
21290 7629 663
25386 7303 663
21282 7210 665
25378 7266 662
13091 7243 661
803 7310 663
13089 7290 663
801 7469 662
21280 7663 661
25376 7574 665
13092 7098 664
804 7418 663
21285 8832 665
25381 7435 666
21287 7525 666
25383 7277 661
13094 7160 664
806 7381 662
21302 8125 661
25398 7269 664
13111 7435 663
823 7468 665
13109 7303 662
821 7338 664
21300 7188 665
25396 7257 664
13104 7220 663
816 7281 664
21297 8882 663
25393 7370 664
21299 7206 662
25395 7396 664
13106 7152 662
818 7150 662
13114 7846 660
826 7326 662
21307 7417 662
25403 7165 662
21305 7163 662
25401 7115 664
13112 7405 664
824 7561 663
21308 7109 661
25404 7336 661
13117 9257 666
829 7285 665
13119 7249 664
831 7176 661
21310 8156 663
25406 7290 663
21350 7514 665
25446 7105 664
13159 7225 663
871 7139 666
13157 7438 662
869 7432 663
21348 7324 665
25444 7135 662
13152 7228 662
864 7136 663
21345 8710 665
25441 7189 661
21347 7263 664
25443 7140 664
13154 7271 662
866 7390 663
13162 7217 662
874 7422 663
21355 7322 664
25451 7480 667
21353 7250 665
25449 7605 665
13160 7295 665
872 7121 663
21356 7549 664
25452 7708 662
13165 8842 663
877 7533 664
13167 7812 665
879 7242 663
21358 7100 663
25454 8359 661
13182 7095 663
894 7133 663
21375 7428 664
25471 7205 665
21373 7083 665
25469 7114 663
13180 7184 663
892 7122 666
21368 7307 667
25464 7409 663
13177 9176 661
889 7180 665
13179 7560 664
891 7282 662
21370 7114 661
25466 7251 667
21362 7397 663
25458 7207 662
13171 7199 664
883 7172 664
13169 7174 663
881 7202 663
21360 7153 664
25456 7277 663
13172 7794 664
884 7625 666
21365 10182 662
25461 7201 662
21367 7265 662
25463 7099 662
13174 7318 664
886 7203 662
13142 7132 664
854 7665 664
21335 7302 661
25431 7231 662
21333 7307 664
25429 7162 663
13140 7256 665
852 7095 661
21328 7277 664
25424 7180 664
13137 8461 664
849 7638 661
13139 7183 661
851 7247 662
21330 7265 664
25426 7246 664
21338 7210 662
25434 7359 663
13147 7122 663
859 7264 662
13145 7163 663
857 7169 666
21336 7258 661
25432 7100 665
13148 8136 662
860 7682 663
21341 9235 664
25437 7367 664
21343 7269 663
25439 7092 665
13150 7123 661
862 7099 663
21326 7139 663
25422 7149 663
13135 7724 663
847 7159 666
13133 7265 663
845 7613 663
21324 7117 662
25420 7256 662
13128 7102 662
840 7168 665
21321 8708 662
25417 7310 663
21323 7095 664
25419 7072 664
13130 7285 665
842 7087 664
13122 7143 661
834 7956 664
21315 7555 664
25411 7750 663
21313 7560 662
25409 7147 666
13120 7893 662
832 7136 663
21316 7154 663
25412 7133 661
13125 8809 665
837 7141 665
13127 7161 662
839 7280 663
21318 7161 663
25414 7151 660
13134 7180 661
846 7155 665
21327 7243 661
25423 7401 662
