flow_ID DPDK_proc_time frwd_proc_time
23973 7786 666
28069 4935 665
23975 7353 664
28071 4986 664
15782 7533 668
3494 4918 665
23990 4907 663
28086 7378 665
15799 6056 664
3511 4870 665
15797 5973 667
3509 6253 666
23988 9279 665
28084 5011 664
15792 6137 665
3504 6191 665
23985 6334 665
28081 7338 668
23987 4875 665
28083 6102 664
15794 6264 667
3506 5046 665
15802 4865 663
3514 5978 662
23995 7388 665
28091 4884 666
23993 4881 664
28089 4956 668
15800 8750 666
3512 5173 665
23996 4837 666
28092 5020 662
15805 7334 664
3517 7559 667
15807 7121 664
3519 4860 664
23998 5012 666
28094 7452 665
23966 6251 664
28062 4689 663
15775 4890 666
3487 4917 664
15773 6441 664
3485 6223 666
23964 8104 666
28060 4819 666
15768 7446 664
3480 6317 664
23961 4909 666
28057 4947 666
23963 6484 665
28059 4901 664
15770 6105 666
3482 4854 664
15762 6268 663
3474 5353 666
23955 6253 665
28051 6662 666
23953 4775 665
28049 6829 664
15760 7904 665
3472 6400 663
23956 4770 662
28052 6216 664
15765 7400 665
3477 4889 668
15767 6001 667
3479 4750 667
23958 6147 664
28054 4929 665
15750 4802 666
3462 7351 664
23943 4716 667
28039 6180 663
23941 4990 665
28037 7370 664
15748 8479 664
3460 4952 663
23936 6378 662
28032 4890 664
15745 10321 665
3457 7564 665
15747 4835 667
3459 5016 664
23938 4930 664
28034 6027 667
23946 4911 664
28042 4814 665
15755 4896 664
3467 6105 662
15753 4907 664
3465 6307 668
23944 7893 664
28040 4907 665
15756 4838 664
3468 4617 665
23949 7490 667
28045 4818 664
23951 6272 665
28047 4708 666
15758 7381 667
3470 5239 664
15414 6021 664
3126 7089 663
23607 7794 664
27703 4846 666
23605 7396 665
27701 7171 663
15412 7978 664
3124 6253 664
23600 6279 665
27696 6271 666
15409 5081 666
3121 5430 665
15411 4874 664
3123 5019 665
23602 5094 666
27698 4938 665
23610 6801 665
27706 4839 665
15419 5632 667
3131 6072 665
15417 5379 667
3129 17403 663
23608 7343 666
27704 4878 665
15420 4890 665
3132 4980 664
23613 5937 663
27709 7487 668
23615 5402 667
27711 6122 664
15422 4860 665
3134 6302 663
23598 4852 666
27694 7375 664
15407 4893 664
3119 6421 667
15405 4854 665
3117 4998 665
23596 8342 667
27692 4912 668
15400 5916 664
3112 4910 667
23593 7388 666
27689 4834 665
23595 4868 664
27691 6766 665
15402 5329 665
3114 7474 668
15394 4857 665
3106 4913 666
23587 4963 664
27683 6927 664
23585 4852 665
27681 5968 665
15392 7335 663
3104 7424 664
23588 4948 663
27684 4869 663
15397 4871 663
3109 4887 667
15399 7323 665
3111 4633 665
23590 4881 663
27686 4831 668
23558 6288 669
27654 4517 663
15367 4881 665
3079 4961 664
15365 5052 666
3077 5513 665
23556 10225 665
27652 4969 663
15360 4957 665
3072 5643 665
23553 4979 665
27649 4986 662
23555 4844 662
27651 5010 666
15362 5815 665
3074 5382 664
15370 5122 664
3082 4889 665
23563 4687 664
27659 4870 664
23561 4982 663
27657 5517 666
15368 8585 663
3080 6527 666
23564 6126 666
27660 4946 663
15373 5319 666
3085 4849 663
15375 5063 663
3087 6473 667
23566 5330 665
27662 4923 664
15390 4890 666
3102 6268 665
23583 4776 666
27679 4840 664
23581 4869 665
27677 4802 664
15388 7023 664
3100 6151 665
23576 6000 666
27672 4694 664
15385 4995 666
3097 4855 663
15387 6529 666
3099 5503 664
23578 4877 666
27674 4823 665
23570 4863 662
27666 7523 664
15379 5710 665
3091 4919 664
15377 4778 666
3089 4706 663
23568 7912 663
27664 6302 664
15380 6734 665
3092 4623 665
23573 5978 663
27669 6286 664
23575 5381 663
27671 4864 665
15382 5095 666
3094 6876 663
23582 4774 666
27678 5054 665
15391 5022 662
3103 4892 665
15389 5354 664
3101 4897 664
23580 8356 664
27676 4495 663
15384 4694 665
3096 5007 666
23577 4827 665
27673 6274 666
23579 5606 665
27675 5034 663
15386 4894 666
3098 5033 665
15378 4961 665
3090 7344 662
23571 4573 664
27667 5015 667
23569 5389 665
27665 4871 664
15376 7527 664
3088 4864 665
23572 4949 664
27668 5268 664
15381 4966 663
3093 6260 664
15383 4906 666
3095 5055 668
23574 4999 663
27670 7266 665
15366 8139 668
3078 5834 665
23559 5028 664
27655 4988 664
23557 5136 662
27653 4864 664
15364 9101 666
3076 5763 664
23552 4948 667
27648 4870 665
15361 5150 665
3073 4789 664
15363 6410 665
3075 5829 667
23554 4867 665
27650 5101 668
23562 4866 663
27658 5992 663
15371 6201 666
3083 4845 666
15369 4755 664
3081 4872 666
23560 7266 665
27656 5805 664
15372 5786 663
3084 4606 664
23565 5151 667
27661 4962 665
23567 5676 665
27663 4858 664
15374 5120 665
3086 5486 666
15406 4815 667
3118 6813 664
23599 6424 665
27695 4782 662
23597 4827 666
27693 4870 665
15404 7934 662
3116 4815 665
23592 6226 665
27688 6053 664
3113 6249 667
15403 4585 662
3115 5952 665
23594 4852 666
27690 4990 664
23586 4872 666
27682 4820 667
15395 5084 666
3107 4544 665
15393 5182 664
3105 4880 668
23584 7295 663
15396 5571 665
3108 4902 665
23589 4858 665
27685 4896 663
23591 4939 666
27687 6757 666
15398 5014 665
3110 4861 664
23606 5294 667
27702 4841 663
15415 5753 664
3127 4863 662
15413 4904 665
3125 5304 667
23604 7240 666
27700 4931 664
15408 4889 664
3120 4679 666
23601 6030 664
27697 5868 667
23603 4843 666
27699 4836 664
15410 4678 663
3122 4856 667
3130 4853 664
23611 4819 664
27707 4894 667
23609 5967 667
27705 5046 666
15416 7277 668
3128 4837 665
23612 4943 664
27708 5692 663
15421 5923 666
3133 4844 665
15423 4892 663
27710 5741 664
23654 4859 665
27750 4952 663
15463 5061 663
3175 5057 665
15461 7511 664
3173 5805 667
23652 7649 665
27748 4991 665
15456 5819 665
27745 6133 664
23651 4745 664
27747 4746 667
15458 5007 666
3170 6118 663
15466 5646 666
3178 4769 663
