flow_ID DPDK_proc_time frwd_proc_time
1676 10888 666
22152 4828 664
26248 4896 665
13961 4946 666
1673 4836 664
13963 4798 667
1675 7419 664
22154 7064 664
26250 7662 664
22146 5160 663
26242 4997 663
13955 5021 664
1667 5472 664
13953 7534 666
1665 11073 666
22144 5909 663
26240 7328 663
13956 7334 666
1668 5937 665
22149 4864 667
26245 4855 665
22151 5933 666
26247 4860 665
13958 4849 665
1670 5037 665
22166 6230 666
26262 6240 668
13975 6799 666
1687 5358 666
13973 4862 664
1685 9977 667
22164 4910 665
26260 7344 664
13968 7354 667
1680 4933 666
22161 4995 663
26257 4892 665
22163 6788 666
26259 5087 664
13970 4830 665
1682 4876 666
13978 6254 665
1690 7375 665
22171 4860 664
26267 5138 665
22169 5036 665
26265 7403 665
13976 6093 668
1688 4859 664
22172 4660 665
26268 6270 665
13981 7387 664
1693 4874 663
13983 6025 664
1695 7014 665
22174 5931 664
26270 5933 665
22214 4982 665
26310 7389 663
14023 5049 664
1735 6487 666
14021 4829 666
1733 7400 663
22212 6126 665
26308 5940 668
14016 4875 666
1728 5138 665
22209 4969 665
26305 6720 666
22211 7494 664
26307 4900 664
14018 5024 665
1730 4876 665
14026 6755 664
1738 7529 666
22219 5044 664
26315 4848 664
22217 4849 667
26313 10251 665
14024 5919 665
1736 4931 662
22220 4856 664
26316 6342 666
14029 6272 664
1741 7458 667
14031 7359 666
1743 4877 665
22222 5346 665
26318 6261 663
14046 7424 663
1758 8389 666
22239 5902 665
26335 4938 665
22237 4876 664
26333 7768 665
14044 5129 666
1756 5134 667
22232 7382 664
26328 4922 665
14041 5050 663
1753 4806 663
14043 7523 664
1755 5313 665
22234 6442 663
26330 5943 668
22226 4900 667
26322 7394 663
14035 6728 665
1747 7468 665
14033 4958 666
1745 9842 666
22224 4844 665
26320 5024 664
14036 4901 666
1748 4839 663
22229 6291 666
26325 7470 665
22231 7315 664
26327 4781 663
14038 5054 668
1750 5940 667
14070 4924 667
1782 6267 665
22263 7384 664
26359 4890 666
22261 5733 666
26357 7917 663
14068 4911 665
1780 7351 666
22256 5579 664
26352 6162 666
14065 5902 666
1777 4771 667
14067 4844 666
1779 4750 665
22258 4758 667
26354 4813 667
22266 4771 663
26362 6139 667
14075 7435 665
1787 4743 664
14073 6003 664
1785 7212 664
22264 6755 667
26360 4559 665
14076 5143 666
1788 4987 665
22269 4869 668
26365 4886 664
22271 5578 661
26367 6232 664
14078 4844 666
1790 4864 661
22254 4888 665
26350 4968 666
14063 4891 665
1775 4978 664
14061 6297 665
1773 8062 662
22252 4850 667
26348 5407 667
14056 4895 665
1768 6443 664
22249 4548 667
26345 4782 662
22251 5085 665
26347 4873 666
14058 4918 665
1770 5648 666
14050 6291 663
1762 7420 666
22243 7347 667
26339 5524 665
