flow_ID DPDK_proc_time frwd_proc_time
3316 46134093 666
3315 46090120 663
22541 45405607 667
32450 44977330 664
11971 44928842 667
24751 44626678 661
7869 42620655 664
19715 42534848 663
11962 42354866 667
19716 42325562 663
130 42242942 665
2178 42064669 667
22662 41930205 664
22668 41883263 665
26753 41851744 663
14479 41793619 666
2186 41397029 665
25319 41398859 666
12424 41011223 665
14509 40909578 666
26798 40965733 664
2216 40919276 665
26795 40864096 665
2223 40805987 665
26764 40758409 666
11205 47481306 665
31684 47457454 666
11207 47423742 664
12818 36004218 663
15257 35796361 666
5349 35766551 665
9447 35758216 664
17071 35229120 663
31651 34696395 664
31649 34552253 666
160 34383562 666
9068 34256336 665
8806 34043729 667
2496 34006179 664
2503 34006814 664
27073 33983826 665
22977 33977952 664
15073 33121834 665
11099 32592640 664
14098 32063734 665
11126 31932058 664
29702 31583996 666
10768 31558118 664
6679 31536465 665
10780 31530646 664
31261 31513824 666
10775 31510856 666
30673 31473484 665
6098 31435605 665
6683 25575124 614
18962 25134958 619
10769 25308115 665
5718 25275493 663
9205 25257457 663
17392 25245641 663
17400 25236675 665
9212 25226415 664
29695 25205924 664
5113 25194112 665
5119 25114699 664
9210 25105588 664
19470 5279 666
9208 25078118 665
9200 25076543 665
29677 25048958 664
9207 25002984 666
4884 24818072 668
18902 20463161 664
31188 20404366 667
6252 15257128 667
7624 14319042 664
18022 12596922 662
21755 4938 664
25852 7356 664
14574 4925 666
11331 5957 665
11332 7323 662
15538 6010 663
3255 6187 665
3250 7377 665
15541 7338 666
27834 7486 666
27827 4543 666
27881 6396 665
19628 4887 664
9964 6528 665
11507 9051 664
19683 7378 663
4103 4529 665
7191 7516 665
1868 7077 664
6955 7527 665
11493 6151 664
4109 7328 666
26389 4642 662
31535 5606 664
22826 7384 665
2337 7643 663
8243 7486 667
25917 7573 662
25912 7318 665
13624 7523 666
13616 7403 664
21817 4485 668
21811 7369 666
1336 4470 665
30244 7594 662
21819 7349 666
21820 7579 666
13629 7354 664
18591 7396 663
10395 7341 665
6300 4668 668
30879 7576 664
10385 7741 664
9767 7503 667
24218 7347 668
9129 6366 666
11716 6287 667
6246 6412 668
6254 9873 665
18536 4705 666
12831 7188 664
15755 4832 666
32545 7342 662
29688 4799 663
17402 7774 664
12144 6251 666
25473 5007 663
30669 4878 666
16887 8575 664
11530 6276 665
11526 5681 665
19724 6281 664
19717 7399 664
11533 4606 662
24523 7306 666
5373 4972 665
17662 7384 666
17659 4948 664
18543 7979 665
7821 7348 666
20199 8197 663
13984 7896 665
7170 7510 667
26204 7650 663
26206 4615 665
17882 7325 664
17887 7825 664
15942 7510 665
11421 7383 663
29763 4770 665
15824 4792 664
5126 7641 664
3543 4839 665
29711 7466 666
29029 7248 665
3101 6334 665
4451 7192 664
23582 4411 666
17955 7398 664
23580 7300 663
27673 7208 665
29037 7298 665
21254 7236 664
19974 7235 665
32260 6131 666
32259 7775 664
11783 4466 666
26096 7271 665
32268 7355 663
11791 7936 665
7690 6261 664
19994 7322 665
1523 7546 666
13499 7372 666
29696 4730 664
9628 4820 666
5532 7265 663
10601 6987 665
8094 5871 663
20381 5658 665
8072 7363 665
20361 5719 666
12175 7517 665
8066 7639 664
1694 7377 664
32644 9929 665
20356 5661 667
18405 7366 664
7794 5994 664
11893 7376 664
9481 5098 665
17666 7304 664
10556 7411 665
27983 7417 666
5411 7490 667
30074 7381 666
24400 7768 665
16220 7353 664
28498 7339 665
24410 7375 663
24486 5632 666
24408 6317 664
6368 7406 667
6385 7867 667
28582 7494 665
28607 7387 665
16288 8157 664
28590 6290 666
16316 7349 665
28587 4641 662
9090 4862 665
5608 7910 665
9090 7456 664
5608 7683 663
12521 5135 666
12798 10007 668
14765 7317 665
22944 7336 666
22955 7542 668
14758 7344 664
18671 7439 664
18661 6398 664
16548 7457 664
8434 7386 666
8440 5682 664
28915 6209 666
8413 7442 666
28926 7356 662
4346 4550 666
29698 7586 668
9251 4785 666
25087 7435 665
497 7405 665
12790 7866 667
28994 4906 665
28992 7570 665
16712 4523 664
28999 7493 664
29000 4530 664
4419 7371 663
5134 6296 664
5131 7534 664
24422 7501 663
3576 7860 665
17235 6239 665
15864 10534 664
28515 4680 665
17490 7420 665
4949 7414 666
30012 7336 665
5201 7398 664
13874 7567 665
20140 6250 664
9525 7233 666
13826 7235 664
17362 7690 664
24324 4594 665
16150 6140 667
9172 6335 665
27144 4867 666
14862 4575 667
6866 7486 666
7848 6278 668
30006 10002 616
3840 4853 666
32305 4897 665
3027 7332 665
17408 4827 664
21949 6071 666
21938 4620 615
1465 7307 614
24586 5210 665
20480 5797 666
20490 7345 665
21360 4353 615
12297 4723 665
18271 4851 663
5979 7422 664
5980 4927 664
20498 4813 664
12310 7315 664
13501 6138 666
1215 6477 666
21694 4564 665
21679 4623 667
25787 7830 665
13490 4620 664
21684 9886 666
1210 6514 663
13148 7355 666
21338 4565 664
18919 7346 666
351 7365 663
853 7578 666
13143 5740 665
25438 6263 665
854 4709 664
349 7505 665
13140 7319 669
25425 7719 665
13149 8131 664
25427 7961 662
25433 4654 665
25426 5875 663
341 7485 665
10723 7684 667
20822 7351 667
31202 7444 663
18533 7411 664
6244 7485 664
10434 4904 666
6368 7347 666
10339 6827 666
28046 4960 665
28036 5924 664
31663 4912 664
11180 4576 665
31661 10300 663
31661 2117701 664
11182 2116834 666
2226 2064643 669
6069 2016654 665
7081 1987751 664
30643 1945987 663
1684 1301182 663
1686 1280853 663
16945 1152020 667
29203 1141702 665
28050 1113919 666
3456 1081937 666
9584 5135 667
1043 4667 665
12850 6650 664
21043 4330 666
32060 4664 666
31107 5250 664
31115 5600 665
24098 7375 666
3620 5081 665
24101 7692 664
15906 4516 664
3624 7769 665
28206 4591 666
27401 5233 665
9086 7382 662
4987 6370 665
4979 4641 666
17272 5643 662
17279 6264 666
23305 4855 667
29533 7374 664
4945 4644 666
9051 7411 665
4956 5673 665
11530 7637 666
19715 7484 666
12744 4984 665
25033 7388 665
17306 4950 666
1384 4880 664
21887 7357 666
25978 4703 667
13677 7361 666
25961 7543 665
1386 7904 666
25973 7830 664
1393 4718 665
13683 7328 668
21885 5706 668
1361 7355 666
25938 7482 666
22434 7878 668
2042 8003 664
24801 6493 665
12514 4548 667
224 7866 664
9116 7379 664
19923 9831 667
19434 7381 663
30776 5106 668
6206 4597 664
6204 7239 665
6203 4445 664
30749 7384 666
30775 7362 664
10279 4427 665
10292 7263 665
6195 4427 663
30773 8062 665
28351 4910 666
16060 7516 664
30119 7343 664
17826 10682 663
5540 4688 663
9646 7226 663
9644 5620 664
25275 6964 664
25276 6316 665
12979 5879 663
21177 6335 665
12984 7404 668
21173 4459 664
17577 7258 664
29856 4442 664
17570 7342 664
9377 4435 665
9380 7274 665
29865 4607 664
17230 6224 667
9032 4515 665
23536 4863 665
27619 7402 663
16503 7325 664
31777 7826 664
16329 7832 663
24537 4547 664
31232 5093 664
31266 7438 664
1261 6154 665
13551 6233 664
25835 7283 636
6795 6265 665
21737 5023 663
16199 9151 664
32686 7393 662
32683 4587 666
16192 7990 665
10120 7418 666
5882 7359 664
8109 7776 667
32701 7373 664
9963 7368 665
3904 7270 637
16202 7191 637
3184 4852 666
31555 6832 663
30395 4623 665
19267 7808 664
15479 5403 663
15474 4855 667
12424 7684 668
20609 6886 667
20617 6333 665
12431 7341 666
133 4595 664
20614 7436 663
20624 7366 666
20649 4652 666
150 7346 663
5237 7515 665
3189 7542 663
7997 10300 665
7984 7651 665
20279 5584 664
12085 6160 664
20283 7413 665
12081 5620 665
7992 7297 666
12083 7346 667
7996 9007 664
12089 7287 666
20280 4724 665
20282 7344 665
7985 4492 665
14895 5939 665
23081 6180 666
2575 6304 666
2573 7245 669
29897 7254 667
1733 7260 666
14021 7294 664
23559 4757 663
3078 5548 665
13701 6225 665
10905 4434 667
25474 4790 662
18515 7257 667
6224 4472 664
21376 7882 663
29853 6338 664
5276 5617 665
25061 4896 663
31738 4816 666
25063 7266 664
12774 6182 664
26541 7285 664
1368 4845 665
25950 7815 665
13643 4460 667
13641 7769 663
13644 7439 666
7163 7434 665
26477 7274 662
11276 4551 666
19481 9407 662
19486 4466 664
19466 7260 665
7182 7371 666
31769 7239 663
13650 7307 666
25940 7252 665
1362 7232 665
21875 6196 664
13663 7321 666
22373 7265 667
19708 7399 664
31749 5591 664
31993 7493 666
7423 7372 664
11267 7319 664
19464 7561 665
17395 7289 666
7919 4436 664
18255 7358 666
17565 7262 666
7909 7459 664
30556 4596 663
5106 7254 664
9369 7731 667
1966 7260 665
12789 7480 665
1958 7286 664
496 5562 664
31157 4760 667
17569 7274 665
17582 7407 666
17572 7472 667
9378 9438 663
29865 7441 665
9381 7265 661
12232 7247 664
32705 4561 664
8130 7471 665
32277 7288 664
29880 5724 665
9406 6262 665
19991 7336 667
9393 7750 666
9404 7293 663
9401 7748 666
5302 7331 664
3822 7433 664
10652 7620 663
12264 7346 664
12239 7277 665
12271 7342 666
7680 8663 662
7699 7400 663
24296 7495 665
18836 7386 666
28979 9258 666
4981 7251 665
8866 7451 665
4780 4457 667
8878 7395 663
8869 7478 666
17059 7474 666
17057 7289 664
17270 7729 662
4774 7298 664
8875 5516 664
17078 6168 665
29364 7337 664
17061 7319 667
4769 7318 665
20392 9260 662
2654 7436 664
32680 7530 665
27224 7405 666
15857 7251 664
28146 5553 664
10068 7261 666
24641 5628 665
8935 6221 665
28154 7488 665
5971 4839 664
