flow_ID DPDK_proc_time frwd_proc_time
12018 6767 665
20151 7349 661
11904 7236 634
27503 7441 663
13840 7514 664
29811 7343 661
16515 7466 666
19112 7376 662
26476 7368 663
11859 7236 638
24740 7400 664
20048 7374 662
24737 7394 665
7486 7385 662
21633 7563 662
20891 8156 661
234 7391 664
11580 7465 663
19611 7558 663
19768 7326 663
32410 7483 662
9812 7768 663
5716 7290 662
6733 7338 664
9816 7567 662
5722 7380 663
9818 7295 662
30299 7501 664
18011 7389 664
5727 7431 663
12493 7347 666
24780 7299 662
31457 7369 662
14033 7376 663
8019 7484 665
20900 7367 663
30305 7746 663
22226 7398 664
22313 7964 662
1832 7474 664
15812 7355 663
28101 7526 664
32285 7881 664
11804 7412 664
7708 7342 664
11806 7362 662
7710 7235 663
19999 7385 663
19994 7463 663
7707 7431 662
11803 7456 660
32287 7676 662
15310 7833 664
28058 7581 663
12945 7430 663
657 7476 663
19617 7348 663
28129 7512 665
15840 7361 666
24033 7538 664
16355 7401 661
28610 7366 662
4035 7395 666
4067 10272 662
16323 8010 665
4344 7287 660
16574 7408 663
27506 7420 662
21570 7375 662
18609 7786 662
30897 7566 664
27504 7310 663
17908 7339 661
5616 7314 662
9712 7381 662
30193 7499 662
17905 7834 589
28859 7317 663
20941 7379 664
20941 7372 662
5690 7483 586
20529 7527 663
23633 7677 665
7298 7835 663
23633 7343 663
23641 7722 664
16563 7547 663
17977 4559 585
5688 7034 587
9784 7265 588
10997 7260 663
6903 7324 663
6901 7265 665
10997 7264 663
6903 7701 662
6901 7808 663
10997 8525 664
6903 7329 664
6901 7334 663
14619 5665 587
19351 7502 664
31639 7438 664
11155 7344 663
7062 7549 663
30384 7383 663
18096 7396 662
358 7320 663
19816 7379 662
27912 7372 665
15625 7486 664
23818 7342 661
23816 7326 661
27914 7871 663
14019 7898 663
28179 8134 663
24945 7357 662
370 7321 663
12658 7331 663
24947 7458 663
20851 7365 664
375 7762 666
12663 7349 662
24950 7398 662
32126 7403 664
21566 7287 662
31546 7471 662
27120 7371 662
23024 7459 662
14833 10180 664
23029 7363 664
27125 7459 662
2545 7514 665
2548 7348 664
21652 7427 663
25748 7579 663
28620 7547 662
20956 7376 661
24419 7789 664
28515 7400 664
28260 7547 664
3943 7327 662
2818 7610 662
10686 7291 662
25779 7378 662
13488 7380 665
8482 7771 662
16673 7799 663
4386 7464 665
8480 7377 663
4384 7717 662
28961 7373 662
1363 8299 666
3634 7364 664
15512 7390 663
15512 7365 663
4214 9612 665
28791 7384 664
16503 7338 663
28786 7733 663
8310 7526 664
16498 7464 666
19493 7427 663
1581 7447 660
32637 7359 661
28701 7352 661
29860 7436 664
27997 7365 662
23901 7330 661
29575 7519 663
23223 7512 664
1428 7370 665
2739 7090 589
15027 7029 590
27314 7109 589
23218 7484 589
7047 7421 667
3631 7332 666
15919 8208 665
11143 7448 662
28206 7347 665
23279 7126 590
14802 7827 664
27091 7313 664
22995 7417 664
16976 7313 663
2512 7738 664
24793 7242 663
29269 7519 666
19344 7361 662
8788 7504 663
4692 7303 663
4694 7271 663
28221 7033 593
8790 7386 663
4556 7352 661
16845 7936 663
29133 7325 666
16789 7320 662
29077 7524 662
8596 7387 664
4558 7897 662
8652 7532 664
31639 7819 661
26037 6907 586
16986 7412 663
30886 7430 664
26037 6997 583
21946 7030 585
26042 6987 584
11195 7687 661
26040 7091 585
13753 9386 586
26042 6919 584
21946 7080 585
8637 7814 664
24283 7548 663
24281 7548 663
28379 7490 662
24281 7363 664
24281 7315 663
26040 4191 584
13753 4669 584
24281 7368 665
24281 7368 666
28380 7340 663
16093 7312 664
28380 7420 663
16093 7471 661
28380 7279 662
16093 7228 662
16972 7409 662
28380 7251 663
1203 7673 662
24284 7411 664
14825 9332 592
21682 7292 662
1186 7413 661
21667 7308 663
1184 7414 662
8624 7253 611
21665 7457 663
28809 7423 664
633 7523 661
21888 7729 664
25984 7417 664
13712 7674 662
635 7391 665
21114 7375 661
12926 7458 663
638 10523 662
21119 7715 662
25215 7615 664
21117 7462 665
22474 7514 663
25213 8051 664
26584 7108 584
22490 7093 586
636 7366 661
12924 7657 663
18974 7412 662
31262 7395 664
10783 7407 662
26586 7383 586
14299 7071 586
26584 7355 585
22490 5179 586
26586 7025 586
14299 9987 584
627 7704 660
26496 7108 584
22400 6981 586
26496 6969 585
22400 4139 587
6712 7833 662
10776 7398 665
6680 7507 663
1921 7444 585
3136 7328 662
15424 7517 661
14209 6999 583
1921 6974 583
14387 7399 663
3136 7346 664
14209 7024 586
15424 7584 665
15426 7386 664
5797 7352 661
15426 7525 661
27715 8049 664
28846 7744 665
28844 7560 663
16556 7352 664
16558 7367 662
18053 7772 662
30341 7752 662
20329 7354 663
32617 7800 663
6795 7496 664
28686 7432 662
13561 7868 661
1273 7365 663
21754 7828 663
25850 7633 666
21752 7406 660
25848 7438 662
13563 7689 665
1275 7763 662
25855 7367 663
21759 7762 663
1278 7447 662
13566 7328 665
1276 7422 662
13564 7420 663
25853 7394 663
21751 7692 662
27037 8011 666
25842 7531 664
31387 7508 667
25848 7369 665
12996 7403 665
708 7448 663
1859 7794 663
12998 7393 662
12998 7754 662
12998 7382 663
12998 7400 663
12998 7525 661
12998 7499 661
12996 7427 662
