flow_ID DPDK_proc_time frwd_proc_time
1417 7896 663
13707 7394 664
1419 7326 664
21898 7526 664
25994 7570 663
21890 7290 665
25986 7450 660
13699 7377 662
1411 7394 663
13697 7459 665
1409 7413 663
21888 7362 664
25984 7318 664
13700 7448 664
1412 7280 663
21893 7327 664
25989 8272 663
21895 7980 662
25991 7613 664
13702 7384 666
1414 7702 663
21902 7470 663
25998 7907 662
13711 7383 663
1423 7284 662
13709 7365 662
1421 7513 663
21900 7372 663
25996 7360 664
13704 7307 664
1416 7356 660
21897 7884 662
25993 7396 664
21899 7459 662
25995 7388 663
13706 7540 664
1418 7663 664
13698 7523 662
1410 7350 663
21891 7391 663
25987 7420 662
21889 7368 661
25985 7336 663
13696 7350 663
1408 7404 663
21892 7345 664
25988 7806 663
13701 7750 664
1413 7828 662
13703 7680 663
1415 7345 661
21894 7252 665
25990 7276 660
13718 7674 662
1430 7340 663
21911 7285 664
26007 7294 663
21909 7338 665
26005 7210 662
13716 7351 663
1428 7233 666
21904 7691 664
26000 7561 662
13713 7353 663
1425 7599 664
13715 7531 664
1427 7352 663
21906 7871 664
26002 7450 663
21914 7349 664
26010 7376 661
13723 7372 662
1435 7392 661
13721 7546 664
1433 7348 662
21912 7776 663
26008 7389 663
13724 7290 662
1436 7417 662
21917 7349 663
26013 7749 662
21919 7526 663
26015 7442 662
13726 7329 664
1438 7384 661
13758 7472 666
1470 7307 661
21951 7333 662
26047 7325 663
21949 7350 663
26045 7476 663
13756 7352 664
1468 7517 664
21944 7381 666
26040 7356 664
13753 7364 663
1465 7471 666
13755 7307 662
1467 7809 663
21946 7251 664
26042 7641 663
21938 7362 662
26034 7478 664
13747 7421 664
1459 7774 663
13745 7388 663
1457 7709 666
21936 7651 662
26032 7696 661
13748 7399 662
1460 7248 663
21941 7226 663
26037 7528 663
21943 7397 663
26039 7534 664
13750 7789 667
1462 8004 666
21926 7415 663
26022 7446 662
13735 7517 667
1447 7367 662
13733 7336 661
1445 7350 663
21924 7749 662
26020 7359 663
13728 7394 664
1440 7835 664
21921 7391 664
26017 7565 663
21923 7957 664
26019 7379 662
13730 7346 664
1442 7523 663
13738 7421 661
1450 7525 662
21931 7745 661
26027 7832 665
21929 7789 664
26025 7366 662
13736 7365 662
1448 7400 664
21932 7312 661
26028 7499 664
13741 7603 663
1453 7809 663
13743 7366 664
1455 7564 663
21934 7837 663
26030 7404 663
13654 7490 663
1366 7457 663
21847 8204 661
25943 7504 664
21845 7380 664
25941 7430 665
13652 7374 664
1364 7368 666
21840 7497 661
25936 7338 661
13649 7463 664
1361 7450 665
13651 7492 668
1363 7483 662
21842 7603 664
25938 7527 663
21850 7417 665
25946 7822 663
13659 7377 662
1371 7458 663
13657 7538 663
1369 7405 662
21848 7346 665
25944 7723 661
13660 7285 662
1372 7481 662
21853 7316 664
25949 7344 663
21855 7470 663
25951 7883 663
13662 7866 661
1374 7386 666
21838 7400 664
25934 7228 665
13647 7683 664
1359 7223 662
13645 7532 665
1357 7601 662
21836 7372 663
25932 7536 662
13640 7321 662
1352 7464 662
21833 8058 662
25929 7410 663
21835 7386 664
25931 7517 661
13642 7364 662
1354 7345 663
13634 7651 665
1346 7268 660
21827 7518 664
25923 7386 662
21825 7488 666
25921 7388 661
13632 7399 663
1344 7797 662
21828 7408 665
25924 7521 663
13637 7518 664
1349 7348 662
13639 7731 666
1351 7357 663
21830 7385 666
25926 7477 664
21862 7321 662
25958 7760 664
13671 7719 665
1383 7355 661
13669 7382 665
1381 7231 663
21860 7261 664
25956 7320 663
13664 7183 661
1376 7205 664
21857 7192 665
25953 7259 663
21859 7637 663
25955 7481 663
13666 7335 663
1378 7595 662
13674 7352 664
1386 7495 662
21867 7339 663
25963 7689 661
21865 7829 664
25961 7528 662
13672 7320 664
1384 7801 664
21868 7803 663
25964 7241 663
13677 7310 663
1389 7229 664
13679 7645 662
1391 7315 663
21870 7352 665
25966 7411 664
13694 7357 662
1406 7511 665
21887 7564 665
25983 7819 661
21885 8262 662
25981 7456 662
13692 7484 666
1404 7618 661
21880 7323 665
25976 7354 662
13689 7502 663
1401 7625 662
13691 7384 665
1403 7392 662
21882 7330 663
25978 7615 663
21874 7364 663
25970 7303 663
13683 7231 663
1395 7523 663
13681 7348 661
1393 8009 663
21872 7356 663
25968 7653 666
13684 8150 663
1396 7316 662
21877 7375 663
25973 7838 662
21879 7342 664
25975 7659 663
13686 7344 663
1398 7547 664
21886 7428 660
25982 7465 663
13695 7342 665
1407 7383 663
13693 7688 663
1405 7487 664
21884 7832 662
25980 7487 664
13688 7453 663
1400 7327 663
21881 7348 662
25977 7493 662
21883 7542 662
25979 7784 664
13690 7300 662
1402 7380 663
13682 7548 661
1394 7382 662
21875 7512 663
25971 7384 662
21873 7722 665
25969 7436 663
13680 7870 663
1392 7355 663
21876 7381 664
25972 7564 664
13685 7344 661
1397 7414 666
13687 7744 664
1399 7336 661
21878 7269 663
25974 7476 661
13670 7383 666
1382 7331 663
21863 7551 667
25959 7390 663
21861 7403 662
25957 7343 664
13668 7321 661
1380 7415 662
21856 7463 663
25952 7428 662
13665 7945 664
1377 7833 664
13667 7613 663
1379 7362 665
21858 7677 665
25954 7345 664
21866 7508 663
25962 7554 661
13675 7404 661
1387 7741 663
13673 7322 664
1385 7536 662
21864 7481 665
25960 7374 666
13676 7459 662
1388 7935 663
21869 7356 663
25965 7541 662
21871 7330 663
25967 7444 663
13678 7753 664
1390 7929 664
13646 7400 667
1358 7824 663
21839 7363 663
25935 7316 666
21837 7853 666
25933 7341 662
13644 7323 662
1356 7353 663
21832 7739 661
25928 7558 663
13641 7403 663
1353 7494 664
13643 7364 663
1355 7358 664
21834 7291 663
25930 7498 662
21826 7348 664
25922 7371 663
13635 7618 664
1347 7368 663
13633 7818 663
1345 7388 662
21824 7349 663
25920 7283 663
13636 7314 664
1348 7220 663
21829 7241 663
25925 7206 664
21831 7226 665
25927 7488 662
13638 7790 662
1350 7399 662
21846 7378 664
25942 7765 664
13655 7404 661
1367 7410 664
13653 7317 662
1365 7369 661
21844 7629 665
25940 7492 664
13648 7406 664
1360 7545 663
21841 7442 662
25937 7412 662
21843 7877 663
25939 7261 667
13650 7258 661
1362 7435 662
13658 7437 663
1370 7362 664
21851 7389 661
25947 7462 661
21849 7358 665
25945 7342 663
13656 7304 663
1368 7633 663
21852 7387 662
25948 7373 663
13661 8034 662
1373 7630 665
13663 7493 664
1375 7325 663
21854 7525 663
25950 8311 663
21766 7512 663
25862 7337 663
13575 7339 664
1287 7609 661
13573 7446 664
1285 7357 663
21764 7479 666
25860 8054 662
13568 7390 663
1280 7336 662
21761 7382 664
25857 7782 665
21763 7536 663
25859 7555 661
13570 7345 663
1282 7305 663
13578 7350 665
1290 7350 665
21771 7419 662
25867 7374 662
21769 7306 662
25865 7300 664
13576 7486 664
1288 7300 665
21772 7788 661
25868 7319 662
13581 7356 662
1293 7375 664
13583 7360 663
1295 7510 665
21774 7635 661
25870 7457 665
13598 10703 663
1310 7671 662
21791 7420 664
25887 7481 664
21789 7871 662
25885 7575 663
13596 7819 663
1308 7329 663
21784 7468 662
25880 7229 664
13593 7235 664
1305 7212 662
13595 7298 664
1307 7311 666
21786 7217 662
25882 7863 664
21778 7242 663
25874 7395 662
13587 7359 664
1299 7480 663
13585 7328 661
1297 8040 663
21776 7344 664
25872 8121 663
13588 7344 666
1300 7468 667
21781 7522 660
25877 7950 662
21783 8496 666
25879 7465 664
13590 7364 661
1302 7377 664
13622 7846 666
1334 7479 664
21815 7314 662
25911 7546 662
21813 7399 661
25909 7365 663
13620 7505 662
1332 7605 663
21808 7383 662
25904 7524 663
13617 7369 663
1329 7975 665
13619 7462 664
1331 7361 665
21810 7350 661
25906 7420 664
21818 7318 662
25914 7829 663
13627 7446 662
1339 7298 663
13625 7713 665
1337 7272 663
21816 7205 663
25912 7244 663
13628 7223 662
1340 7274 663
21821 7446 662
25917 7383 664
21823 7372 662
25919 7384 666
13630 7490 664
1342 7359 663
21806 7373 661
25902 7602 665
13615 7252 665
1327 7286 663
13613 8244 663
1325 7366 662
21804 7375 662
25900 7876 662
13608 7458 664
1320 7331 661
21801 7338 663
25897 7320 663
21803 7416 661
25899 7312 664
13610 7296 661
1322 7305 663
13602 7722 665
1314 7131 664
21795 7186 664
25891 7114 664
21793 7262 663
25889 7358 664
13600 7108 665
1312 7159 666
21796 7249 661
25892 7234 663
13605 7639 667
1317 7658 663
13607 7674 665
1319 7083 662
21798 7195 662
25894 7294 664
13614 7173 664
1326 7139 663
21807 7551 662
25903 7359 662
21805 7190 662
25901 7432 664
13612 7239 664
1324 7343 662
21800 7281 663
25896 7088 660
13609 7231 662
1321 7149 662
13611 7100 665
1323 7306 665
21802 7173 663
25898 7165 663
21794 7156 662
25890 7260 665
13603 7368 663
1315 8080 665
13601 7243 661
1313 7228 666
21792 7681 664
25888 7240 662
13604 7213 664
1316 7290 664
21797 7168 663
25893 7275 661
21799 7090 662
25895 7398 663
13606 7223 663
1318 7231 664
21814 7171 664
25910 7275 659
13623 7342 663
1335 7066 663
13621 7368 663
1333 7268 665
21812 7098 663
25908 7684 664
13616 7238 662
1328 7300 661
21809 7120 665
25905 7266 664
21811 7153 661
25907 7296 662
13618 7131 664
1330 7434 663
13626 7097 664
1338 7279 663
21819 7253 664
25915 7082 664
21817 7924 663
25913 7309 665
13624 7448 667
1336 7317 662
21820 7228 663
25916 7459 662
13629 7360 665
1341 7231 664
13631 7118 666
1343 7297 664
21822 7236 663
25918 7133 662
21790 7134 661
25886 7176 661
13599 7270 665
1311 7179 663
13597 7259 661
1309 7236 663
21788 7163 661
25884 7469 665
13592 7172 662
1304 7116 663
21785 7251 664
25881 7336 663
21787 7253 662
25883 7111 666
13594 7364 664
1306 7443 663
13586 7242 662
1298 7354 663
21779 7134 665
25875 7177 661
21777 7212 666
25873 7136 662
13584 7181 664
1296 7142 662
21780 7240 664
25876 7341 665
13589 7274 662
1301 7119 664
13591 7250 664
1303 7175 664
21782 7072 663
25878 7346 661
13574 7155 663
1286 7286 662
21767 7164 663
25863 7370 665
21765 7669 662
25861 7472 664
13572 7624 662
1284 7352 664
21760 7319 665
25856 7251 661
13569 7226 663
1281 7222 665
13571 7126 663
1283 7313 663
21762 7171 661
25858 7587 664
21770 7150 663
25866 7150 663
13579 7110 662
1291 7406 661
13577 7331 663
1289 7094 664
21768 7243 663
25864 7128 663
13580 7375 665
1292 7197 664
21773 7398 663
25869 7409 663
21775 7120 664
25871 7330 662
13582 7392 662
1294 7189 664
13494 7281 664
1206 7326 664
21687 7293 665
25783 7652 664
21685 7341 661
25781 7287 663
13492 7230 663
1204 7366 665
21680 7152 666
25776 7340 664
13489 7266 664
1201 7231 661
13491 7317 664
1203 7180 661
21682 8019 662
25778 7274 664
21690 7417 662
25786 7193 665
13499 7064 663
1211 7258 664
13497 7220 663
1209 7328 664
21688 7297 662
25784 7397 663
13500 7294 661
1212 7253 666
21693 7237 665
25789 7106 662
21695 7250 664
25791 7165 663
13502 7303 664
1214 7255 662
21678 7442 661
25774 7070 664
13487 7091 664
1199 7522 663
13485 7301 663
1197 7692 665
21676 7402 663
25772 7175 663
13480 7652 664
1192 7205 663
21673 7319 663
25769 7300 665
21675 7211 662
25771 7277 661
13482 7092 666
1194 7168 664
13474 7427 663
1186 7125 663
21667 7353 663
25763 7178 663
21665 7347 664
25761 7572 663
13472 7486 662
1184 7332 665
21668 7255 661
25764 7243 662
13477 7355 662
1189 7463 665
13479 7569 663
1191 7138 665
21670 7241 662
25766 7127 664
21638 7367 665
25734 7308 662
13447 7102 662
1159 7149 662
13445 7176 664
1157 7277 662
21636 7222 664
25732 7752 663
13440 7235 665
1152 7349 663
21633 7199 665
25729 7151 664
21635 7322 663
25731 7395 663
13442 7266 664
1154 7253 662
13450 7260 661
1162 7117 665
21643 7202 664
25739 7352 663
21641 7654 666
25737 7275 662
13448 7292 663
1160 7594 662
21644 7222 665
25740 7264 663
13453 7358 663
1165 7349 664
13455 7179 662
1167 7629 665
21646 7773 664
25742 7146 663
13470 7210 663
1182 7260 663
21663 7305 662
25759 7510 661
21661 7440 662
25757 7839 664
13468 7356 664
1180 7234 662
21656 7239 662
25752 7190 666
13465 7300 664
1177 7411 663
13467 7698 664
1179 7345 662
21658 7272 661
25754 7146 665
21650 7233 664
25746 7147 661
13459 7218 665
1171 7553 664
13457 7246 663
1169 7087 665
21648 7193 664
25744 7278 663
13460 7239 663
1172 7692 666
21653 7233 661
25749 7265 663
21655 7235 665
25751 7305 661
13462 7322 666
1174 7366 664
21662 7185 663
25758 7111 664
13471 7265 662
1183 7490 661
13469 7330 661
1181 7200 662
21660 7175 663
25756 7268 663
13464 7559 661
1176 7559 664
21657 7309 663
25753 7162 663
21659 7406 666
25755 7248 664
13466 7116 662
1178 8277 663
13458 8150 662
1170 7288 665
21651 7115 664
25747 7807 662
21649 7420 662
25745 7277 661
13456 7089 663
1168 7098 664
21652 7329 663
25748 7771 663
13461 7780 663
1173 7354 665
13463 7362 664
1175 7363 662
21654 7287 661
25750 7373 665
13446 7190 665
1158 7263 664
21639 7095 664
25735 7268 662
21637 7492 662
25733 7147 663
13444 7435 661
1156 7470 663
21632 7099 660
25728 7372 662
13441 7289 663
1153 7171 664
13443 7451 660
1155 7324 663
21634 7493 661
25730 7130 663
21642 7258 668
25738 7343 662
13451 7458 663
1163 7147 663
13449 7144 665
1161 7299 663
21640 7528 662
25736 7309 663
13452 7278 663
1164 7456 664
21645 7238 663
25741 7238 664
21647 7293 664
25743 8032 663
13454 7087 664
1166 7460 661
13486 7272 661
1198 7536 665
21679 7308 664
25775 7151 662
21677 7277 664
25773 7737 663
13484 7122 663
1196 7268 662
21672 7125 665
25768 7428 665
13481 7379 665
1193 7420 663
13483 7467 663
1195 7271 664
21674 7323 664
25770 7299 663
21666 7487 664
25762 7196 663
13475 7373 665
1187 7314 661
13473 7186 664
1185 7282 663
21664 7533 663
25760 7293 665
13476 7280 662
1188 7311 666
21669 7117 661
25765 7240 663
21671 7229 665
25767 7113 663
13478 7277 663
1190 7279 664
21686 7292 664
25782 7255 662
13495 7277 662
1207 7366 665
13493 7703 661
1205 7366 662
21684 7232 662
25780 7269 666
13488 7284 662
1200 7323 662
21681 7140 664
25777 7271 665
21683 7250 664
25779 7366 667
13490 7291 664
1202 7336 664
13498 7176 665
1210 7687 663
21691 7245 665
25787 7281 664
21689 7219 664
25785 7846 664
13496 7308 662
1208 7380 665
21692 7314 664
25788 7299 663
13501 7219 664
1213 7774 664
13503 7734 666
1215 7254 663
21694 7294 662
25790 7349 661
21734 7251 666
25830 7312 663
13543 7391 663
1255 7263 663
13541 7243 664
1253 7233 665
21732 7279 665
25828 7291 663
13536 7097 664
1248 7300 662
21729 7402 664
25825 7754 662
21731 7275 664
25827 7682 664
13538 8238 661
1250 7304 663
13546 7280 667
1258 7224 663
21739 7156 663
25835 7449 667
21737 7283 663
25833 7256 662
13544 7282 666
1256 7250 662
21740 7280 661
25836 7438 662
13549 7400 663
1261 7319 665
13551 7386 663
1263 7269 664
21742 7158 665
25838 7774 662
13566 7748 662
1278 7175 661
21759 7458 665
25855 7630 663
21757 7208 664
25853 7329 662
13564 7242 665
1276 7301 663
21752 7214 661
25848 7177 665
13561 7093 663
1273 7342 663
13563 7799 663
1275 7262 664
21754 7163 663
25850 7351 664
21746 7267 662
25842 7327 664
13555 7374 664
1267 7255 663
13553 7097 663
1265 7174 663
21744 7429 664
25840 7440 664
13556 7375 663
1268 7346 667
21749 7408 662
25845 7299 663
21751 7571 663
25847 7135 664
13558 7273 663
1270 7769 663
13526 7163 664
1238 7134 663
21719 7252 665
25815 7439 664
21717 7166 662
25813 7699 661
13524 7286 665
1236 7953 665
21712 7417 663
25808 7357 663
13521 7170 663
1233 7314 662
13523 7542 664
1235 7304 665
21714 7169 663
25810 7224 662
21722 7734 664
25818 7123 663
13531 7279 661
1243 7333 663
13529 7454 664
1241 7415 661
21720 7765 663
25816 7463 663
13532 7426 664
1244 7101 663
21725 7327 663
25821 7161 663
21727 7284 665
25823 7302 663
13534 7463 664
1246 7424 662
21710 7279 662
25806 7771 661
13519 7144 665
1231 7182 663
13517 7585 663
1229 7411 662
21708 7509 664
25804 7141 664
13512 7578 661
1224 7156 662
21705 7323 663
25801 7287 661
21707 7238 663
25803 7333 664
13514 7557 662
1226 7778 663
13506 7555 662
1218 7168 663
21699 7177 663
25795 7607 665
21697 7693 662
25793 7681 666
13504 7189 661
1216 7144 665
21700 7795 662
25796 7296 663
13509 7239 663
1221 7677 662
13511 7311 663
1223 7276 662
21702 7375 665
25798 7465 663
13518 7408 663
1230 7217 662
21711 7354 662
25807 7317 662
21709 7326 666
25805 7396 661
13516 7330 666
1228 7399 661
21704 7382 665
25800 7614 663
13513 7079 663
1225 7260 664
13515 7317 661
1227 7360 662
21706 7265 663
25802 7498 663
21698 7287 667
25794 7271 663
13507 7204 660
1219 7514 662
13505 7274 663
1217 7181 664
21696 7735 663
25792 7188 665
13508 7284 663
1220 7388 663
21701 7424 663
25797 7180 662
21703 7264 664
25799 7277 663
13510 7383 663
1222 7289 664
21718 7307 662
25814 7137 665
13527 7698 664
1239 7550 662
13525 7322 665
1237 7292 661
21716 7179 664
25812 7288 664
13520 7243 661
1232 7532 665
21713 7293 664
25809 7160 662
21715 7241 664
25811 7356 664
13522 7434 664
1234 7350 663
13530 7148 663
1242 7454 661
21723 7420 665
25819 7304 666
21721 7414 663
25817 7328 662
13528 7249 664
1240 7294 662
21724 7373 662
25820 7326 663
13533 7270 664
1245 7481 664
13535 7227 662
1247 7286 662
21726 7083 665
25822 7475 662
21758 7295 664
25854 7412 664
13567 7577 663
1279 7139 663
13565 7281 663
1277 7300 662
21756 7415 660
25852 7442 662
13560 7331 663
1272 7101 665
21753 7323 661
25849 7208 664
21755 7266 662
25851 7130 663
13562 7277 663
1274 7340 660
13554 7418 664
1266 7472 664
21747 7488 662
25843 7208 662
21745 7241 664
25841 7309 663
13552 7344 663
1264 7376 662
21748 7204 662
25844 7422 664
13557 7341 665
1269 7268 661
13559 7156 664
1271 7279 662
21750 7251 663
25846 7153 663
13542 7122 662
1254 7301 662
21735 7307 665
25831 8110 661
21733 8018 664
25829 7279 664
13540 7454 661
1252 7190 664
21728 7510 661
25824 7501 661
13537 7252 662
1249 7365 664
13539 7654 663
1251 7367 665
21730 7156 662
25826 7296 662
21738 7364 665
25834 7438 664
13547 7184 662
1259 7784 664
13545 7273 666
1257 7253 663
21736 7307 665
25832 7759 665
13548 7286 664
1260 7229 663
21741 7262 663
25837 7531 662
21743 7758 663
25839 7314 662
13550 7111 664
1262 7311 660
21526 7245 662
25622 7190 663
13335 7134 663
1047 7334 665
13333 7146 662
1045 7096 663
21524 7477 664
25620 7170 662
13328 7344 663
1040 7269 662
21521 7270 663
25617 7122 664
21523 7158 663
25619 7368 663
13330 8129 662
1042 7215 665
13338 7286 662
1050 7387 663
21531 7066 662
25627 7173 661
21529 7277 661
25625 7227 664
13336 7448 665
1048 7381 665
21532 7362 664
25628 7765 665
13341 7284 662
1053 7233 662
13343 7263 662
1055 7113 662
21534 7195 662
25630 7363 664
13326 7229 665
1038 4825 664
21519 7261 663
25615 7204 662
21517 7410 664
25613 7308 663
13324 7288 665
1036 7121 663
21512 7490 662
25608 7544 665
13321 7371 662
1033 7155 663
13323 7377 664
1035 7299 666
21514 7780 665
25610 7261 664
21506 7176 663
25602 7219 661
13315 7461 665
1027 7371 662
13313 7234 664
1025 7163 663
21504 7257 663
25600 7861 666
13316 7571 665
1028 7396 662
21509 7447 664
25605 7092 662
21511 7206 661
25607 7394 663
13318 7332 663
1030 7300 662
13350 7315 663
1062 7240 662
21543 7140 663
25639 7266 663
21541 7394 663
25637 7324 661
13348 7143 663
1060 7385 663
21536 7259 662
25632 7404 666
13345 7232 663
1057 7351 663
13347 7377 661
1059 7287 663
21538 7683 667
25634 7247 663
21546 7362 665
25642 7330 663
13355 7285 663
1067 7167 666
13353 7294 666
1065 7322 666
21544 7281 665
25640 7318 666
13356 7230 662
1068 7228 665
21549 7288 664
25645 7116 667
21551 7124 665
25647 7387 662
13358 7271 663
1070 7304 662
21566 7329 662
25662 7166 666
13375 7101 663
1087 7363 664
13373 8090 661
1085 7166 663
21564 7507 662
25660 7268 664
13368 7673 664
1080 7306 662
21561 7130 662
25657 7310 662
21563 7323 663
25659 7268 666
13370 7668 664
1082 7315 661
13362 7102 661
1074 7191 663
21555 7117 664
25651 7916 663
21553 7238 662
25649 7587 663
13360 7152 662
1072 7336 662
21556 7231 664
25652 7102 664
13365 7292 664
1077 7596 663
13367 7366 662
1079 7134 661
21558 7268 665
25654 7401 661
13374 7711 661
1086 7099 665
21567 7750 664
25663 7405 663
21565 7814 662
25661 7313 663
13372 7365 665
1084 7474 664
21560 7594 661
25656 7112 662
13369 7240 663
1081 7188 662
13371 7155 664
1083 7113 662
21562 7340 662
25658 7162 664
21554 7719 663
25650 7315 664
13363 7741 661
1075 7321 664
13361 7145 662
1073 7319 662
21552 7201 664
25648 7088 666
13364 7155 662
1076 7226 665
21557 7133 663
25653 7364 663
21559 7250 664
25655 7144 662
13366 7313 664
1078 7498 664
21542 7152 662
25638 7128 664
13351 7186 665
1063 7221 665
13349 7569 662
1061 7143 663
21540 7269 662
25636 7353 661
13344 7309 666
1056 7365 662
21537 7128 663
25633 7116 664
21539 7501 665
25635 7327 661
13346 7345 662
1058 7565 663
13354 7120 663
1066 7185 661
21547 7194 663
25643 7137 663
21545 7102 661
25641 7300 662
13352 7311 665
1064 7457 665
21548 7454 663
25644 7206 666
13357 7158 662
1069 7233 663
13359 7205 663
1071 7321 666
21550 7277 662
25646 7242 664
21518 7272 663
25614 7141 666
13327 7521 664
1039 7229 662
13325 7306 662
1037 7283 662
21516 7107 664
25612 7212 666
13320 7176 662
1032 7396 664
21513 7603 662
25609 7171 663
21515 7128 664
25611 7282 665
13322 7180 663
1034 7261 661
13314 7393 666
1026 7289 663
21507 7149 661
25603 7298 664
21505 7257 662
25601 7312 662
13312 7152 662
1024 7311 665
21508 7250 662
25604 7268 662
13317 7513 663
1029 7547 663
13319 7323 664
1031 7132 663
21510 7216 661
25606 7263 662
13334 7290 663
1046 7234 665
21527 7768 663
25623 7341 662
21525 7593 663
25621 7154 662
13332 7414 664
1044 7527 662
21520 7411 665
25616 7140 665
13329 7579 665
1041 7291 661
13331 7338 662
1043 7394 666
21522 7155 663
25618 7234 663
21530 7107 664
25626 7310 664
13339 7859 664
1051 7653 665
13337 7703 664
1049 7268 664
21528 7463 661
25624 7444 665
13340 7291 663
1052 7205 662
21533 7395 664
25629 7560 663
21535 7217 663
25631 7339 664
13342 7181 664
1054 7349 664
13382 7183 664
1094 7154 665
21575 7285 662
25671 7185 663
21573 7118 663
25669 7277 663
13380 7730 664
1092 7279 662
21568 7546 662
25664 7299 664
13377 7145 663
1089 7150 664
13379 7179 663
1091 7160 663
21570 7475 663
25666 7234 664
21578 7275 664
25674 7374 664
13387 7105 662
1099 7164 664
13385 7317 662
1097 7119 664
21576 7273 665
25672 8036 662
13388 7315 664
1100 7436 664
21581 7088 665
25677 7292 661
