flow_ID DPDK_proc_time frwd_proc_time
14416 6411 664
2128 7372 663
22612 6207 662
26708 6420 662
14421 5953 663
2133 5918 664
14423 5906 663
2135 7252 663
22614 7349 662
26710 7277 664
14406 7251 663
2118 7252 662
22599 9772 662
26695 7399 662
22597 6325 663
26693 5000 664
14404 5060 666
2116 4953 661
22592 4871 666
26688 6258 664
14401 6270 665
2113 7449 663
14403 7802 662
2115 7312 663
22594 7538 662
26690 7542 662
22602 7556 663
26698 7344 662
14411 6276 662
2123 6136 662
14409 4854 663
2121 5173 663
22600 4866 662
26696 7404 664
14412 6387 664
2124 7409 666
22605 7604 663
26701 7312 666
22607 7345 663
26703 6705 665
14414 7385 664
2126 7339 666
14446 8219 662
2158 7406 664
22639 4875 663
26735 4889 664
22637 4888 665
26733 4839 665
14444 4885 664
2156 4986 664
22632 4802 663
26728 4914 660
14441 4915 661
2153 6455 663
14443 6426 662
2155 4790 664
22634 4760 661
26730 4824 665
22626 4956 665
26722 6237 660
14435 6309 666
2147 7230 663
14433 7267 662
2145 7457 661
22624 5881 663
26720 4951 665
14436 6447 663
2148 6240 662
22629 6729 663
26725 4861 662
22631 4888 663
26727 7498 664
14438 8147 663
2150 4987 663
22646 5028 665
26742 5070 665
14455 5032 664
2167 4864 663
14453 4935 662
2165 4951 664
22644 4838 662
26740 4924 664
14448 5082 664
2160 4965 663
22641 5262 664
26737 7309 666
22643 4940 663
26739 4859 663
14450 5060 665
2162 4902 664
14458 4858 663
2170 5426 664
22651 6334 664
26747 5388 663
22649 4865 663
26745 4870 662
14456 5915 661
2168 4891 662
22652 5005 664
26748 4811 666
14461 6884 661
2173 4865 663
14463 8655 662
2175 7357 664
22654 7399 662
26750 7401 662
22566 6018 663
26662 6211 663
14375 6295 663
2087 5126 664
14373 6718 664
2085 6233 663
22564 6258 664
26660 7684 662
14368 7437 663
2080 5154 665
22561 4877 662
26657 4628 661
22563 6255 663
26659 5819 666
14370 4876 663
2082 4756 662
14378 4858 661
2090 4762 665
22571 4762 664
26667 4731 663
22569 6390 662
26665 5540 666
14376 4768 662
2088 4796 662
22572 5488 664
26668 4831 664
14381 5693 663
2093 4743 664
14383 4731 665
2095 4756 662
22574 6240 666
26670 5508 663
14398 4918 662
2110 4784 663
22591 4962 663
26687 4764 661
22589 4899 664
26685 4876 663
14396 4830 661
2108 6411 662
22584 6264 663
26680 6316 663
14393 4630 663
2105 5888 661
14395 4742 666
2107 4765 665
22586 4648 663
26682 4966 662
22578 4874 662
26674 4744 663
14387 4769 663
2099 4712 662
14385 6159 663
2097 4718 663
22576 6180 663
26672 5676 663
14388 6001 662
2100 5028 661
22581 5016 661
26677 4936 662
22583 4893 662
26679 5037 661
14390 5220 662
2102 4980 660
14358 4923 662
2070 4859 663
22551 6323 663
26647 7508 661
22549 4654 662
26645 4944 665
14356 4851 663
2068 5033 662
22544 4895 664
26640 5207 662
14353 6450 664
2065 6321 663
14355 6625 665
2067 5682 664
22546 4874 661
26642 4728 662
22554 4762 664
26650 4922 663
14363 4700 665
2075 5180 666
14361 4734 663
2073 6202 662
22552 6934 664
26648 5813 662
14364 5853 663
2076 4787 664
22557 4962 662
26653 4761 664
22559 4799 662
26655 4818 664
14366 7335 666
2078 6302 662
22542 7693 665
26638 7227 662
14351 5469 665
2063 5911 662
14349 4802 665
2061 4798 663
22540 4796 663
26636 4788 663
14344 4829 662
2056 4772 664
22537 4884 662
26633 4891 666
22539 5091 662
26635 4866 663
14346 6553 664
2058 6138 662
14338 5482 661
2050 6197 665
22531 5484 662
26627 6026 663
22529 5511 662
26625 4899 663
14336 5013 663
2048 4883 663
22532 5461 663
26628 4903 660
14341 5306 662
2053 4919 665
14343 6263 663
2055 6481 664
22534 5476 663
26630 6022 661
14350 4829 663
2062 5216 663
22543 4762 663
26639 4961 662
22541 4765 665
26637 6872 662
14348 6007 663
2060 5862 667
22536 4815 664
26632 4865 663
14345 4894 663
2057 6172 663
14347 7318 662
2059 6318 662
22538 4867 664
26634 4898 661
22530 4851 664
26626 4856 665
14339 5406 664
2051 4872 663
14337 5009 663
2049 6268 661
22528 7334 664
26624 6294 663
14340 5615 665
2052 5964 661
22533 5123 663
26629 4990 666
22535 4938 665
26631 4951 665
14342 4707 663
2054 4755 663
22550 4865 662
26646 4935 663
14359 4766 662
2071 4751 663
14357 5225 663
2069 5048 662
22548 4874 664
26644 4866 663
14352 4919 663
2064 4907 665
22545 6241 662
26641 6313 662
22547 6702 663
26643 5640 662
14354 5019 664
2066 6190 664
14362 5397 662
