flow_ID DPDK_proc_time frwd_proc_time
23655 6432 663
27751 4993 664
23653 4934 663
27749 4813 662
15460 11416 662
3172 5023 664
23648 5295 662
27744 6026 665
15457 7392 666
3169 7443 665
15459 5968 665
3171 5853 662
23650 6720 666
27746 4915 663
23658 7291 662
27754 6202 665
15467 6283 664
3179 4856 663
15465 4982 665
3177 4950 664
23656 7665 661
27752 4888 666
15468 7223 663
3180 7348 663
23661 7386 663
27757 7895 662
23663 6321 662
27759 7404 663
15470 7343 662
3182 7313 665
23702 7468 662
27798 4808 664
15511 4891 660
3223 5694 663
15509 4986 662
3221 5283 663
23700 9075 664
27796 7484 662
15504 7835 663
3216 7354 662
23697 5987 661
27793 5367 664
23699 5052 666
27795 4994 663
15506 4850 662
3218 4937 664
15514 4878 664
3226 6236 661
23707 6335 665
27803 6866 661
23705 7328 666
27801 6052 664
15512 8117 664
3224 5991 664
23708 5443 663
27804 4985 665
15517 7552 666
3229 6247 665
15519 4993 662
3231 7353 663
23710 4966 660
27806 6643 665
15502 4889 664
3214 5072 665
23695 4883 662
27791 4956 663
23693 6997 665
27789 4936 664
15500 7983 664
3212 5946 664
23688 5098 664
27784 4920 662
15497 7678 663
3209 7421 663
15499 7328 663
3211 4893 662
23690 4821 664
27786 6384 664
23682 4760 664
27778 7371 663
15491 4818 666
3203 5051 662
15489 6480 663
3201 4828 663
23680 7188 664
27776 5259 663
15492 4816 664
3204 6068 664
23685 4906 663
27781 6112 664
23687 4745 663
27783 4931 664
15494 7366 664
3206 4692 664
15526 4879 663
3238 4775 664
23719 4805 663
27815 7310 664
23717 4624 662
27813 5475 662
15524 8268 664
3236 4725 663
23712 6040 665
27808 4829 666
15521 7182 662
3233 4933 662
15523 4733 664
3235 5842 663
23714 4869 664
27810 4735 663
23722 5843 664
27818 4797 665
15531 5187 664
3243 7348 662
15529 6509 663
3241 5029 664
23720 8514 664
27816 7227 664
15532 4800 664
3244 4901 665
23725 7399 665
27821 7386 663
23727 4916 661
27823 7219 665
15534 4850 665
3246 4755 662
23742 7327 664
27838 4848 665
15551 6230 664
3263 4979 664
15549 5910 661
3261 4880 663
23740 8914 663
27836 7349 663
15544 5194 664
3256 4795 662
23737 6422 662
27833 4856 664
23739 5080 665
27835 6037 663
15546 4920 664
3258 6332 664
15538 5004 663
3250 4840 664
23731 6949 661
27827 6340 664
23729 4894 667
27825 4926 664
15536 8975 663
3248 7521 665
23732 4939 665
27828 4833 664
15541 5996 663
3253 4906 663
15543 5955 661
3255 4987 664
23734 4876 663
27830 4929 663
15550 6098 664
3262 4706 663
23743 4757 662
27839 5979 663
23741 5131 661
27837 4779 664
15548 6945 663
3260 4806 665
23736 6166 664
27832 4732 663
15545 4878 666
3257 4818 664
15547 7337 664
3259 4996 662
23738 4873 661
27834 5998 664
23730 6231 665
27826 4872 664
15539 7339 664
3251 4857 665
15537 4902 664
3249 6275 663
23728 7251 662
27824 5753 664
15540 4657 663
3252 4845 662
23733 7086 661
27829 4866 661
23735 4846 662
27831 5372 664
15542 4864 662
3254 4615 661
23718 6505 665
27814 4869 661
15527 4905 663
3239 4902 662
15525 6470 664
3237 4553 662
23716 7581 666
27812 4944 663
15520 4895 663
3232 4482 664
23713 4800 663
27809 4993 663
23715 7093 666
27811 4884 663
15522 4914 663
3234 5610 664
15530 4846 662
3242 4961 663
23723 6246 663
27819 4550 664
23721 4892 663
27817 4963 663
15528 8268 664
3240 4840 664
23724 4891 663
27820 6227 661
15533 4694 663
3245 4890 664
15535 4895 661
3247 5650 662
23726 4968 664
27822 4869 661
23694 5148 663
27790 6263 662
15503 4525 663
3215 5572 665
15501 6282 665
3213 4855 665
23692 7890 664
27788 7627 662
15496 4550 663
3208 5283 665
23689 6260 664
27785 4537 661
23691 4865 661
27787 4976 662
15498 4833 663
3210 4500 663
15490 5341 662
3202 4837 665
23683 6269 663
27779 4540 663
23681 4955 663
27777 5059 666
15488 8705 665
3200 4595 662
23684 5342 661
27780 6180 662
15493 6400 666
3205 4923 664
15495 4863 662
3207 5044 665
23686 8466 663
27782 4901 662
15510 6071 663
3222 4561 664
23703 5134 663
27799 4832 663
23701 6195 662
27797 5708 665
15508 7057 664
3220 4920 662
23696 5718 663
27792 5628 666
15505 5122 663
3217 4983 662
15507 6325 662
3219 4483 666
23698 4886 664
27794 4911 663
23706 5061 662
27802 6236 663
15515 4954 665
3227 5058 664
15513 5271 662
3225 6349 661
23704 6892 665
27800 5359 663
15516 7141 663
3228 7780 661
23709 5088 661
27805 6245 662
23711 4901 663
27807 4931 665
15518 6190 662
3230 5466 661
15558 5032 662
3270 4814 664
23751 4866 663
27847 4628 663
23749 5164 660
27845 4954 662
15556 8603 661
3268 4723 660
23744 5021 664
27840 5053 662
15553 6218 664
3265 5533 662
15555 5092 661
3267 5012 663
23746 4751 666
27842 4897 664
23754 5165 666
27850 4742 664
15563 4804 663
3275 4436 662
15561 5009 665
3273 6367 662
23752 8697 663
27848 4472 665
15564 5011 663
3276 4769 663
23757 4388 664
27853 4719 663
23759 4821 664
27855 4882 663
15566 6172 662
3278 4642 662
23774 4718 662
27870 4929 663
15583 6537 664
3295 4602 663
21110 5137 664
25206 6763 663
12919 8172 662
631 4976 666
12917 5087 663
629 6710 661
21108 4623 664
25204 5040 663
12912 4932 662
624 6380 662
21105 7380 663
25201 6226 664
21107 4853 664
25203 4846 662
12914 5662 661
626 5170 663
12922 5144 664
634 4888 663
21115 8446 661
25211 4560 663
21113 5637 663
25209 5158 663
12920 4593 664
632 4762 664
21116 4845 664
25212 6505 664
12925 4567 664
637 4864 662
12927 6275 664
639 4733 662
21118 5111 662
25214 4906 662
12910 4478 662
622 4906 665
21103 7319 665
25199 4517 663
21101 4836 662
25197 4898 662
12908 6240 662
620 4320 663
21096 5005 665
25192 4859 664
12905 6253 664
617 4434 662
12907 5115 665
619 4864 663
21098 5630 663
25194 4977 662
21090 5065 666
25186 6223 661
12899 8260 665
611 4847 663
12897 5538 662
609 4908 663
21088 5772 664
25184 4872 664
12900 4752 663
612 5750 664
21093 4891 664
25189 4826 662
21095 7817 663
25191 4954 661
12902 5047 662
614 4961 662
12870 4732 664
582 5440 665
21063 7226 660
25159 5062 664
21061 5953 662
25157 4820 664
12868 5245 663
580 5644 665
21056 5898 664
25152 4721 664
12865 5476 663
577 4933 664
12867 6566 666
579 4688 664
21058 4920 663
25154 4893 663
21066 5130 663
25162 4816 664
12875 7829 662
587 6259 663
12873 5612 664
585 4832 664
21064 7284 666
25160 4543 663
12876 4922 663
588 4780 665
21069 6254 662
25165 4485 665
25167 4880 665
12878 6161 666
590 4399 664
21086 4764 663
25182 4881 661
12895 8819 663
607 4812 661
12893 4886 665
605 4766 662
21084 5408 661
25180 4793 663
12888 4872 663
600 7124 666
21081 6103 662
25179 4706 664
12890 5272 664
602 4856 664
12882 5682 663
594 4874 663
21075 8392 664
25171 4932 663
21073 5100 663
25169 6288 663
12880 4492 662
592 4934 663
21076 4889 664
25172 5580 663
12885 4872 663
597 5010 663
12887 6232 662
599 5005 664
21078 4892 664
25174 4940 665
12894 5816 664
606 4791 664
21087 7444 665
25183 5794 663
21085 4856 665
25181 4879 663
12892 5550 665
604 7122 665
21080 4976 664
25176 6300 662
12889 4659 664
601 4965 663
12891 5663 662
603 5090 663
21082 4841 665
25178 6301 661
21074 4848 661
25170 4837 665
12883 7125 662
595 6266 665
12881 6880 664
593 4513 662
21072 5274 661
25168 4923 663
12884 4960 663
596 4854 664
21077 5024 663
25173 4850 663
21079 4622 664
25175 5013 664
12886 6323 664
598 6487 664
21062 4603 664
25158 4982 664
12871 9866 664
583 4810 665
12869 5250 664
581 5544 663
21060 4988 666
25156 5034 665
12864 6632 664
576 5715 664
21057 5513 665
25153 4750 664
21059 5623 662
25155 4821 668
12866 4831 665
578 6099 664
12874 4903 663
586 4754 661
21067 6804 664
25163 5887 663
21065 4869 662
25161 4896 665
12872 4868 662
584 6002 663
21068 4871 666
25164 4904 663
12877 6205 662
589 4462 662
12879 7701 663
591 6283 662
21070 4419 661
25166 4788 667
21102 6175 663
25198 4415 664
12911 6988 663
623 4659 663
12909 6226 662
621 4310 663
21100 4623 663
25196 4699 662
12904 4460 662
616 4758 663
21097 6040 664
25193 7264 664
21099 4414 662
25195 4889 666
12906 6174 663
618 4398 661
12898 4700 661
610 6325 664
21091 6879 662
25187 7179 663
21089 4577 663
25185 5553 660
12896 4682 667
608 4834 662
21092 6123 663
25188 4258 665
12901 4748 666
613 5695 667
12903 4685 664
615 4929 663
21094 5637 661
25190 4691 662
12918 4646 664
630 4903 663
21111 7315 664
25207 4279 664
21109 4926 663
25205 4752 664
12916 4752 664
628 7155 662
21104 4466 665
25200 4645 665
12913 5480 663
625 4755 663
12915 4762 664
627 6021 663
21106 4597 662
25202 4656 663
21114 4627 662
25210 4902 662
12923 6680 662
635 4759 664
12921 4860 662
633 7133 662
21112 4392 662
25208 4815 663
12924 4572 664
636 5528 662
21117 4603 664
25213 4783 661
21119 4695 663
25215 5669 664
12926 5366 662
638 4661 665
12838 4621 662
550 5454 663
21031 6041 663
25127 4703 663
21029 6516 665
25125 4266 665
12836 4685 663
548 4596 665
21024 7108 662
25120 4657 661
12833 4704 662
545 5403 664
12835 4588 663
547 4628 662
21026 5960 665
25122 6126 661
21034 4352 663
25130 4664 663
12843 5300 663
555 5363 663
12841 4733 664
553 4658 664
21032 4669 664
25128 4314 663
12844 4596 663
556 4576 663
21037 5405 663
25133 4648 663
21039 4814 663
25135 4727 664
12846 6160 662
558 7113 664
21054 4611 666
25150 4589 665
12863 6966 664
575 6069 663
12861 4293 662
573 4723 665
21052 4786 665
25148 5398 664
12856 4599 663
568 4693 661
21049 4636 662
25145 4415 664
21051 4930 663
25147 4903 661
12858 5478 664
570 4717 663
12850 4624 664
562 4617 665
21043 6730 663
25139 4767 665
21041 4828 662
25137 5555 663
12848 4653 665
560 4668 660
21044 5984 662
25140 4409 663
12853 9345 662
565 5395 662
12855 4783 663
567 4677 662
