flow_ID DPDK_proc_time frwd_proc_time
451 4989 665
12737 4947 661
449 5072 662
20928 5113 663
25024 5019 662
12740 4987 661
452 4835 662
20933 5161 664
25029 7564 664
20935 4808 661
25031 5333 664
12742 5056 663
454 4972 662
20942 7880 664
25038 6725 663
12751 7408 662
463 5059 663
12749 4983 662
461 4881 663
20940 6242 665
25036 6359 661
12744 7402 664
456 7496 662
20937 7691 665
25033 4828 662
20939 4962 663
25035 4868 663
12746 5084 663
458 5930 664
12738 7346 665
450 7704 663
20931 6223 665
25027 7331 662
20929 7318 664
25025 7360 663
12736 6266 664
448 7495 663
20932 7321 664
25028 6000 663
12741 6134 665
453 5041 663
12743 5101 664
455 4948 662
20934 4878 662
25030 7846 663
12758 7337 663
470 6028 663
20951 4831 661
25047 5800 664
20949 4729 661
25045 4863 663
12756 4996 664
468 4835 664
20944 5585 662
25040 4863 665
12753 6254 664
465 7509 661
12755 5964 663
467 4919 664
20946 5026 663
25042 4854 662
20954 6295 662
25050 4858 663
12763 7484 662
475 7856 663
12761 5432 665
473 5015 664
20952 4992 661
25048 4897 662
12764 6269 664
476 6395 664
20957 7376 663
25053 6908 662
20959 7377 663
25055 4893 665
12766 4909 661
478 4959 661
12798 5122 662
510 4891 664
20991 5679 663
25087 5018 663
20989 4914 663
25085 6292 664
12796 6489 663
508 7206 664
20984 4862 664
25080 5119 665
12793 4860 662
505 4913 663
12795 5012 662
507 6218 665
20986 5526 663
25082 4914 663
20978 6450 664
25074 6430 664
12787 5057 663
499 4817 662
12785 5100 663
497 4917 663
20976 5232 664
25072 7628 662
12788 6261 664
500 6308 661
20981 5128 662
25077 4966 662
20983 5006 662
25079 5096 664
12790 5001 663
502 6454 665
20966 5031 661
25062 5036 663
12775 4870 665
487 5346 664
12773 5070 662
485 5912 661
20964 6978 664
25060 7955 663
12768 4852 664
480 4870 664
20961 5241 665
25057 4855 666
20963 5192 663
25059 5005 665
12770 7544 663
482 4948 661
12778 5128 664
490 4892 663
20971 7583 665
25067 4799 662
20969 4927 664
25065 5156 665
12776 6679 666
488 6112 666
20972 6427 663
25068 6343 662
12781 4937 664
493 4866 664
12783 4778 663
495 6297 663
20974 6335 663
25070 4879 661
12566 4876 664
278 4908 665
20759 7321 665
24855 6292 664
20757 5109 664
24853 4828 662
12564 4955 664
276 4909 664
20752 4950 663
24848 7344 661
12561 4865 664
273 4878 664
12563 4920 663
275 7367 663
20754 4994 661
24850 5028 662
20762 4911 664
24858 5979 663
12571 6302 664
283 5155 662
12569 4747 664
281 5281 663
20760 4785 664
24856 4754 665
12572 6222 665
284 6429 660
20765 5562 664
24861 4884 663
20767 4787 664
24863 5370 663
12574 4868 662
286 6034 665
20750 7373 663
24846 5043 664
12559 5441 662
271 4847 665
12557 4881 663
269 5990 663
20748 6276 663
24844 7058 664
12552 6201 663
264 4944 665
20745 4939 664
24841 6089 663
20747 6428 665
24843 4855 662
12554 5141 662
266 5207 664
12546 4998 664
258 5915 662
20739 7024 662
24835 4890 663
20737 4893 663
24833 4967 661
12544 6565 664
256 4882 665
20740 5277 665
24836 5273 664
12549 5070 664
261 8522 663
12551 6754 663
263 5190 662
20742 7458 662
24838 6039 664
20774 6487 664
24870 4842 662
12583 5205 663
295 4849 664
12581 6172 661
293 7392 663
20772 4894 663
24868 5132 662
12576 4822 663
288 5933 664
20769 7773 663
24865 7359 662
20771 4872 664
24867 4903 662
12578 4969 664
290 4876 665
12586 4836 665
298 6137 662
20779 6856 661
24875 4894 664
20777 4876 662
24873 7777 664
12584 5968 661
296 7381 661
20780 5031 664
24876 6643 663
12589 5077 662
301 4850 665
12591 4841 664
303 6260 664
20782 4896 665
24878 4813 661
12606 4981 663
318 4665 662
20799 5213 664
24895 4864 663
20797 5772 662
24893 4837 664
12604 5112 661
316 6298 661
20792 4497 663
24888 5125 661
12601 6448 663
313 4583 665
12603 4907 664
315 4852 663
20794 6716 663
24890 4480 663
20786 5059 662
24882 5825 663
12595 5120 662
307 5004 662
12593 4877 662
305 5784 664
20784 5257 662
24880 4932 662
12596 4869 664
308 4557 664
20789 4850 663
24885 4979 664
20791 4878 663
24887 7779 663
12598 4539 663
310 4881 663
20798 6359 661
24894 4739 665
12607 4855 663
319 5041 663
12605 7536 662
317 4551 664
20796 5475 662
24892 6285 661
12600 4575 664
312 4904 662
20793 7572 664
24889 4568 664
20795 5033 662
24891 4722 662
12602 7485 663
314 4580 664
12594 4909 661
306 7323 666
20787 5889 663
24883 4901 662
20785 5048 663
24881 4866 664
12592 4597 664
304 4899 661
20788 4915 662
24884 5073 662
12597 5816 662
309 4947 665
12599 4851 662
311 6729 662
20790 5048 662
24886 4854 663
12582 5961 661
294 4941 663
20775 4876 664
24871 6421 665
20773 4663 662
24869 4958 664
12580 4927 664
292 4903 665
20768 6626 664
24864 4626 660
12577 5056 663
289 4994 663
12579 6517 664
291 5086 662
20770 4831 664
24866 4925 664
20778 5597 663
24874 4807 664
12587 5122 662
299 6273 663
12585 5677 664
297 5157 663
20776 5117 665
24872 5612 661
12588 4854 665
300 4983 665
20781 4859 663
24877 4668 662
20783 4959 665
24879 4988 665
12590 6491 662
302 4672 664
12558 6223 662
270 5720 664
20751 4857 662
24847 4833 665
20749 6299 662
24845 4696 662
12556 4863 664
268 4870 663
20744 4548 662
24840 4849 663
12553 4896 661
265 6465 663
12555 4548 662
267 4998 663
20746 6553 663
24842 4711 662
20738 4891 665
24834 4848 662
12547 5740 664
259 4944 661
12545 4831 665
257 6412 663
20736 4586 662
24832 4973 664
12548 6227 664
260 4452 663
20741 4886 662
24837 4860 664
20743 4668 663
24839 4866 665
12550 4920 661
262 6436 663
20758 4533 663
24854 4884 664
12567 5087 663
279 4854 664
12565 4827 663
277 5067 662
20756 4803 664
24852 4434 665
12560 4905 664
272 4928 664
20753 7123 664
24849 4486 663
20755 4978 661
24851 4742 666
12562 4727 662
274 4864 664
12570 4913 661
282 7376 665
20763 6038 664
24859 4915 662
20761 4914 663
24857 6276 663
12568 5566 665
280 4855 661
20764 4831 662
24860 5622 665
