flow_ID DPDK_proc_time frwd_proc_time
21704 7908 664
25800 7370 661
13513 7818 664
1225 7360 662
13515 5165 663
1227 7431 663
21706 6228 664
25802 7351 663
21698 5236 664
25794 7625 663
13507 6362 663
1219 5957 664
13505 7707 661
1217 6386 666
21696 4941 665
25792 5087 663
13508 6131 666
1220 7321 664
21701 5001 662
25797 6152 664
21703 6345 665
25799 7885 662
13510 6249 660
1222 4878 665
21718 5941 663
25814 7389 662
13527 7344 664
1239 5366 661
13525 4811 664
1237 5389 663
21716 5211 663
25812 6500 664
13520 7639 663
1232 7368 662
21713 4970 662
25809 4965 663
21715 5146 663
25811 7373 663
13522 7381 664
1234 7816 665
13530 5054 662
1242 5073 666
21723 4905 662
25819 6120 661
21721 7587 664
25817 6251 665
13528 7068 663
1240 5403 665
21724 5122 663
25820 6070 662
13533 7379 664
1245 5002 665
13535 4835 662
1247 6046 662
21726 7546 663
25822 7299 663
21758 6481 665
25854 5350 663
13567 4870 665
1279 7344 662
13565 5132 664
1277 5171 663
21756 4950 663
25852 5999 662
13560 4829 666
1272 4867 662
21753 6306 664
25849 5044 662
21755 4902 663
25851 5096 665
13562 4800 663
1274 6758 663
13554 4956 663
1266 4849 662
21747 6827 661
25843 4925 662
21745 6077 662
25841 6323 663
13552 5379 662
1264 4842 664
21748 6634 664
25844 4927 665
13557 5009 664
1269 6289 663
13559 4894 661
1271 6262 664
21750 4917 662
25846 6328 663
13542 5922 665
1254 4977 662
21735 6060 667
25831 4857 662
21733 4856 665
25829 6182 661
13540 4952 663
1252 4903 661
21728 4872 663
25824 7819 665
13537 4996 663
1249 5956 664
13539 7091 661
1251 4847 662
21730 5191 664
25826 7464 662
21738 5108 664
25834 5888 664
13547 5148 664
1259 4840 662
13545 5033 664
1257 4948 661
21736 5994 662
25832 4884 661
13548 4978 663
1260 6125 662
21741 6659 662
25837 5260 661
21743 6681 663
25839 5136 664
13550 4915 664
1262 6287 662
21526 4903 663
25622 4843 663
13335 6286 665
1047 5029 663
13333 4912 662
1045 6948 662
21524 7390 664
25620 5011 665
13328 5894 666
1040 6436 663
21521 5042 663
25617 5034 664
21523 7443 663
25619 6371 664
13330 5028 663
1042 6233 663
13338 4895 664
1050 4985 663
21531 6777 662
25627 4894 664
21529 5141 662
25625 6144 664
13336 5014 662
1048 5068 663
21532 4827 666
25628 6599 662
13341 7607 664
1053 5041 663
13343 4965 663
1055 5921 662
21534 4813 663
25630 4856 664
13326 7395 663
1038 4959 662
21519 4926 662
25615 4896 661
21517 4966 662
25613 6260 662
13324 4820 665
1036 4880 664
21512 4949 663
25608 4897 661
13321 5877 661
1033 6450 663
13323 4961 663
1035 5044 663
21514 6723 665
25610 4800 665
21506 5059 664
25602 7374 663
13315 4922 664
1027 4859 662
13313 6206 665
1025 4917 662
21504 4943 664
25600 5438 662
13316 4846 664
1028 6243 662
21509 4915 661
25605 4944 663
21511 8008 663
25607 5348 661
13318 4989 664
1030 6405 663
13350 4879 662
1062 4840 662
21543 6004 663
25639 7302 663
21541 5034 663
25637 6234 664
13348 6301 663
1060 5022 665
21536 4932 663
25632 6491 665
13345 5057 662
1057 4898 665
13347 4690 663
1059 5831 664
21538 5029 663
25634 6458 666
21546 5637 664
25642 4910 662
13355 4986 664
1067 4986 664
13353 6223 662
1065 5747 664
21544 4949 663
25640 5282 665
13356 4880 662
1068 5045 664
21549 6246 661
25645 6443 665
21551 4831 663
25647 4871 665
13358 4857 662
1070 4850 665
21566 6238 663
25662 7578 663
13375 4717 663
1087 4860 664
13373 5012 663
1085 4870 665
21564 5345 661
25660 4800 663
13368 6272 662
1080 7887 664
21561 4524 663
25657 4866 663
21563 5884 662
25659 4850 664
13370 5002 663
1082 4679 664
13362 4903 663
1074 5072 663
21555 4874 664
25651 6098 663
21553 5775 665
25649 4895 665
13360 4864 662
1072 4789 663
21556 5175 662
25652 6274 664
13365 4439 662
1077 4959 663
13367 5071 662
1079 4763 661
21558 6281 664
25654 4408 661
13374 4804 662
1086 4736 661
21567 4979 662
25663 4736 663
21565 5016 663
25661 4710 665
13372 4880 663
1084 4747 662
21560 5156 662
25656 6246 663
13369 6363 664
1081 4527 665
13371 5126 665
1083 5380 662
21562 5041 661
25658 4926 660
21554 4879 660
25650 6129 663
13363 4848 664
1075 4795 665
13361 4905 665
1073 6271 662
21552 8283 663
25648 7477 662
13364 5926 665
1076 4855 664
21557 7193 666
25653 7207 667
21559 5219 661
25655 6078 664
13366 4897 661
1078 5340 663
21542 5162 663
25638 6262 661
13351 5824 666
1063 5048 662
13349 5283 663
1061 5073 663
21540 4866 662
25636 4974 663
13344 4909 662
1056 5665 662
21537 4900 662
25633 4922 662
21539 4906 665
25635 6208 663
13346 7399 663
1058 6417 661
13354 5665 666
1066 4907 664
21547 4985 663
25643 5007 666
21545 7585 663
25641 4909 663
13352 4818 664
1064 7366 662
21548 4879 661
25644 7680 663
13357 4969 663
1069 6411 664
13359 4871 662
1071 5933 664
21550 6450 663
25646 5077 662
21518 6285 662
25614 4773 665
13327 6373 664
1039 4690 664
13325 7291 664
1037 7425 662
21516 6419 663
25612 6153 662
13320 5830 663
1032 7350 663
21513 5832 663
25609 8224 663
21515 4906 664
25611 7440 662
13322 4914 664
1034 7406 664
13314 5033 664
1026 7454 663
21507 5040 663
25603 7223 665
21505 5218 665
25601 5964 664
13312 5450 663
1024 5943 665
21508 6265 662
25604 4847 661
13317 4889 666
1029 4829 664
13319 7300 661
1031 4764 661
21510 7265 665
25606 6146 665
13334 6192 663
1046 5812 662
21527 4918 663
25623 7241 665
21525 7488 661
25621 4737 662
13332 7821 664
1044 5341 662
21520 7839 662
25616 4842 662
13329 6098 662
1041 6339 662
13331 5350 664
1043 7452 665
21522 4878 661
25618 7817 666
21530 6287 663
25626 7849 663
13339 4819 661
1051 6074 663
13337 6475 661
1049 4823 665
21528 7382 664
25624 4846 665
13340 7533 662
1052 5051 662
21533 7594 665
25629 4932 663
21535 7442 663
25631 5083 665
13342 6086 665
1054 6651 662
13382 4901 662
1094 6645 664
21575 4840 664
25671 7488 663
21573 7411 664
25669 5025 664
13380 5372 661
1092 6973 664
21568 4899 663
25664 5209 663
13377 7542 662
1089 5380 661
13379 7390 664
1091 5376 662
21570 7562 663
25666 6374 662
21578 7415 665
25674 6289 664
13387 5979 665
1099 5971 664
13385 4954 663
1097 6413 664
21576 7452 663
25672 4837 663
13388 6277 665
1100 4992 664
21581 7381 664
25677 7489 663
21583 5480 664
25679 6264 662
13390 7534 663
1102 6253 665
21598 6249 665
25694 7322 663
13407 5044 663
1119 7856 661
13405 5014 665
1117 5948 664
21596 6246 665
25692 4704 662
13400 7343 665
1112 5079 665
21593 7290 663
25689 4797 661
21595 7602 663
25691 6252 663
13402 7372 663
1114 4951 665
13394 5957 663
1106 7361 664
21587 4876 663
25683 7496 664
21585 4841 662
25681 7427 661
13392 6990 664
1104 4867 661
21588 7357 663
25684 4857 665
13397 5939 662
1109 6268 664
13399 5967 664
1111 6311 663
21590 5018 665
25686 7371 661
21622 4873 662
25718 7348 663
13431 7515 661
1143 4927 663
13429 7361 665
1141 7314 663
21620 4771 665
25716 4757 663
13424 5897 665
1136 6221 663
21617 5881 665
25713 7249 664
21619 4802 664
25715 6678 664
13426 4789 661
1138 7197 663
13434 4834 662
1146 7380 664
21627 6672 665
25723 4793 664
21625 7219 663
25721 6020 663
13432 7400 665
1144 4847 665
21628 7355 665
25724 7350 665
13437 4892 663
13439 5123 665
1151 7358 663
21630 4831 664
25726 6169 662
13422 6648 663
1134 5977 664
21615 7437 663
25711 4877 662
21613 7630 665
25709 5347 666
13420 7353 664
1132 4832 663
21608 6551 664
25704 7480 665
13417 5016 664
1129 7379 662
13419 5828 665
1131 7450 662
21610 4815 665
25706 7412 664
21602 4923 661
25698 7962 663
13411 7258 664
1123 5939 664
13409 7348 663
1121 4946 663
21600 6035 664
25696 6218 662
13412 5004 664
1124 7418 662
21605 5288 664
25701 7538 662
21607 4902 662
25703 7341 665
13414 4860 663
1126 7359 664
21614 4862 664
25710 6989 664
13423 6252 665
1135 4838 662
13421 7322 663
1133 5923 661
21612 7269 664
25708 4714 665
13416 7178 663
1128 5289 664
21609 7362 662
25705 4718 660
21611 5937 662
25707 6214 662
13418 4753 664
1130 7202 662
13410 4683 664
1122 7267 662
21603 4747 664
25699 7223 663
21601 6184 664
25697 6879 662
13408 6180 662
1120 5771 662
21604 4756 663
25700 6073 664
13413 7204 662
1125 4729 661
13415 7303 663
1127 4822 666
21606 5815 664
25702 6096 665
13430 5699 666
1142 6033 665
21623 4652 662
25719 4670 662
21621 4670 663
25717 6255 661
13428 6037 662
1140 4744 665
21616 7317 663
25712 4600 663
13425 7230 663
1137 7107 662
13427 4641 665
1139 7079 663
21618 4664 664
25714 7149 664
21626 6066 663
25722 7202 665
13435 4644 661
1147 5691 662
13433 7118 661
1145 4638 662
21624 6445 662
25720 4899 663
13436 7254 662
1148 4922 660
21629 7349 663
25725 4674 665
21631 7154 663
25727 5985 664
13438 5837 663
1150 6014 666
13406 5700 663
1118 7236 663
21599 4788 663
25695 4630 661
21597 4653 665
25693 7149 664
13404 4785 663
1116 7114 665
21592 7225 664
25688 4704 665
13401 7248 664
1113 4618 662
13403 7257 665
1115 4647 666
21594 5779 664
25690 4738 662
21586 5908 665
25682 6030 662
13395 6363 662
1107 7581 663
13393 6071 665
1105 4647 665
21584 6346 664
25680 4768 665
13396 8068 662
1108 4701 664
21589 4561 664
25685 5515 663
21591 5757 663
25687 6046 663
13398 4728 663
1110 6031 662
21574 4817 662
25670 7267 663
13383 6228 665
1095 4591 664
13381 7947 664
1093 4625 665
21572 7119 664
25668 4766 664
13376 7296 663
1088 4748 663
21569 5694 662
25665 6468 663
21571 5120 663
25667 6834 663
13378 5893 665
1090 7771 663
13386 4817 663
1098 6926 661
21579 6363 663
25675 5897 662
21577 4762 665
25673 4853 665
13384 7141 663
1096 4637 663
21580 7182 663
25676 6301 663
13389 5810 666
1101 5629 666
13391 5927 660
1103 7194 662
21582 4853 662
25678 6163 664
14454 4755 664
2166 7151 667
22647 7276 663
26743 4626 662
22645 7251 664
26741 4686 662
14452 4901 663
2164 5380 664
22640 5875 664
26736 7429 662
14449 4659 663
2161 7195 664
14451 4921 663
2163 7640 662
22642 4782 665
26738 7179 663
22650 4614 664
26746 6854 664
14459 6074 662
2171 5742 664
14457 7556 664
2169 4626 663
22648 7308 662
26744 4841 663
14460 5710 663
2172 5847 662
22653 5853 662
26749 4792 660
22655 4602 664
26751 5967 662
14462 4655 663
2174 6048 664
22638 4847 663
26734 7154 664
14447 4783 665
2159 7217 663
14445 7132 664
2157 6258 661
22636 7321 664
26732 4602 663
14440 7300 664
2152 4697 663
22633 7329 663
26729 6044 667
22635 5871 662
26731 5072 665
14442 5891 664
2154 7120 661
14434 4927 664
2146 4646 663
22627 5149 665
26723 7240 664
22625 4817 663
26721 7402 665
14432 4697 664
2144 7171 664
22628 4706 665
26724 6666 663
14437 6134 663
2149 4686 663
14439 7224 665
2151 4680 662
22630 7291 663
26726 4663 662
22598 5735 662
26694 4930 663
14407 7269 664
2119 6242 666
14405 5801 665
2117 7142 663
22596 4640 662
26692 7278 664
14400 4596 665
2112 7217 665
22593 6065 663
26689 5753 664
22595 6041 663
26691 4781 662
14402 7115 661
2114 4728 664
14410 7273 663
2122 4609 663
22603 7149 665
26699 4658 661
22601 5899 664
26697 6473 664
14408 4616 666
2120 7399 662
22604 6394 661
26700 7336 662
14413 4777 662
2125 7105 663
14415 4596 662
2127 7250 663
22606 4645 664
26702 4640 662
14430 7126 664
2142 4671 661
22623 7634 662
26719 4678 662
22621 7647 663
26717 5990 663
14428 7910 662
2140 7212 662
22616 5466 663
26712 7253 662
14425 4882 664
2137 7147 663
14427 5348 663
2139 7359 664
22618 7284 661
26714 4844 664
22610 4658 663
26706 7108 663
14419 6015 662
2131 5662 662
14417 7257 665
2129 5758 666
22608 4660 664
26704 4718 663
14420 7283 666
2132 4847 661
22613 7259 662
26709 4789 663
22615 7688 664
26711 4716 663
14422 5778 664
2134 6014 661
22622 4690 662
26718 7103 665
14431 5131 664
2143 7136 662
14429 4676 663
2141 6138 662
22620 6083 664
26716 8085 664
14424 5497 665
2136 6618 663
22617 5990 662
26713 7095 664
22619 4811 662
26715 5711 662
14426 7100 664
2138 6073 664
14418 5909 665
2130 6042 664
22611 5766 662
26707 6072 665
22609 4956 663
26705 4762 663
14416 4613 664
