flow_ID DPDK_proc_time frwd_proc_time
156 7753 662
20637 7117 665
24733 7288 667
20639 6492 663
24735 7828 666
12446 13410 664
158 4756 665
20622 7354 663
24718 7451 667
12431 7296 668
143 7438 665
12429 7877 665
141 4895 664
20620 7640 664
24716 6107 665
12424 7333 665
136 5060 666
20617 7998 663
24713 4881 664
20619 7329 665
24715 4786 665
12426 7477 664
138 7300 666
12418 7855 667
130 7412 665
20611 7673 663
24707 6331 665
20609 8304 665
24705 7490 666
12416 7865 664
128 7297 665
20612 7361 664
24708 11435 665
12421 4842 664
133 5849 665
12423 4778 665
135 4778 665
20614 10432 664
24710 5926 663
12430 7460 664
142 7835 665
20623 7786 663
24719 4904 665
20621 7596 665
24717 4849 665
12428 4869 663
140 7373 664
20616 4893 665
24712 7427 666
12425 7383 664
137 4878 667
12427 6278 664
139 5953 663
20618 7958 668
24714 6408 664
20610 5105 666
24706 7149 665
12419 5324 664
131 7323 668
12417 4855 667
129 5882 662
20608 5314 663
24704 6261 663
12420 7418 666
132 4659 665
20613 6266 665
24709 5017 665
20615 6376 667
24711 5030 666
12422 9600 665
134 5024 665
20630 6406 664
24726 5043 663
12439 6005 664
151 4800 666
12437 7371 666
149 6444 665
20628 4954 665
24724 6054 667
12432 4688 669
144 4856 664
20625 6231 662
24721 6009 665
20627 7258 664
24723 5307 666
12434 9324 665
146 4925 664
12442 6182 666
154 5246 664
20635 6713 664
24731 4811 664
20633 5292 666
24729 4943 666
12440 6921 667
152 4800 664
20636 6226 666
24732 5073 665
12445 6680 664
157 4852 664
12447 5024 666
159 4862 664
20638 9200 665
24734 4884 667
20670 4986 664
24766 5368 665
12479 5648 665
191 8243 663
12477 4864 666
189 4888 668
20668 5520 666
24764 7294 664
12472 4844 666
184 5031 665
20665 5834 664
24761 4816 664
20667 4866 663
24763 4974 665
12474 7566 666
186 4811 665
12466 4729 663
178 4805 665
20659 4862 663
24755 6364 664
20657 4842 664
24753 7368 665
12464 4775 664
176 5866 664
20660 4960 664
24756 4903 666
12469 7236 665
181 4730 664
12471 4875 663
183 4773 668
20662 7340 663
24758 4753 664
12454 6280 664
166 5466 665
20647 5827 666
24743 5675 665
20645 4753 664
24741 7408 664
12452 5634 665
164 5988 664
20640 4862 665
24736 5081 665
12449 5148 665
161 4999 667
12451 6482 664
163 4993 664
20642 10525 666
24738 4708 665
