flow_ID DPDK_proc_time frwd_proc_time
27334 7795 666
15047 7590 664
2759 6392 664
15045 6109 668
2757 7355 666
23236 7800 668
27332 6259 666
15040 7567 665
2752 10315 663
23233 4896 665
27329 7340 667
23235 7236 665
27331 10787 667
15042 6674 664
2754 5440 665
15050 6331 665
2762 4961 664
23243 4959 665
27339 4895 666
23241 5041 664
27337 4901 663
15048 6465 665
2760 6284 667
23244 7415 665
27340 10843 665
15053 7138 666
2765 4758 664
15055 5433 664
2767 7404 664
23246 7266 664
27342 5886 669
23278 4935 664
27374 4842 665
15087 5015 665
2799 4835 665
15085 6382 664
2797 5352 664
23276 4760 667
27372 8043 667
15080 7423 669
2792 8676 665
23273 6171 666
27369 7648 666
23275 6146 665
27371 7207 667
15082 7411 663
2794 5852 665
15074 6134 663
2786 5971 664
23267 5025 665
27363 6541 664
23265 6439 665
27361 6133 663
15072 6281 662
2784 7007 665
23268 7405 665
27364 7498 663
15077 5001 666
2789 4893 664
15079 5279 666
2791 4898 663
23270 5422 665
27366 7058 666
15094 7369 665
2806 4782 666
23287 4863 662
27383 6450 668
23285 4936 664
27381 6465 665
15092 6048 664
2804 4821 664
23280 5010 665
27376 8468 668
15089 4877 666
2801 6939 664
15091 6786 667
2803 4872 664
23282 4777 666
27378 4805 665
23290 7705 665
27386 6185 666
15099 6381 663
2811 4747 665
15097 4858 664
2809 7518 666
23288 7465 664
27384 4902 667
15100 5020 664
2812 8752 666
23293 5892 664
27389 5240 663
23295 4923 663
27391 4781 665
15102 5353 664
2814 4923 665
15014 6626 664
2726 4867 664
23207 6409 666
27303 4847 668
23205 4898 665
27301 5667 664
15012 4903 666
2724 5977 665
23200 6066 664
27296 9674 665
15009 4859 664
2721 4949 664
15011 6911 665
2723 4934 666
23202 5037 665
27298 4911 667
23210 7335 665
27306 4873 665
15019 5083 665
2731 4886 667
15017 7385 666
2729 6391 663
23208 5075 665
27304 4987 665
15020 4829 667
2732 4923 668
23213 6617 664
27309 5009 662
23215 5917 665
27311 6301 666
15022 4799 663
2734 4827 664
23230 5023 666
27326 5280 664
15039 6258 663
2751 5125 663
15037 7442 667
2749 6283 664
23228 4824 662
27324 4845 664
15032 5049 665
2744 6379 663
23225 5178 665
27321 4853 666
23227 5960 663
27323 6255 667
15034 5000 665
2746 4970 666
15026 6928 665
2738 7332 664
23219 4870 668
27315 4892 665
23217 4827 665
27313 7694 665
15024 5985 663
2736 4850 664
23220 4857 666
27316 5950 665
15029 6238 665
2741 4878 664
15031 4842 667
2743 4645 664
23222 6654 665
27318 4799 663
23190 4944 665
27286 6291 668
14999 6229 665
2711 4899 665
14997 4896 665
2709 5945 665
23188 6171 664
27284 4757 664
14992 4812 664
2704 4732 666
23185 4983 664
27281 6414 664
23187 4964 665
27283 4784 668
