flow_ID DPDK_proc_time frwd_proc_time
3432 7614 663
23913 4866 664
28009 7465 662
23915 5950 661
28011 6314 662
15722 4920 665
3434 5357 662
15714 7365 664
3426 6240 664
23907 5255 666
28003 4821 661
23905 6039 664
28001 7356 666
15712 5010 662
3424 4867 663
23908 8316 664
28004 5106 663
15717 6588 667
3429 7334 663
15719 7040 664
3431 7537 662
23910 4836 663
28006 5097 663
15734 6073 662
3446 6007 664
23927 6275 664
28023 6276 664
23925 5100 663
28021 4882 661
15732 6432 664
3444 6012 665
23920 7483 664
28016 7526 665
15729 4920 663
3441 5044 662
15731 5320 665
3443 4864 665
23922 6198 663
28018 7841 663
23930 7781 661
28026 7377 663
15739 5820 666
3451 4901 664
15737 4820 663
3449 7366 664
23928 7019 663
28024 5022 663
15740 4893 665
3452 6288 662
23933 5055 662
28029 4902 666
23935 6099 662
28031 6491 662
15742 5262 665
3454 6307 663
15654 5363 662
3366 4888 664
23847 6176 662
27943 5988 663
23845 7333 661
27941 7400 664
15652 7479 664
3364 7518 662
23840 6217 663
27936 4820 663
15649 5030 662
3361 4833 664
15651 5951 663
3363 7251 666
23842 7295 664
27938 6311 661
23850 4850 663
27946 4836 662
15659 4876 662
3371 5812 663
15657 6495 665
3369 6196 664
23848 4871 664
27944 5049 662
15660 4852 664
3372 4974 664
23853 5025 661
27949 7723 662
23855 7509 665
27951 7683 663
15662 7551 664
3374 5335 663
23870 4904 662
27966 5087 663
15679 5312 665
3391 4972 661
15677 4790 664
3389 4994 664
23868 5004 664
27964 4795 661
15672 4872 664
3384 4973 662
23865 4925 662
27961 4881 663
23867 4866 664
27963 4805 662
15674 4961 664
3386 4882 663
15666 6446 663
3378 6439 664
23859 6515 662
27955 5453 662
23857 5922 665
27953 6011 662
15664 4869 664
3376 4869 663
23860 4868 663
27956 5429 664
15669 4735 665
3381 6323 663
15671 6441 665
3383 6300 662
23862 5646 665
27958 5114 664
23830 4846 664
27926 5043 662
15639 4831 662
3351 4834 663
15637 4827 665
3349 4857 663
23828 6254 666
27924 5736 665
15632 6433 664
3344 5787 664
23825 6282 661
27921 6206 662
23827 6035 662
27923 4955 664
15634 4903 662
3346 5673 663
15642 5706 661
3354 5377 664
23835 5265 663
27931 5503 663
23833 4848 666
27929 5039 664
15640 4842 663
3352 5402 663
23836 4874 664
27932 4877 663
15645 5019 663
3357 4819 662
15647 4887 662
3359 5042 664
23838 4967 663
27934 4871 662
15630 5146 661
3342 5424 663
23823 4921 666
27919 4860 664
23821 4807 664
27917 6256 663
15628 10827 661
3340 6278 663
23816 6287 662
27912 4915 662
15625 4849 666
3337 4952 663
15627 5005 662
3339 5072 662
23818 5288 664
27914 4863 663
23810 6235 665
27906 4890 661
15619 4802 663
3331 4926 663
15617 4783 663
3329 4876 664
23808 4910 664
27904 5295 663
15620 4758 662
3332 4904 662
23813 4919 664
27909 6839 664
23815 6475 663
27911 5750 666
15622 6428 662
3334 6016 664
23822 4797 662
27918 4965 662
15631 7296 664
3343 4796 664
15629 5288 662
3341 4886 664
23820 4842 662
27916 4830 661
15624 5048 663
3336 4803 665
23817 5214 664
27913 4836 661
23819 4959 662
27915 4887 665
15626 6927 664
3338 4968 663
15618 5601 662
3330 6295 664
23811 5847 666
27907 5045 662
23809 6462 662
27905 7349 662
15616 4911 662
3328 4876 662
23812 4826 662
27908 5002 663
15621 4796 663
3333 6441 665
15623 6311 664
3335 6676 662
23814 6297 665
27910 4582 666
15638 6087 664
3350 5057 662
23831 4875 663
27927 6269 662
23829 6828 667
27925 7807 662
15636 4832 664
3348 6450 662
23824 11089 661
27920 6402 664
15633 5711 665
3345 5980 663
15635 6766 662
3347 4984 664
23826 4833 662
27922 5030 661
23834 4840 664
27930 5055 662
15643 5784 662
3355 5009 663
15641 4817 665
3353 4954 665
23832 4814 664
27928 4848 664
15644 4861 663
3356 4881 663
23837 4823 663
27933 4851 663
23839 4806 664
27935 4830 662
15646 4848 664
3358 7803 662
15678 4828 664
3390 4784 663
23871 4795 665
27967 6620 662
23869 4868 663
27965 6146 661
15676 4940 664
3388 6210 662
23864 6128 664
27960 6225 662
15673 7043 662
3385 4731 664
15675 4737 662
3387 4810 665
23866 4895 663
27962 4817 667
23858 4960 665
27954 4893 664
15667 4871 662
3379 4826 662
15665 4943 661
3377 5038 664
23856 7974 665
27952 4879 664
15668 5579 664
3380 4922 666
23861 5057 664
27957 4731 662
23863 4875 662
27959 7568 662
15670 4566 663
3382 4901 663
23846 4851 666
27942 5068 661
15655 5057 665
3367 6367 662
15653 5580 663
3365 5068 664
23844 4866 664
27940 5067 662
15648 5928 664
3360 7437 664
23841 4859 666
27937 4905 665
23843 4836 665
27939 4895 662
15650 6223 665
3362 4582 664
15658 5382 661
3370 4912 663
23851 4891 661
27947 4839 663
23849 4996 662
27945 5847 660
15656 4888 664
3368 4828 661
23852 4922 664
27948 5290 663
15661 4932 662
3373 4997 662
15663 6550 666
3375 5682 660
23854 4981 663
27950 4861 663
15830 4792 661
3542 4754 662
24023 4754 665
28119 5735 665
24021 4715 664
3540 4855 662
24016 6184 662
28112 4595 665
15825 5126 664
3537 4852 662
15827 4882 662
3539 6240 661
24018 6535 665
28114 5051 662
24026 4924 663
28122 6147 664
15835 7121 661
3547 5202 664
15833 4968 661
3545 4712 665
24024 4758 663
28120 6287 663
15836 4612 665
3548 4900 662
24029 5016 663
28125 4839 661
24031 4827 664
28127 5610 666
15838 4866 662
3550 4923 663
24014 4941 662
28110 6290 665
15823 4701 664
3535 4840 663
15821 6838 665
3533 4847 664
24012 5141 661
28108 4873 663
15816 4919 663
3528 4855 665
24009 5620 663
28105 5276 663
24011 5799 663
28107 5354 663
15818 4869 663
3530 4950 661
15810 5677 662
3522 4851 663
24003 4874 662
28099 5219 662
24001 5082 663
28097 5683 664
15808 4870 663
3520 4833 662
24004 4891 664
28100 4815 662
15813 4584 663
3525 4979 662
15815 4904 664
3527 6506 662
24006 5944 664
28102 5322 662
24038 4869 663
28134 4968 666
15847 5969 662
3559 5602 664
15845 5059 662
3557 4966 664
24036 4869 663
28132 4856 664
15840 6646 663
3552 10107 661
24033 4890 663
28129 4829 665
24035 4972 662
28131 6298 662
15842 5571 665
3554 5019 665
15850 4831 665
3562 5104 663
24043 6251 663
28139 4868 662
24041 4857 665
28137 4893 663
15848 5022 662
3560 6599 666
24044 5137 663
28140 5036 663
