flow_ID DPDK_proc_time frwd_proc_time
14322 7698 662
14327 7602 665
26614 5783 664
25511 5306 663
24882 6788 663
25002 4836 661
24472 8011 665
28784 7467 661
8290 7849 664
6001 7771 665
6004 4570 661
30142 7986 663
31966 6284 665
17849 7510 664
19678 6520 662
20207 11538 664
2785 7426 662
15076 7492 664
23266 7500 665
27365 7559 663
107 7495 661
21273 8083 663
23273 7445 664
23275 7435 664
2792 7525 662
786 7467 664
24624 7473 663
5008 7360 663
5017 7540 664
13863 7557 663
25714 7417 664
22060 7545 663
22057 7511 665
13871 7479 663
29638 7528 666
24438 7339 662
19163 7351 663
9230 4919 662
28568 6327 662
12172 5128 664
18088 7365 663
6226 5573 661
13414 7488 662
3730 4971 662
24212 7416 664
30398 7384 662
6912 7414 664
7628 7426 664
9912 7597 664
20403 7343 662
8159 7412 664
11246 7347 664
27414 6271 664
8154 7436 663
15127 7539 664
19439 7503 663
7913 4889 661
15125 7754 664
1576 7620 663
28288 7643 663
9319 4846 665
5191 7408 663
20753 7601 665
21365 6030 664
9285 7380 664
5184 5731 665
19605 8420 663
31898 5659 662
19607 6478 663
12547 7532 664
19615 7568 662
7304 7768 665
31883 7704 662
30728 7524 665
10244 7532 664
30735 7843 663
18472 7340 665
6158 7317 663
30725 7721 664
13171 7664 666
23667 7798 661
15480 9888 664
27836 7347 663
10276 7388 663
3253 7847 663
6187 7356 663
10286 7544 662
10278 7359 665
23359 7644 661
23060 8074 660
2566 6272 663
1220 7388 663
10263 4562 664
13910 7430 662
22103 7345 663
13908 4850 664
26229 7509 662
28875 6366 663
28054 7508 664
20969 7591 663
15767 4678 663
23965 7414 662
23962 8541 664
15763 4735 663
15774 7534 662
18062 7543 665
8916 7346 663
8916 7486 664
8916 8172 661
8916 7471 665
21450 7459 666
789 7327 663
8926 7708 663
13072 7605 592
13074 7552 664
25369 7700 662
21278 7212 663
797 10016 665
780 7381 664
782 4753 664
25346 7363 663
771 7555 664
13067 7559 664
16115 7820 663
3828 7505 664
29388 7547 662
31122 7851 664
10644 7812 664
24617 7955 661
20521 7320 665
1798 7549 663
8213 9718 664
21134 7599 663
653 7761 661
4102 7485 662
20524 7420 664
12350 7340 662
648 7532 664
25300 7468 663
25299 7359 663
725 7507 664
10646 7522 587
4310 7679 663
28885 7537 663
8414 5995 662
22971 6446 663
29911 7414 664
28890 7339 664
11997 7483 664
20871 7485 663
24960 8336 664
24962 7673 663
388 7826 664
1314 7537 662
21976 7557 663
1312 7869 664
14793 4837 662
22984 7520 664
1502 7395 662
