flow_ID DPDK_proc_time frwd_proc_time
21552 7780 663
25648 7362 664
13364 7763 664
1076 7411 662
21557 7588 663
25653 7330 665
21559 7547 663
25655 7405 664
13366 7394 664
1078 7444 661
21542 7587 663
25638 7463 662
13351 7318 661
1063 7451 662
13349 7383 664
1061 7419 664
21540 7403 664
25636 7388 661
13344 7689 665
1056 7338 665
21537 7381 664
25633 7426 666
21539 7759 662
25635 7334 664
13346 7436 664
1058 7398 664
13354 7500 665
1066 7502 663
21547 7342 663
25643 7325 662
21545 7605 666
25641 7320 663
13352 7520 663
1064 7214 664
21548 7465 660
25644 7232 664
13357 7527 663
1069 7303 666
13359 7451 666
1071 7456 664
21550 7278 664
25646 7403 663
21518 7411 662
25614 7352 663
13327 7322 664
1039 7345 664
13325 7396 662
1037 7349 664
21516 7343 665
25612 7579 663
13320 7544 663
1032 7407 664
21513 7351 663
25609 7362 662
21515 7333 664
25611 7782 663
13322 7672 661
1034 7445 666
13314 7508 661
1026 7300 665
21507 7380 663
25603 7300 663
21505 7468 663
25601 7340 664
13312 7322 662
1024 7328 665
21508 7349 664
25604 7211 662
13317 7294 664
1029 7225 662
13319 7246 662
1031 7460 663
21510 7723 663
25606 7344 662
13334 7592 663
1046 7332 662
21527 7321 662
25623 7539 662
21525 7910 665
25621 7378 663
13332 7377 664
1044 7362 662
21520 7417 664
25616 7620 664
13329 7526 662
1041 7311 664
13331 7326 662
1043 7623 664
21522 7358 662
25618 7388 666
21530 7538 665
25626 7382 663
13339 7409 665
1051 7488 665
13337 8014 666
1049 7308 663
21528 7443 665
25624 7469 665
13340 7877 662
1052 7314 663
21533 7441 662
25629 7386 662
21535 7465 665
25631 7296 661
13342 7421 662
1054 7320 662
13382 7683 665
1094 7407 663
21575 7368 663
25671 7351 663
21573 7247 663
25669 7307 662
13380 7333 664
1092 7272 662
21568 7397 664
25664 7468 664
13377 7982 661
1089 7322 661
13379 7372 667
1091 7503 663
21570 8037 664
25666 7425 661
21578 7586 664
25674 7767 665
13387 7459 663
1099 7328 664
13385 7963 663
1097 7528 665
21576 7577 664
25672 7362 662
13388 7577 661
1100 7360 664
21581 7299 663
25677 7567 664
21583 7555 662
25679 7363 663
13390 7343 664
1102 7333 663
21598 7382 663
25694 7583 665
13407 7552 662
1119 7432 663
13405 7442 663
1117 7547 664
21596 7533 662
25692 7264 662
13400 7261 662
1112 7347 664
21593 7212 664
25689 7353 665
21595 7507 665
25691 7250 663
13402 7279 662
1114 7206 665
13394 7395 663
1106 7533 663
21587 8227 664
25683 7313 665
21585 7958 665
25681 7543 663
13392 7372 662
1104 7474 662
21588 7441 663
25684 7265 662
13397 7377 663
1109 7312 664
13399 7377 664
1111 7501 664
21590 7798 663
25686 7433 662
21622 7360 664
25718 7435 662
13431 7812 662
1143 7337 662
13429 7846 661
1141 7294 665
21620 7478 663
25716 7931 663
13424 7724 665
1136 7376 663
21617 7719 664
25713 7339 663
21619 7505 666
25715 7302 666
13426 7815 666
1138 7267 662
13434 7401 664
1146 7257 664
21627 7268 663
25723 7267 665
21625 7386 665
25721 7395 665
13432 7364 663
1144 7284 663
21628 7427 665
25724 7302 662
13437 7339 664
1149 7704 665
13439 7389 663
1151 7372 664
21630 7408 664
25726 7364 663
13422 7400 663
1134 7294 665
21615 7494 666
25711 8121 662
21613 7317 662
25709 7338 665
13420 7368 663
1132 7329 664
21608 7398 663
25704 7346 662
13417 7386 662
1129 7516 665
13419 7389 667
1131 7711 665
21610 7423 664
25706 7295 665
21602 7323 664
25698 7498 665
13411 7342 661
1123 7403 662
13409 7343 661
1121 7358 661
21600 7311 664
25696 7300 661
13412 7247 662
1124 7247 664
21605 7551 665
25701 7249 663
21607 7589 663
25703 7685 663
13414 7362 661
1126 7763 664
21614 7608 663
25710 7258 663
13423 7249 662
1135 7437 665
13421 7473 666
1133 7253 662
21612 7273 662
25708 7242 665
13416 7497 662
1128 7352 662
21609 7300 663
25705 7208 662
21611 7223 663
25707 7384 664
13418 7708 662
1130 7395 661
13410 7609 662
1122 7321 664
21603 7286 661
25699 7368 666
21601 7400 665
25697 7805 663
13408 7502 664
1120 7427 662
21604 7385 663
25700 7314 666
13413 7995 661
1125 7478 663
13415 7349 666
1127 7405 663
21606 7490 662
25702 7378 661
13430 7363 665
1142 7374 663
21623 7417 665
25719 7357 663
21621 7406 663
25717 7346 663
13428 7733 665
1140 7305 663
21616 7375 663
25712 7305 665
13425 7470 663
1137 7391 662
13427 7379 665
1139 7323 664
21618 7454 663
25714 7388 663
21626 7337 663
25722 7376 662
13435 7560 665
1147 7348 663
13433 7586 663
1145 7723 663
21624 7313 663
25720 7508 663
13436 7444 661
1148 7350 660
21629 7411 663
25725 7327 663
21631 7816 661
25727 7372 663
13438 7932 662
1150 7306 665
13406 7450 662
1118 7460 664
21599 7394 662
25695 7377 662
21597 7326 665
25693 7328 663
13404 7351 661
1116 7369 665
21592 7351 662
25688 7372 663
