flow_ID DPDK_proc_time frwd_proc_time
26728 7540 665
14441 4793 664
2153 6345 665
14443 5146 665
2155 7445 665
22634 7879 665
26730 4843 666
22626 4808 663
26722 6400 666
14435 7876 666
2147 4951 664
14433 4896 664
2145 7813 663
22624 5939 664
26720 4977 663
14436 7268 664
2148 7442 663
22629 7486 668
26725 5250 664
22631 6684 664
26727 6213 665
14438 5050 664
2150 4912 663
22646 7753 664
26742 4992 664
14455 5045 666
2167 7436 664
14453 5939 664
2165 7427 667
22644 4645 664
26740 5050 665
14448 6693 665
2160 6308 668
22641 4993 665
26737 4984 667
22643 7370 665
26739 4938 666
14450 4667 665
2162 7424 668
14458 5961 667
2170 5173 664
22651 4932 666
26747 6662 667
22649 6131 665
26745 4865 663
14456 6396 665
2168 4908 665
22652 5862 664
26748 5106 663
14461 6060 663
2173 5670 662
14463 4615 665
2175 7309 663
22654 4881 664
26750 4790 665
22566 4787 665
26662 4743 664
14375 5870 665
2087 6289 665
14373 4734 665
2085 4889 663
22564 7425 663
26660 4915 664
14368 6439 663
2080 4935 664
22561 4884 667
26657 6828 664
22563 4749 667
26659 4763 664
14370 6073 666
2082 4828 663
14378 6892 668
2090 4967 665
22571 5223 666
26667 5811 665
22569 6124 665
26665 4796 664
14376 4921 664
2088 5356 665
22572 4862 662
26668 4898 663
14381 7021 664
2093 4996 662
14383 5044 664
2095 6224 666
22574 6278 665
26670 4953 665
14398 6220 668
2110 4790 667
22591 4812 665
26687 5995 663
22589 5326 666
26685 5358 665
14396 5968 664
2108 4780 663
22584 5175 665
26680 4878 664
14393 4945 664
2105 5903 665
14395 5578 665
2107 4867 665
22586 5123 665
26682 6353 665
22578 5129 664
26674 4966 663
14387 7214 664
2099 4657 666
14385 4964 666
2097 6401 665
22576 5001 664
26672 5926 666
14388 5671 664
2100 5000 668
22581 6258 664
26677 6281 665
22583 5184 664
26679 4775 664
14390 4725 667
2102 6161 663
14358 7288 667
2070 4746 666
22551 4741 666
26647 6266 665
22549 6395 664
26645 4720 665
14356 5784 664
2068 4922 664
22544 4968 664
26640 6279 665
14353 5065 665
2065 5017 664
14355 6043 666
2067 6301 664
22546 5063 667
26642 5573 666
22554 5093 668
26650 5355 662
14363 7381 665
2075 4881 665
14361 5056 663
2073 7652 666
22552 5057 666
26648 7655 664
14364 4980 663
2076 7737 665
22557 4926 664
26653 4893 663
22559 6226 664
26655 6239 667
14366 7383 664
2078 5056 663
22542 6448 663
26638 5676 666
14351 4866 666
2063 4896 667
14349 5254 665
2061 5017 666
22540 6351 663
26636 4942 664
14344 6232 663
2056 4814 667
22537 4910 664
26633 4900 664
22539 6225 667
26635 4931 667
14346 4813 665
2058 7244 666
14338 4992 668
2050 4839 665
22531 4946 665
26627 4887 665
22529 6658 664
26625 6032 669
14336 5234 667
2048 5091 664
22532 6179 663
26628 6210 664
14341 4916 666
2053 4759 667
14343 6547 667
2055 4783 664
22534 6270 663
26630 6205 667
14350 6419 666
2062 4764 667
22543 4840 665
26639 6721 663
22541 4835 664
26637 5053 665
14348 5001 666
2060 6384 664
22536 7583 664
26632 4869 664
14345 4815 663
2057 4789 664
14347 4896 665
2059 4843 664
22538 5096 663
26634 5519 667
22530 6290 662
26626 4634 664
14339 4878 663
2051 4630 665
14337 5685 667
2049 4839 664
22528 4901 664
26624 4805 664
14340 4647 663
2052 4887 664
22533 4899 665
26629 6252 665
22535 5086 666
26631 4645 666
14342 4870 666
2054 4909 664
22550 5771 665
26646 5290 664
14359 4542 667
2071 5483 663
14357 5005 664
2069 6996 667
22548 4545 665
26644 4854 665
14352 4647 667
2064 4838 666
22545 6382 663
26641 4688 664
22547 4849 664
26643 4865 665
14354 4852 667
2066 4796 666
14362 4884 666
2074 4861 666
22555 5803 666
26651 4915 665
22553 4957 665
26649 6140 664
14360 4526 665
2072 4988 667
22556 5373 666
26652 7430 665
14365 5579 666
2077 4831 665
14367 5648 664
2079 4820 664
22558 4938 666
26654 4861 664
22590 4889 664
26686 6148 668
14399 4478 665
2111 4763 664
14397 4991 666
2109 6241 665
22588 5892 666
26684 4728 667
14392 4968 664
2104 6484 663
22585 4518 663
26681 4987 664
22587 5312 663
26683 4983 665
14394 6238 667
2106 4658 666
14386 5105 666
2098 4862 665
22579 6246 665
26675 5352 665
22577 5223 666
26673 4835 663
14384 5004 665
2096 4959 664
22580 6603 665
26676 4546 663
14389 4612 666
2101 4622 667
14391 5117 664
2103 4934 664
22582 5984 665
26678 4789 668
14374 5251 664
2086 4834 664
22567 4962 665
26663 5764 665
22565 5158 665
26661 4919 666
14372 4685 664
2084 5995 665
22560 5022 667
26656 4829 666
14369 7383 662
2081 4456 666
14371 4938 665
2083 4896 666
22562 6218 665
26658 4562 663
22570 4813 665
26666 4706 667
14379 5488 664
2091 5705 665
14377 5349 665
2089 4918 665
22568 6191 666
26664 4367 664
14380 4746 669
2092 5138 667
22573 5533 665
26669 4881 665
22575 4772 665
26671 6256 663
14382 4515 666
2094 4873 665
22742 4787 663
26838 4763 664
14551 4754 668
2263 4833 666
14549 4460 665
2261 4826 665
22740 4731 663
26836 4747 668
14544 4794 663
2256 5485 666
22737 4762 664
26833 5482 665
22739 6162 666
26835 4570 665
14546 4775 663
2258 4746 664
14554 5628 664
2266 4842 666
22747 4904 664
26843 6307 664
22745 4785 665
26841 5174 666
14552 4833 667
2264 5685 664
22748 4831 665
26844 4844 666
14557 6257 663
2269 4466 667
14559 4936 666
2271 5375 666
22750 6320 667
26846 4575 664
14542 4903 665
2254 6238 666
22735 4690 665
26831 6262 665
22733 4439 668
26829 5112 664
14540 6253 665
2252 5634 668
22728 5118 664
26824 5049 666
14537 7572 665
2249 4867 664
14539 5778 663
2251 4842 664
22730 4834 663
26826 6263 666
22722 4999 664
26818 4905 665
14531 7614 667
2243 5572 667
14529 5153 667
2241 5031 663
22720 5560 667
26816 4949 663
14532 6128 664
2244 4836 667
22725 4884 663
26821 5699 666
22727 6117 664
26823 5031 663
14534 5297 665
2246 4884 665
14566 5793 665
2278 4892 664
22759 4868 665
26855 5105 665
22757 4532 668
26853 4862 665
14564 4853 667
2276 6358 663
22752 5227 664
26848 7488 667
14561 4966 667
2273 5208 664
14563 5262 665
2275 4995 664
22754 4982 663
26850 6751 665
22762 5026 663
26858 4711 665
14571 5193 665
2283 4853 665
14569 5751 664
2281 5102 663
22760 4998 667
26856 4791 667
14572 5815 666
2284 4751 664
22765 4780 666
26861 6144 666
22767 5760 664
26863 6540 667
14574 6009 665
2286 4704 663
22782 5346 667
26878 5643 664
14591 5219 664
2303 4625 662
14589 5239 662
2301 6256 666
22780 5733 663
26876 5307 663
14584 5136 665
2296 6273 664
