flow_ID DPDK_proc_time frwd_proc_time
14866 12010 665
2578 5051 666
23059 4924 664
27155 4959 665
23057 4871 663
27153 5995 663
14864 4885 662
2576 4906 665
23060 6441 660
27156 7437 661
14869 7216 662
2581 7263 664
14871 5843 664
2583 4773 661
23062 4857 661
27158 4894 663
14854 7442 662
2566 6559 664
23047 5267 662
27143 4853 664
23045 4884 662
27141 5370 662
14852 6709 664
2564 7525 661
23040 5985 664
27136 4779 663
14849 4867 663
2561 5351 663
14851 6273 662
2563 7334 663
23042 7371 665
27138 7315 665
23050 8484 664
27146 7357 664
14859 5055 664
2571 6116 666
14857 4806 664
2569 4946 666
23048 6043 666
27144 4898 663
14860 4928 662
2572 6171 663
23053 7507 662
27149 7419 664
23055 5066 663
27151 5420 664
14862 5296 663
2574 4810 664
15286 8915 662
2998 4916 666
23479 6414 664
27575 4867 665
23477 5882 663
27573 4768 665
15284 6334 664
2996 5853 663
23472 4916 663
27568 6745 663
15281 4991 663
2993 4932 663
15283 4827 662
2995 7690 664
23474 7380 663
27570 5599 664
23482 7376 663
27578 10660 663
15291 10327 661
3003 9658 660
15289 9431 662
3001 6207 666
23480 7408 664
27576 4916 662
15292 4836 663
3004 5038 663
23485 5017 662
27581 5008 663
23487 5071 665
27583 4819 662
15294 4871 661
3006 7321 663
23470 8661 662
27566 6293 663
15279 4969 664
2991 6409 663
15277 6354 663
2989 6272 662
23468 6271 663
27564 6578 661
15272 7290 663
2984 7477 662
23465 6332 663
27561 6368 664
23467 5062 663
27563 4938 666
15274 4874 665
2986 4847 663
15266 8482 663
2978 6245 663
23459 6218 664
27555 7423 663
23457 5610 665
27553 6252 663
15264 6053 665
2976 4900 664
23460 5780 664
27556 4842 664
15269 6086 662
2981 7716 663
15271 5777 664
2983 6134 662
23462 5931 663
27558 6358 662
23430 7897 662
27526 5935 664
15239 6842 664
2951 5317 662
15237 5199 663
2949 4775 664
23428 4851 665
27524 5160 661
15232 5256 665
2944 7235 663
23425 6274 663
27521 5096 662
23427 6399 662
27523 4859 663
15234 4899 663
2946 4870 663
15242 8687 662
2954 5995 666
23435 6293 663
27531 6303 662
23433 5738 664
27529 4824 662
15240 6245 661
2952 6163 664
23436 5142 665
27532 5327 665
15245 5423 663
2957 5133 663
2959 4954 663
23438 4822 662
27534 4845 665
15262 8517 664
2974 5658 660
23455 6008 661
27551 4866 662
23453 6176 665
27549 4992 663
2972 4870 664
23448 4877 664
27544 4996 663
15257 4887 662
2969 4866 662
15259 4804 663
2971 5554 666
27546 6279 661
23442 7434 663
27538 4826 664
15251 5027 664
2963 4846 663
15249 4881 664
2961 4855 663
23440 5359 662
27536 5947 664
15252 7462 661
2964 6201 664
23445 4993 660
27541 6416 664
23447 6627 663
27543 6265 663
15254 4629 662
2966 4930 661
23454 7879 661
27550 4848 663
15263 4830 665
15261 7545 663
2973 5355 662
23452 4820 661
27548 5074 665
15256 5083 661
2968 4816 663
23449 4896 663
27545 4750 663
23451 5116 662
27547 4703 663
15258 5322 663
2970 4728 665
15250 7815 664
2962 5021 662
23443 5094 664
27539 5002 663
23441 5257 663
27537 4781 663
15248 4850 661
2960 4843 662
23444 5316 662
27540 6268 665
15253 6264 661
2965 5750 665
15255 6099 664
2967 5093 662
23446 4912 662
27542 4919 663
15238 7315 665
2950 5492 662
23431 4853 663
27527 5236 665
23429 6185 663
27525 7300 663
15236 6549 664
2948 5551 662
23424 5686 663
27520 4826 667
15233 4951 662
2945 5662 665
15235 5096 664
2947 4871 661
23426 4876 664
27522 4985 668
23434 7779 662
27530 4915 662
15243 4933 662
2955 5994 665
15241 4966 665
2953 4881 662
23432 5050 665
2956 4870 663
23437 5124 662
27533 5320 663
23439 6247 664
27535 4976 664
15246 5148 663
2958 6243 663
15278 10787 663
2990 5623 662
23471 4857 663
27567 4999 663
23469 4895 663
27565 4951 663
15276 4867 662
2988 6290 665
23464 7548 665
27560 5619 663
15273 4853 663
2985 5030 663
15275 4856 664
2987 4853 664
27562 4850 663
23458 7488 663
27554 4879 662
15267 5949 664
2979 5831 662
15265 5963 662
2977 4691 666
23456 6209 665
27552 4715 663
15268 4743 663
2980 4802 663
23461 6213 660
27557 5485 663
23463 5943 662
27559 5813 662
15270 6149 663
2982 5555 662
23478 8789 663
27574 4812 663
15287 4688 663
2999 4862 662
15285 4762 665
2997 4766 666
23476 4817 664
27572 6264 662
15280 4634 666
2992 4968 664
23473 4725 664
27569 4858 663
23475 5584 664
27571 4704 663
15282 4914 662
2994 4801 662
15290 9079 661
3002 5742 664
23483 7363 661
27579 4912 665
23481 5563 664
27577 4798 664
15288 5199 660
3000 5078 662
23484 5769 662
27580 5418 666
15293 6214 661
3005 4910 662
15295 5276 663
3007 4877 662
23486 4897 665
27582 4911 663
23526 7563 663
27622 4806 663
15335 4864 666
3047 4970 662
15333 6325 665
3045 5816 664
23524 4966 664
27620 4854 663
15328 5068 662
3040 4846 663
23521 4898 664
27617 6433 662
23523 4889 662
27619 5036 661
15330 6314 663
3042 6251 665
15338 8195 664
3050 5431 664
23531 5056 663
27627 5088 662
23529 4791 664
27625 4898 663
15336 4718 664
3048 4871 661
23532 4945 662
27628 4764 663
15341 4853 662
3053 4808 665
15343 4753 662
3055 4782 662
23534 5254 662
27630 4937 664
15358 7442 663
3070 4900 664
23551 4773 662
27647 4745 662
23549 5453 664
27645 4910 662
15356 4879 664
3068 4751 660
23544 4975 666
27640 4719 665
15353 4867 663
3065 4920 660
15355 6516 663
3067 5803 663
23546 4882 664
27642 4972 662
23538 7809 664
27634 4930 664
15347 4834 664
3059 6233 661
15345 6313 663
3057 5646 665
23536 6009 661
27632 4869 663
15348 5000 663
3060 4871 664
23541 5050 664
27637 4950 664
23543 5048 664
27639 4969 663
15350 4864 662
3062 5406 665
15318 8408 664
3030 4940 665
23511 6394 662
27607 6289 663
23509 6030 661
27605 5964 661
15316 6457 665
3028 7387 664
23504 5060 663
27600 5907 663
15313 5473 663
3025 4804 666
15315 5085 664
3027 4838 661
23506 5532 660
27602 4879 663
23514 7758 662
27610 4856 662
15323 4906 663
3035 5044 665
15321 7659 661
3033 7316 662
23512 4434 666
27608 4760 664
15324 4958 664
3036 4850 665
23517 4845 664
27613 4796 663
23519 4903 662
27615 4826 664
15326 4843 662
3038 4874 662
23502 7869 665
27598 6669 662
15311 4925 663
3023 4898 665
15309 4963 663
3021 7398 665
23500 6024 662
27596 4864 661
15304 5315 662
3016 4868 664
23497 5376 662
27593 4870 664
23499 4886 663
27595 5183 662
15306 4933 665
3018 6747 664
15298 8171 662
3010 4899 664
23491 4900 663
27587 5040 663
23489 5116 663
27585 4858 664
15296 5055 664
3008 6138 665
23492 5680 661
27588 5955 661
15301 5087 664
3013 5981 663
15303 5004 662
3015 4849 664
23494 4930 662
27590 4856 663
15310 8721 666
3022 4715 662
23503 4990 662
27599 4864 664
23501 4864 664
27597 4796 663
15308 5028 663
3020 4793 663
23496 4893 663
27592 4803 663
15305 5607 664
3017 4968 664
15307 5384 664
3019 4986 663
23498 5030 662
27594 4880 662
23490 7447 667
27586 4889 662
15299 4847 665
3011 5613 662
15297 4865 664
3009 4816 664
23488 4907 664
27584 5062 664
15300 4832 663
3012 5046 664
23493 6319 662
27589 4534 663
23495 4974 663
27591 4925 663
15302 4999 665
3014 4826 663
23510 8958 661
27606 5644 664
15319 6014 667
3031 4900 666
15317 4959 665
3029 4722 664
23508 4747 663
27604 4772 664
15312 5132 664
3024 4777 663
23505 4838 662
27601 6018 663
23507 6017 661
27603 4807 663
15314 6628 663
3026 4829 663
15322 7479 665
3034 4767 662
23515 4852 664
27611 6294 661
23513 6567 662
27609 4412 662
15320 5859 662
3032 4755 662
23516 4969 666
27612 4862 665
15325 4845 665
3037 5070 662
15327 6212 661
3039 5717 662
23518 5334 662
27614 4891 664
23550 7270 663
27646 4884 665
15359 5062 662
3071 4854 663
15357 5051 663
3069 6290 662
23548 5495 662
27644 5857 665
15352 6125 664
3064 4917 665
23545 4748 662
27641 4758 664
23547 4767 663
27643 5220 664
15354 4777 663
3066 4806 663
15346 6356 663
3058 4790 664
23539 4696 663
27635 4665 661
23537 6093 662
27633 5546 665
15344 5850 666
3056 4643 663
23540 4615 663
27636 5818 662
15349 4602 662
3061 5290 665
15351 4758 663
3063 4687 665
23542 4828 663
27638 4690 662
15334 6969 664
3046 5940 663
23527 5711 663
27623 4663 663
23525 4810 665
27621 4765 663
15332 4776 663
3044 4775 662
23520 4866 663
27616 6421 665
15329 6013 664
3041 4315 664
15331 5817 663
3043 4675 664
23522 4718 663
23530 5908 665
27626 5175 662
15339 6161 662
3051 5483 663
15337 6199 662
3049 7093 663
23528 6257 663
27624 5424 662
15340 4608 661
3052 5150 664
23533 4840 664
27629 4817 661
23535 4670 662
27631 5443 663
15342 6070 660
3054 5400 666
23318 6095 663
27414 4633 663
15127 4604 665
2839 4577 663
15125 4618 662
2837 4698 666
23316 7216 663
27412 5446 661
15120 4647 664
2832 4598 663
23313 4589 664
27409 4682 661
23315 4783 665
27411 6202 665
15122 4375 665
2834 4632 664
15130 5570 665
2842 4637 665
23323 4626 664
27419 4832 663
23321 4693 663
27417 4910 662
15128 4688 662
2840 4640 661
23324 4627 663
27420 4625 662
15133 4781 663
2845 4724 665
15135 4823 663
2847 5970 666
23326 5852 665
27422 5831 662
15118 5970 661
2830 4915 663
23311 5331 663
27407 6023 664
23309 7120 663
27405 5582 664
15116 4733 664
2828 4665 664
23304 4733 664
27400 4909 663
15113 4856 664
2825 4710 664
15115 4657 665
2827 5121 662
23306 4611 664
27402 4702 663
23298 7346 665
27394 5992 665
15107 5563 661
2819 4619 663
15105 4608 662
2817 4673 665
23296 4662 662
27392 4911 662
15108 4621 663
2820 4712 666
23301 4609 664
27397 4646 660
23303 4656 663
27399 4614 664
15110 4708 663
2822 4824 662
15142 7575 663
2854 5417 662
23335 7299 665
27431 4725 662
23333 4690 661
27429 4667 664
15140 4744 662
2852 4781 664
23328 4993 665
27424 4617 665
15137 4651 662
2849 6308 665
15139 4423 665
2851 4862 664
23330 4800 663
27426 4844 664
23338 6129 661
27434 4616 663
15147 6258 663
2859 5391 662
15145 4682 664
2857 4852 664
23336 4640 666
27432 5061 664
15148 5507 663
2860 6025 663
23341 6088 664
27437 4672 662
23343 4628 662
27439 4614 662
15150 4588 666
2862 6129 664
23358 6594 662
27454 4642 663
15167 4705 663
2879 4819 662
15165 4669 664
2877 4604 664
23356 4783 664
27452 4690 663
15160 4768 666
2872 6142 662
23353 5478 664
27449 5832 665
23355 5828 662
27451 4730 661
15162 4706 662
2874 4881 663
15154 5965 663
2866 4738 662
23347 4717 664
27443 4679 664
23345 4679 664
27441 4760 664
15152 4818 664
2864 6073 663
23348 5540 664
27444 5942 663
15157 4711 663
2869 4571 664
