flow_ID DPDK_proc_time frwd_proc_time
20626 19633 664
24722 7504 662
20634 7383 663
24730 7419 665
12443 7374 662
155 7336 663
12441 7333 663
153 7387 662
20632 7584 661
24728 7574 662
12444 7271 666
156 7426 665
20637 7426 662
24733 7387 666
20639 7820 664
24735 7656 664
12446 10650 664
158 7345 664
20622 7392 665
24718 7280 662
12431 7350 662
143 7272 662
12429 7245 665
141 7262 663
20620 7261 661
24716 7483 664
12424 7429 665
136 7321 663
20617 7346 664
24713 7520 664
20619 8104 665
24715 7407 662
12426 10084 665
138 7480 663
12418 7598 665
130 7756 665
20611 7399 662
24707 7471 664
20609 7422 666
24705 7384 663
12416 7395 664
128 7370 663
20612 7807 663
24708 7621 666
12421 7355 662
133 7397 662
12423 7400 664
135 7420 662
20614 9692 660
24710 7416 664
12430 7287 665
142 7409 665
20623 7316 661
24719 7401 663
20621 7638 663
24717 8154 664
12428 7612 661
140 7346 665
20616 7328 664
24712 7364 664
12425 8003 665
137 7360 664
12427 7373 662
139 7532 664
20618 9881 664
24714 7360 664
20610 7418 661
24706 7422 664
12419 7413 664
131 7380 665
12417 7394 662
129 7555 664
20608 7696 664
24704 7365 661
12420 7430 664
132 7364 662
20613 7370 663
24709 7796 667
20615 7349 663
24711 7828 661
12422 9764 664
134 7421 665
20630 7284 664
24726 7651 661
12439 7381 662
151 7347 660
12437 7394 664
149 7653 660
20628 7415 663
24724 7324 662
12432 8177 663
144 7494 662
20625 7259 663
24721 7282 664
20627 7240 663
24723 7300 664
12434 10326 662
146 7655 663
12442 7466 662
154 7458 663
20635 7333 664
24731 7392 663
20633 7471 663
24729 7324 662
12440 7221 662
152 7284 663
20636 7378 664
24732 7389 664
12445 7257 662
157 7235 662
12447 7831 662
159 7378 663
20638 9752 663
24734 7293 666
20670 7402 663
24766 7382 665
12479 7382 664
191 7410 661
12477 7351 666
189 7359 663
20668 7870 663
24764 7427 664
12472 7510 663
184 7402 664
20665 7435 663
24761 7854 665
20667 7488 662
24763 7504 661
12474 10144 663
186 7355 662
12466 7389 663
178 7875 663
20659 7411 666
24755 7701 664
20657 7328 663
24753 7358 665
12464 8050 665
176 7501 662
20660 7421 663
24756 7510 663
12469 7411 661
181 7377 662
12471 7424 662
183 7289 664
20662 9827 666
24758 7417 662
12454 7359 663
166 7544 662
20647 7331 663
24743 7289 662
20645 8347 660
24741 7301 663
12452 7220 661
164 7265 664
20640 7286 664
24736 7280 663
12449 7291 662
161 7261 663
12451 7672 662
163 7519 663
20642 10395 661
24738 7241 663
20650 7519 663
24746 7433 663
12459 7413 661
171 7397 662
12457 7544 663
169 7381 665
20648 7844 664
24744 7458 664
12460 7423 661
172 7353 663
20653 7524 664
24749 7477 663
20655 7527 662
24751 7806 664
12462 9984 664
174 7473 663
20566 7394 663
24662 7390 662
12375 7887 661
87 7488 662
12373 7467 660
85 7562 662
20564 7810 667
24660 7559 666
12368 7325 665
80 7241 663
20561 7285 662
24657 7415 663
20563 7368 664
24659 7471 664
12370 10079 662
82 7596 662
12378 7371 667
90 7610 663
20571 7336 663
24667 7299 662
20569 7346 663
24665 7471 662
12376 7441 662
88 7789 662
20572 7404 662
24668 7355 662
12381 7431 662
93 7392 664
12383 7763 665
95 7528 661
20574 9860 663
24670 7311 662
12366 7836 663
78 7510 663
20559 7970 663
24655 7198 662
20557 7337 664
24653 7493 663
12364 7334 663
76 7264 662
20552 7294 662
24648 7210 662
12361 7203 663
73 7267 662
12363 7233 665
75 7716 662
20554 7380 664
24650 7654 663
20546 7220 667
24642 7476 663
12355 7504 664
67 7443 664
12353 7551 662
65 7351 664
20544 7499 664
24640 7330 663
12356 7459 664
68 7584 666
20549 7398 664
24645 7387 662
20551 7450 665
24647 7581 663
12358 7392 665
70 7418 665
12390 7833 663
102 7517 663
20583 7492 660
24679 7558 665
20581 7855 663
24677 7521 662
12388 7416 663
100 7441 663
20576 7523 662
24672 7327 664
12385 7384 664
97 7406 663
12387 7354 660
99 7318 661
20578 7414 663
24674 7617 663
20586 7593 665
24682 7336 663
12395 7285 661
107 7389 663
12393 7279 664
105 7378 663
20584 7426 663
24680 7306 666
12396 7331 663
108 7380 663
20589 7525 662
24685 7381 665
20591 7467 662
24687 7403 665
12398 7358 662
110 7362 663
20606 8458 666
24702 7407 665
12415 7331 664
127 7652 662
12413 7309 666
125 7727 663
20604 7510 662
24700 7413 664
12408 7334 665
120 7531 662
20601 7280 663
24697 7348 661
20603 7265 662
24699 7559 664
12410 7680 665
122 7638 662
12402 7523 664
114 7621 662
20595 7380 664
24691 7365 663
20593 7354 660
24689 7859 664
12400 7228 661
112 7483 666
20596 7381 661
24692 7668 665
12405 7335 665
117 7293 663
12407 7236 662
119 7307 663
20598 7497 665
24694 7483 665
12414 7795 663
126 7339 664
20607 7348 663
24703 7509 662
20605 7824 661
24701 7681 661
12412 7842 664
124 7337 665
20600 7503 663
24696 7574 662
12409 7357 663
121 7332 663
12411 7350 664
123 7553 662
20602 7945 663
24698 7284 661
20594 7448 662
24690 7425 663
12403 7369 663
115 7539 664
12401 7397 662
113 7339 667
20592 7368 664
24688 7335 664
12404 7346 663
116 7694 662
20597 7327 662
24693 7842 663
20599 7332 664
24695 7498 663
12406 7309 664
118 7565 662
20582 7501 664
24678 7318 661
12391 7800 665
103 7359 662
12389 7490 664
101 7847 663
20580 7805 664
24676 7399 665
12384 7493 662
96 7339 666
20577 7320 665
24673 7318 664
20579 7764 662
24675 7816 664
12386 7381 664
98 7419 663
12394 7388 662
106 7375 661
20587 7407 663
24683 7512 661
20585 7282 663
24681 7527 664
12392 7586 663
104 7325 664
20588 7121 663
24684 7378 663
12397 7299 662
109 7347 664
12399 7368 663
111 7310 665
20590 7833 662
24686 7585 664
20558 7338 666
24654 8627 661
12367 7286 664
79 7448 662
12365 7512 661
77 7786 662
20556 7332 664
24652 7342 662
12360 7417 664
72 7466 665
20553 7256 662
24649 7265 662
20555 7242 665
24651 7457 663
12362 7205 662
74 7235 664
12354 7458 661
66 7525 664
20547 7306 664
24643 7185 662
20545 7364 663
24641 8046 661
12352 7455 663
64 7350 662
20548 7366 664
24644 7416 666
12357 7337 662
69 7358 662
12359 7791 664
71 7280 662
20550 7255 665
24646 7633 662
12374 7784 663
86 7245 665
20567 7125 663
24663 7417 664
20565 7478 664
24661 7400 662
12372 7709 663
84 7396 662
20560 7317 662
24656 7409 664
12369 7768 664
81 7480 664
12371 7367 663
83 8198 662
20562 7759 662
24658 7411 662
20570 7364 662
24666 7417 664
12379 7338 664
91 7369 663
12377 7342 662
89 7748 663
20568 7854 663
24664 7382 661
12380 7540 662
92 7494 663
20573 7375 664
24669 7426 663
20575 7367 661
24671 7405 663
12382 7374 662
94 7749 662
12294 7521 663
6 7388 665
20487 7684 663
24583 7367 662
20485 7402 663
24581 7707 661
12292 7362 664
4 7824 662
20480 7602 664
24576 7325 664
12289 7416 663
1 7396 663
12291 7419 663
3 7384 663
20482 7412 662
24578 7310 662
20490 7700 662
24586 7598 663
12299 7735 663
11 7283 663
12297 7342 664
9 7354 663
20488 7361 664
24584 7401 661
12300 7607 663
12 7344 663
20493 7363 664
24589 7383 662
20495 7314 664
24591 7358 663
12302 7788 663
14 7798 662
20510 7325 663
24606 7427 664
12319 7124 662
31 7532 662
12317 7458 664
29 7588 662
20508 7439 664
24604 7341 665
12312 7359 664
24 7391 664
20505 7746 664
24601 7348 664
20507 7393 663
24603 7223 662
12314 7320 664
26 7445 664
12306 7334 663
18 7699 662
20499 7837 661
24595 7151 663
20497 7366 660
24593 7417 664
12304 7382 665
16 7469 663
20500 7460 661
24596 7295 664
12309 7324 663
21 7720 664
12311 7561 661
23 7608 664
20502 7273 664
24598 7308 663
20534 7357 664
24630 7408 665
12343 7342 664
55 7362 662
12341 7508 662
53 7328 662
20532 7813 663
24628 7343 665
12336 7373 667
48 7943 661
20529 7385 663
24625 7193 662
20531 7254 663
24627 7524 664
12338 7070 663
50 7504 662
12346 7961 663
58 7765 663
20539 7185 664
24635 7270 661
20537 7133 663
24633 7513 661
12344 7199 661
56 7148 663
20540 7243 662
24636 7478 664
12349 7250 663
61 7113 662
12351 7257 665
63 7256 664
20542 7559 664
24638 7284 662
12334 7128 665
46 7410 665
20527 7230 665
24623 7261 665
20525 7340 661
24621 7188 663
12332 7278 663
44 7346 663
20520 7308 661
24616 7334 663
12329 7339 664
41 7386 662
12331 7155 663
43 7281 663
20522 7547 662
24618 7216 663
20514 7163 663
24610 7248 662
12323 7311 664
35 7380 662
12321 7282 661
33 7563 662
20512 7131 662
24608 7254 664
12324 7656 664
36 7198 663
20517 7291 662
24613 7267 662
20519 7371 664
24615 7523 664
12326 7248 663
38 7761 663
20526 7134 660
24622 7292 664
12335 7129 663
47 7280 662
12333 7103 667
45 7477 660
20524 7510 665
24620 7381 662
12328 7220 662
40 7164 664
20521 7157 663
24617 7195 662
20523 7311 662
24619 9752 664
12330 7150 663
42 7126 661
12322 7258 663
34 7296 663
20515 7329 663
24611 7335 662
20513 7191 665
24609 7262 663
12320 7490 665
32 7308 664
20516 7344 665
24612 7289 663
12325 7139 662
37 7559 662
12327 7233 662
39 7162 666
20518 7323 662
24614 7162 664
12342 7096 665
54 7121 664
20535 7849 661
24631 7151 661
20533 7233 664
24629 7566 664
12340 7191 663
52 7307 663
20528 7279 664
24624 7320 661
12337 7232 666
49 7284 663
12339 7081 661
51 7154 662
20530 7388 665
24626 7101 663
20538 7153 664
24634 7274 664
12347 7273 660
59 7120 662
12345 7247 664
57 7350 662
20536 7269 662
24632 7276 663
12348 7231 663
60 8191 663
20541 7348 662
24637 7089 663
20543 7110 662
24639 7471 663
12350 7357 663
62 7527 663
12318 7153 663
30 7238 662
20511 7155 662
24607 7606 664
20509 7189 662
24605 7327 663
12316 7521 663
28 7479 663
20504 7846 665
24600 7142 666
12313 7162 663
25 7251 663
12315 7288 663
27 7759 663
20506 7268 664
24602 7278 661
20498 7224 662
24594 7262 663
12307 7593 662
19 7231 661
12305 7242 663
17 7150 665
20496 7137 663
24592 7629 663
12308 7097 662
20 7573 663
20501 7278 664
24597 7144 662
20503 7241 663
24599 7432 663
12310 7158 662
22 7409 663
20486 7105 664
24582 7305 662
12295 7293 666
7 7679 663
12293 7088 666
5 7228 662
20484 7181 664
24580 7246 663
12288 7340 666
0 7168 665
20481 7295 663
24577 7799 665
20483 7168 662
24579 7385 661
12290 7204 662
2 7768 664
12298 7407 661
10 7390 664
20491 7284 663
24587 7587 663
20489 7566 665
24585 7299 664
12296 7292 663
8 7221 660
20492 7322 664
24588 7318 662
12301 7457 664
13 7227 663
12303 7283 661
15 7288 664
20494 7210 664
24590 7754 664
20918 7270 664
25014 7307 665
12727 7134 663
439 7288 663
12725 7572 662
437 7597 661
20916 7296 664
25012 7218 666
12720 7134 664
432 7354 663
20913 7314 662
25009 7251 663
20915 7193 664
25011 7332 664
12722 7146 664
434 7200 664
12730 7362 665
442 7118 664
20923 7363 663
25019 7181 663
20921 7243 660
25017 7261 664
12728 7353 663
440 7142 665
20924 7138 663
25020 7278 662
12733 7350 666
445 7305 662
12735 7619 666
447 7127 663
20926 7764 662
25022 7535 662
12718 7238 662
430 7271 663
20911 7461 662
25007 7145 664
20909 7338 664
25005 7150 663
12716 7128 663
428 7916 666
20904 7213 662
25000 7630 663
12713 7166 664
425 7401 664
12715 7096 664
427 7267 664
20906 7194 664
25002 7255 662
20898 8072 662
24994 7858 663
12707 7485 663
419 7153 664
12705 7171 663
417 7133 662
20896 7589 662
24992 7499 662
12708 7068 662
420 7330 666
20901 7419 662
