flow_ID DPDK_proc_time frwd_proc_time
12889 8253 663
601 6577 661
12891 4866 663
603 6094 666
21082 4933 664
25178 6096 661
21074 7351 662
25170 7885 663
12883 7695 664
595 6241 661
12881 6121 663
593 5920 663
21072 10572 664
25168 7487 662
12884 6576 664
596 7635 664
21077 6059 662
25173 6081 664
21079 6462 662
25175 4987 661
12886 6463 665
598 4875 665
21062 5291 664
25158 4861 663
12871 4916 662
583 4983 665
12869 5239 663
581 5550 665
21060 7596 664
25156 6215 662
12864 6290 663
576 7481 663
21057 6441 662
25153 6410 661
21059 4902 664
25155 6271 665
12866 6138 662
578 6220 666
12874 4897 664
586 5187 664
21067 6270 664
25163 6261 665
21065 7410 663
25161 5131 663
12872 9074 663
584 6798 662
21068 7580 663
25164 4864 663
12877 4890 665
589 4655 662
12879 7311 665
591 6116 663
21070 5204 665
25166 4812 663
21102 5081 662
25198 4866 662
12911 5402 664
623 5323 663
12909 4842 664
621 4878 664
21100 9964 661
25196 7547 663
12904 5753 663
616 4863 665
21097 4867 662
25193 6228 663
21099 7352 664
25195 6830 661
12906 7316 663
618 7417 663
12898 5920 662
610 6121 662
21091 4801 662
25187 7470 664
21089 6317 663
25185 10175 663
12896 10052 661
608 6154 662
21092 7466 663
25188 6247 661
12901 7119 663
613 6459 662
12903 6678 663
615 7366 664
21094 6996 665
25190 7403 664
12918 5107 663
630 4859 662
21111 4867 664
25207 4825 663
21109 5294 666
25205 6934 665
12916 8486 665
628 6174 663
21104 5079 663
25200 4815 663
12913 5366 663
625 4934 662
12915 5070 662
627 5343 664
21106 7687 662
25202 4886 663
21114 6352 662
25210 6318 665
12923 4914 663
635 5547 663
12921 5392 665
633 4899 665
21112 7230 664
25208 6974 662
12924 6330 665
636 5599 662
21117 5049 662
25213 4789 663
21119 4880 665
25215 4887 663
12926 4841 662
638 4817 664
12838 7590 666
550 4532 664
21031 4898 663
25127 4862 662
21029 5969 662
25125 6295 662
12836 8455 664
548 4886 662
21024 4919 664
25120 5268 666
12833 4887 664
545 4891 664
12835 6251 663
547 5720 661
21026 4874 663
25122 5389 664
21034 4876 661
25130 5972 663
12843 4889 663
555 5050 664
12841 6204 663
553 6293 661
21032 8241 662
25128 5001 663
12844 4819 663
556 5364 662
21037 4927 665
25133 6205 664
21039 5682 662
25135 5329 662
12846 4805 664
558 4768 661
21054 4720 661
25150 7585 664
12863 5513 662
575 4942 662
12861 4772 662
573 4775 661
21052 7694 661
25148 4812 665
12856 4992 665
568 4885 664
21049 4837 662
25145 5149 662
21051 6337 664
25147 5683 665
12858 5940 663
570 5955 662
12850 4891 663
562 4886 663
21043 4953 664
25139 4869 661
21041 6689 662
25137 4534 665
12848 7434 664
560 4946 663
21044 4897 664
25140 4872 661
12853 7490 663
565 5643 662
12855 5985 663
567 4994 660
21046 4966 663
25142 4838 663
21014 5366 662
25110 6302 664
12823 6204 662
535 5540 662
12821 4909 663
533 5388 665
21012 7393 663
25108 4865 662
12816 4883 662
528 6315 662
21009 4845 661
25105 5087 662
21011 4765 664
25107 6774 665
12818 4597 661
530 4761 662
12826 4876 665
538 5102 665
21019 4931 663
25115 6445 662
21017 5670 664
25113 7307 664
12824 7406 664
536 4844 664
21020 4849 662
25116 4863 662
12829 7405 663
541 5614 661
12831 5377 663
543 4910 664
21022 4957 664
25118 4836 667
12814 6249 664
526 6345 663
21007 5877 661
25103 4879 664
21005 4833 662
25101 5264 664
12812 7802 663
524 4890 663
21000 6303 663
25096 5662 664
12809 5951 661
521 5419 662
12811 4937 665
523 4907 661
21002 5022 664
25098 7437 665
20994 6431 663
25090 5680 662
12803 4884 662
515 4970 664
12801 4878 664
513 5015 663
20992 7006 665
25088 5091 662
12804 6239 664
516 6385 661
20997 4544 663
25093 4876 663
20999 4905 661
25095 5241 662
12806 4959 666
518 6284 663
21006 5633 665
25102 5958 662
12815 4925 663
527 4728 664
12813 4760 663
525 4804 663
21004 9790 663
25100 4791 661
12808 6254 664
520 8390 665
21001 6611 661
25097 4432 662
21003 4677 666
25099 4758 663
12810 4776 662
522 4741 664
12802 5824 663
514 4852 663
20995 4894 662
25091 5124 666
20993 4844 665
25089 5102 664
12800 7511 661
512 4844 663
20996 6463 663
25092 6273 663
12805 4888 661
517 5378 664
12807 4854 663
519 4820 665
20998 4884 662
25094 6479 666
12822 4535 662
534 7397 663
21015 6272 661
25111 6551 662
21013 7556 664
25109 6126 664
12820 7302 665
532 5123 666
21008 5420 663
25104 6221 664
12817 6456 662
529 6318 661
12819 6441 664
531 8100 664
21010 6272 664
25106 7390 663
21018 6396 663
25114 7335 660
12827 6459 662
539 6295 666
12825 7425 664
537 4849 663
21016 8941 664
25112 4867 665
12828 5082 664
540 4892 664
21021 4833 663
25117 7371 667
21023 7025 664
25119 5063 663
12830 5057 667
542 4974 665
12862 7367 664
574 4704 662
21055 6297 663
25151 4849 665
21053 7444 664
25149 4882 666
12860 7326 666
572 6805 663
21048 4995 663
25144 4952 662
12857 5631 663
569 4839 663
12859 4856 662
571 6315 662
21050 4938 662
25146 6019 665
21042 4893 664
25138 5017 664
12851 7320 662
563 4951 662
12849 4931 662
561 6699 663
21040 7282 664
25136 5982 665
12852 4981 665
564 4992 663
21045 6931 663
25141 5042 662
21047 5051 662
25143 6262 660
12854 4875 662
566 5119 663
21030 6043 666
25126 6309 665
12839 4866 662
551 5055 662
12837 7865 665
549 7585 662
21028 7122 665
25124 5039 667
12832 5325 663
544 4815 665
21025 6364 664
25121 7680 663
21027 5348 664
25123 6218 663
12834 4869 663
546 4836 665
12842 7521 663
554 4944 664
21035 6039 663
25131 4897 663
21033 5059 662
25129 6010 664
12840 7797 662
552 6626 665
21036 5954 663
25132 5425 663
12845 4975 663
557 4873 664
12847 5015 662
559 4903 663
21038 6653 664
25134 5958 664
13014 4833 663
726 5839 666
21207 5136 664
25303 5766 662
21205 5002 664
25301 7402 663
13012 7483 663
724 5154 666
21200 4954 665
25296 7146 665
13009 5014 662
721 4891 664
13011 6771 661
723 6220 665
21202 5938 667
25298 7383 661
21210 5064 663
25306 6388 661
13019 5309 662
731 5035 661
13017 6250 664
729 4910 663
21208 7257 664
25304 7585 664
13020 4866 664
732 5026 664
21213 6310 664
25309 4852 664
21215 4951 663
25311 6291 664
13022 6096 664
734 4845 662
21198 4869 664
25294 8322 662
13007 7353 664
719 4919 664
13005 5048 666
717 4862 661
