flow_ID DPDK_proc_time frwd_proc_time
23933 6892 664
28029 4859 665
23935 7356 664
28031 4992 665
15742 6140 666
3454 7346 665
15654 6306 664
3366 5395 665
23847 7301 665
27943 6285 664
23845 6032 663
27941 8006 664
15652 5020 664
3364 7447 666
23840 11669 668
27936 9521 666
15649 4836 664
3361 4858 667
15651 4755 664
3363 4962 668
23842 6220 663
27938 5604 664
23850 7109 664
27946 7328 665
15659 7327 664
3371 4824 664
15657 4910 663
3369 4956 663
23848 4849 667
27944 4939 664
15660 4652 665
3372 9758 666
23853 7480 668
27949 7132 664
23855 6026 665
27951 4760 664
15662 5017 666
3374 5386 664
23870 6244 664
27966 6311 667
15679 6406 663
3391 7548 664
15677 7147 665
3389 5918 664
23868 7268 663
27964 7215 667
15672 5951 664
3384 9926 667
23865 4889 665
27961 4792 665
23867 4920 665
27963 7375 665
15674 7374 666
3386 5723 665
15666 4903 665
3378 4814 664
23859 5317 666
27955 6208 665
23857 6863 666
27953 6115 666
15664 4999 665
3376 4864 665
23860 5359 665
27956 8390 663
15669 5029 665
3381 5883 664
15671 6148 665
3383 5230 665
23862 4844 665
27958 7337 665
23830 6105 666
27926 4966 663
15639 4862 665
3351 4857 666
15637 6325 666
3349 7562 666
23828 7710 663
27924 5937 666
15632 5176 666
3344 9450 664
23825 4781 663
27921 5009 663
23827 4715 663
27923 4901 667
15634 6440 664
3346 7864 665
15642 4926 665
3354 5952 667
23835 5325 664
27931 5264 665
23833 6246 663
27929 7400 664
15640 5991 666
3352 6098 664
23836 5050 664
27932 7961 665
15645 6463 666
3357 5415 665
15647 5143 665
3359 4855 666
23838 5163 665
27934 5200 668
15630 6534 666
3342 7470 663
23823 8016 664
27919 6521 665
23821 5046 665
27917 4707 664
15628 5424 666
3340 6253 663
23816 7272 663
27912 10074 666
15625 6774 666
3337 6241 665
15627 7551 664
3339 6793 666
23818 5934 664
27914 6106 664
23810 5046 665
27906 4914 664
15619 4797 665
3331 4998 664
15617 4887 664
3329 7356 664
23808 4496 663
27904 4865 666
15620 4873 662
3332 7898 666
23813 6115 665
27909 4837 667
23815 5253 664
27911 4906 664
15622 4842 664
3334 4891 663
23822 7274 668
27918 5493 665
15631 4743 666
3343 4901 664
15629 4948 664
3341 4776 663
23820 5110 664
27916 5066 667
15624 6533 665
3336 10064 667
23817 4417 668
27913 4900 663
23819 7375 664
27915 4980 664
15626 6043 664
3338 5576 666
15618 4773 665
3330 5348 665
23811 5009 662
27907 4917 663
23809 6263 667
