flow_ID DPDK_proc_time frwd_proc_time
15638 7728 664
3350 7789 665
23831 7409 661
27927 7733 664
23829 7778 662
27925 7297 667
15636 7383 661
3348 7324 662
23824 7404 663
27920 7528 663
15633 7324 661
3345 12421 663
15635 7482 664
3347 7316 662
23826 7508 664
27922 7395 662
23834 7365 666
27930 7918 662
15643 7889 665
3355 7440 661
15641 7192 663
3353 10919 661
23832 7249 665
27928 7722 664
15644 7253 664
3356 7402 664
23837 7260 664
27933 9667 664
23839 7396 665
27935 7333 662
15646 7917 663
3358 7375 664
15678 7438 663
3390 5390 663
23871 7672 662
27967 7345 663
23869 7377 665
27965 7382 663
15676 7356 664
3388 7409 660
23864 7630 663
27960 7332 663
15673 7333 662
3385 10076 662
15675 7433 662
3387 7216 661
23866 7220 665
27962 7307 664
23858 7241 662
27954 7281 664
15667 7247 661
3379 9024 663
15665 7304 664
3377 7748 661
23856 7302 663
27952 7430 664
15668 7380 663
3380 7908 662
23861 7380 662
27957 10068 662
23863 7460 664
27959 7397 660
15670 7272 662
3382 7256 663
23846 7287 662
27942 7297 666
15655 7528 663
3367 7815 662
15653 7324 664
3365 7248 664
23844 7403 664
27940 7322 664
15648 7349 663
3360 7252 662
23841 7215 665
27937 9619 663
23843 7352 664
27939 7412 665
15650 7320 666
3362 7863 665
15658 7278 664
3370 7655 663
23851 7454 664
27947 8380 661
23849 7390 661
27945 7785 662
15656 7535 663
3368 7338 662
23852 7467 665
27948 7338 664
15661 7516 663
3373 10123 666
15663 7336 666
3375 7610 665
23854 7433 662
27950 7523 664
15830 7424 663
3542 7535 664
24023 7275 663
28119 7164 662
24021 7112 662
28117 7310 663
15828 7542 665
3540 7365 663
24016 7269 662
28112 7338 663
15825 7274 664
3537 9758 663
15827 7455 663
3539 7396 664
24018 7531 664
28114 7465 664
24026 7568 663
28122 8788 664
15835 7360 664
3547 7407 665
15833 7356 663
3545 7397 662
24024 7140 666
28120 8171 662
15836 7386 662
3548 7406 662
24029 7365 664
28125 9828 664
24031 7418 663
28127 7623 664
15838 8171 665
3550 7318 663
24014 7360 662
28110 7379 665
15823 7459 664
3535 7761 665
15821 7341 663
3533 7436 664
24012 7378 665
28108 7447 662
15816 7897 662
3528 7605 663
24009 7495 663
28105 9839 664
24011 7772 662
28107 8190 663
15818 7377 663
3530 7903 666
15810 7390 663
3522 7540 665
24003 7356 664
28099 7525 664
24001 7571 664
28097 7807 664
15808 7494 661
3520 7824 663
24004 7351 662
28100 7270 664
15813 7327 664
3525 9663 664
15815 7350 662
3527 7402 664
24006 7332 662
28102 7447 662
24038 7334 664
28134 7372 662
15847 7351 665
3559 7463 665
15845 7830 663
3557 7834 662
24036 7590 663
28132 7321 661
15840 7554 663
3552 7462 664
24033 7357 663
28129 10031 666
24035 7385 662
28131 7889 664
15842 7354 663
3554 7367 662
15850 7686 663
3562 7187 664
24043 7922 662
28139 7489 661
24041 7685 661
28137 7498 663
15848 7343 665
3560 7521 665
24044 7216 663
28140 7753 665
15853 7308 663
3565 10148 662
15855 7395 662
3567 7346 663
24046 7460 662
28142 7301 664
15870 7532 664
3582 7384 659
24063 7430 661
28159 7364 664
24061 7436 662
28157 7373 663
15868 7345 663
3580 7529 663
24056 7184 665
28152 7242 663
15865 7208 664
3577 11801 664
15867 7961 664
3579 7308 663
24058 7601 663
28154 7407 663
24050 7219 663
28146 7299 661
15859 7433 664
3571 7529 666
15857 7658 664
3569 7473 660
24048 7313 663
28144 7421 664
15860 7361 661
3572 7377 663
24053 7721 665
28149 9691 664
24055 7333 661
28151 7576 662
15862 7653 666
3574 7374 664
24062 7327 662
28158 7258 663
15871 7240 663
3583 7226 664
15869 7250 661
3581 7214 662
24060 7233 666
28156 7394 664
15864 7366 665
3576 8268 661
24057 7355 664
28153 10060 666
24059 7853 663
28155 7925 663
15866 7388 664
3578 7334 663
15858 7660 662
3570 7357 664
24051 7718 664
28147 7823 664
24049 7382 664
28145 7354 663
15856 7866 664
3568 7325 665
24052 7513 662
28148 7431 663
15861 7526 665
3573 9700 662
15863 7385 661
3575 7325 663
24054 7492 663
28150 7691 666
15846 7404 665
3558 7654 661
24039 7288 664
28135 7820 664
24037 7410 661
28133 7423 665
15844 7529 667
3556 8521 662
24032 7806 664
28128 7385 664
15841 7436 663
3553 9755 667
15843 7361 665
3555 7428 666
24034 7448 664
28130 7381 665
24042 7822 665
28138 7309 664
15851 7351 662
3563 7344 663
15849 7294 662
3561 7554 663
24040 7421 663
28136 7390 666
15852 7437 662
3564 7451 665
24045 7393 665
28141 10349 665
24047 7549 664
28143 7461 663
15854 7222 666
3566 7404 663
15822 7363 664
3534 7278 662
24015 7517 663
28111 7717 662
24013 7332 662
28109 8032 662
15820 7829 663
3532 7508 666
24008 7441 662
28104 7352 661
15817 7627 665
3529 9910 664
15819 7360 663
3531 7510 664
24010 7869 664
28106 7545 665
24002 7334 662
28098 7365 664
15811 7407 665
3523 7430 662
15809 7347 663
3521 7499 663
24000 7421 664
28096 7382 662
15812 7541 663
3524 7408 665
24005 7512 662
28101 9803 665
24007 7349 662
28103 7975 663
15814 7369 665
3526 7377 665
24022 7813 664
28118 7360 663
15831 7386 662
3543 7936 662
15829 7149 665
3541 7484 663
24020 7356 661
28116 7422 665
15824 7253 663
3536 7432 663
24017 7221 664
28113 9706 664
24019 7306 664
28115 7297 661
15826 7387 665
3538 7296 665
15834 7145 663
3546 7420 662
24027 7132 662
28123 7354 663
24025 7690 666
28121 7431 663
15832 7314 663
3544 7414 662
24028 7337 663
28124 7375 665
15837 7359 664
3549 9644 664
15839 7522 664
3551 7469 661
24030 7695 665
28126 7322 664
23942 7153 665
28038 8377 663
15751 7506 662
3463 7418 663
15749 7504 661
3461 7480 663
23940 7274 663
28036 7384 664
15744 7456 662
3456 7390 662
23937 7544 661
28033 10317 663
23939 7847 662
28035 7679 663
15746 7560 664
3458 7399 662
15754 7529 664
3466 7249 662
23947 7352 667
28043 7362 662
23945 7444 663
28041 7418 664
15752 7726 663
3464 7480 663
23948 7361 662
28044 7359 663
15757 7425 664
3469 10120 666
15759 7805 665
3471 7797 665
23950 7691 664
28046 8431 663
15774 7829 664
3486 7364 666
23967 8170 662
28063 7653 665
23965 7368 661
28061 7322 663
15772 7358 662
3484 7765 664
23960 7362 665
28056 7351 662
15769 7425 665
3481 9783 663
15771 8424 664
3483 7459 665
23962 7347 663
28058 7416 664
23954 7332 661
28050 7359 664
15763 7312 662
3475 7335 666
15761 7380 664
3473 7164 664
23952 7394 665
28048 7325 661
15764 7436 662
3476 7286 665
23957 7451 664
28053 10315 663
23959 7308 662
28055 7930 664
15766 7326 662
3478 7537 667
15798 7324 661
3510 7283 662
23991 7518 661
28087 7223 664
23989 7381 664
28085 7531 662
15796 7335 664
3508 7281 664
23984 7353 666
28080 7366 662
15793 7459 665
3505 10259 664
15795 7408 661
3507 7796 665
23986 7733 664
28082 8048 663
23994 7350 666
28090 7360 663
15803 7983 662
3515 7291 662
15801 7725 664
3513 7326 665
23992 7235 661
28088 7359 663
15804 7359 663
3516 7345 662
23997 7545 663
28093 11563 664
23999 7888 664
28095 7936 666
15806 7357 662
3518 7414 665
23982 7492 663
28078 7886 664
15791 7535 664
3503 7557 663
15789 7616 663
3501 7865 664
23980 7633 666
28076 7373 661
15784 7476 664
3496 7807 661
23977 7310 663
28073 10458 663
23979 7805 663
28075 7419 663
15786 7359 663
3498 7808 663
15778 7480 662
3490 7350 664
23971 7367 662
28067 7519 661
23969 7405 663
28065 7187 661
15776 7345 662
3488 7371 665
23972 7253 664
28068 7991 663
15781 7262 664
3493 10144 663
15783 7496 664
3495 7288 663
23974 7227 662
28070 7215 665
15790 7362 666
3502 7515 663
23983 7262 664
28079 7377 663
23981 7190 664
28077 7299 662
15788 7227 663
3500 7167 663
23976 7444 662
28072 7228 663
15785 7316 665
3497 10530 661
15787 7301 663
3499 7540 665
23978 7284 663
28074 7888 663
23970 7566 662
28066 7659 662
15779 7378 664
3491 7453 663
15777 7342 663
3489 7676 663
23968 7552 662
28064 8339 663
15780 7403 664
3492 7329 661
23973 7384 664
28069 9850 667
23975 7378 665
28071 7485 663
15782 7301 661
3494 7325 662
23990 7229 664
28086 7546 662
15799 8080 664
3511 7338 665
15797 7293 664
3509 7116 664
23988 7418 663
28084 7325 664
15792 7306 664
3504 7088 661
23985 7461 664
28081 9252 664
23987 7378 663
28083 7828 664
15794 7150 663
3506 7863 664
15802 7307 662
3514 7161 662
23995 7199 664
28091 7471 665
23993 7899 663
28089 8426 662
15800 7361 662
3512 7164 662
23996 7322 664
28092 7281 664
15805 7249 662
3517 9157 664
15807 7631 666
3519 7222 661
23998 7297 661
28094 7698 661
23966 7274 663
28062 7099 664
15775 7172 662
3487 7285 663
15773 7601 663
3485 7139 661
23964 7286 661
28060 7364 664
15768 7145 662
3480 7148 665
23961 7102 660
28057 8977 663
23963 7292 664
28059 7696 662
15770 7293 664
3482 7573 663
15762 7228 662
3474 7166 662
23955 7690 661
28051 7735 663
23953 7085 663
28049 7262 664
15760 7303 662
3472 7259 663
23956 7125 664
28052 7510 665
15765 7298 665
3477 9392 663
15767 7283 665
3479 7568 661
23958 7556 664
28054 7305 663
15750 7249 666
3462 7320 664
23943 7251 664
28039 7315 661
23941 7309 663
28037 7391 663
15748 7206 663
3460 7232 662
23936 7343 662
28032 7760 663
15745 7258 663
3457 9302 664
15747 7669 662
3459 7344 664
23938 7232 662
28034 8060 664
23946 7339 665
28042 7721 661
15755 7475 663
3467 10106 664
15753 7900 664
3465 7286 661
23944 7263 663
28040 7241 663
15756 7506 662
3468 7300 666
23949 7840 662
28045 10214 664
23951 7305 663
28047 7483 664
15758 7349 664
3470 7376 662
15414 7400 666
3126 7868 663
23607 7329 663
27703 7578 663
23605 7283 662
27701 7405 662
15412 7595 664
3124 7649 664
23600 7204 663
27696 7094 663
15409 7202 666
3121 10208 661
15411 7348 663
3123 7504 663
23602 7420 663
27698 7335 662
23610 7364 664
27706 7902 665
15419 7461 665
3131 7373 664
15417 7287 668
3129 7153 663
23608 7271 665
27704 7436 664
15420 7366 661
3132 7372 663
23613 7501 663
27709 9647 662
23615 7397 662
27711 7782 662
15422 7364 662
3134 7324 661
23598 7234 663
27694 7217 661
15407 7336 662
3119 7485 665
15405 7349 662
3117 7429 663
23596 7313 664
27692 7534 661
15400 7138 663
3112 7243 666
23593 7556 662
27689 9752 661
23595 7664 662
27691 7382 663
15402 7503 662
3114 8085 662
15394 7342 665
3106 7436 661
23587 7390 663
27683 7227 664
23585 7156 664
27681 7316 662
15392 7313 666
3104 7170 664
23588 7153 665
27684 7214 665
15397 7575 663
3109 9833 664
15399 7281 662
3111 7560 665
23590 7208 662
27686 7296 662
23558 7315 662
27654 7547 666
15367 7443 663
3079 7236 666
15365 7340 662
3077 7375 666
23556 7362 664
27652 7361 663
15360 7259 661
3072 7344 663
23553 7793 663
27649 9878 664
23555 7140 663
27651 7863 662
15362 7287 664
3074 7263 663
15370 7258 664
3082 7308 665
23563 7292 664
27659 7319 663
23561 7167 664
27657 7307 662
15368 7197 664
3080 7245 662
23564 7140 663
27660 7152 663
15373 7418 665
3085 9631 663
15375 7199 667
3087 7434 665
23566 7716 663
27662 7107 663
15390 7516 664
3102 7284 661
23583 7345 664
27679 7363 662
23581 7248 665
27677 7275 661
15388 7395 664
3100 7327 666
23576 7352 664
27672 7157 662
15385 7273 662
3097 11398 661
15387 7428 663
3099 7188 664
23578 7150 662
27674 7359 663
23570 7329 662
27666 7647 664
15379 7304 663
3091 7795 663
15377 7375 662
3089 7488 664
23568 7248 662
27664 7311 665
15380 7245 665
3092 7285 663
23573 7342 664
27669 9500 665
23575 7349 662
27671 7388 662
15382 7111 664
3094 7166 665
23582 7181 663
27678 7657 661
15391 7405 662
3103 7271 666
15389 7389 663
3101 7277 665
23580 7233 662
27676 7347 665
15384 7273 661
3096 8664 664
23577 7447 662
27673 9707 664
23579 7460 662
27675 7231 664
15386 7384 663
3098 7257 667
15378 7203 666
3090 8169 664
23571 7386 662
27667 7767 664
23569 7427 665
27665 7293 661
15376 7375 664
3088 7378 664
23572 7437 664
27668 7297 664
15381 7443 666
3093 9515 665
15383 7262 665
3095 7750 663
23574 7320 661
27670 7275 663
15366 7487 664
3078 7413 663
23559 7471 663
27655 7324 662
23557 7271 663
27653 7299 661
15364 7246 664
3076 8042 662
23552 7327 663
27648 7310 663
15361 7402 663
3073 9840 661
15363 7444 665
3075 7690 662
23554 7440 662
27650 7372 663
23562 7300 661
27658 7646 664
15371 7189 664
3083 7487 664
15369 7355 660
3081 7420 663
23560 7301 664
27656 7240 663
15372 7275 662
3084 7525 663
23565 7218 666
27661 10054 663
23567 7278 664
27663 7093 662
15374 7828 661
3086 7395 663
15406 7970 664
3118 7678 663
23599 7337 664
27695 7292 665
23597 7583 665
27693 7972 665
15404 7186 662
3116 7381 663
23592 7239 664
27688 7359 666
15401 7404 664
3113 9262 663
15403 7268 665
3115 7333 663
23594 7294 662
27690 7243 662
23586 7288 665
27682 7404 663
15395 7449 662
3107 7222 664
15393 7125 663
3105 7103 663
23584 7249 667
27680 7236 662
15396 7445 664
3108 7542 663
23589 7190 663
27685 9734 665
23591 7319 667
27687 7458 664
15398 7241 666
3110 7359 662
23606 7805 662
27702 7289 661
15415 8315 665
3127 7921 665
15413 7362 664
3125 7422 662
23604 7361 662
27700 7583 665
15408 7291 665
3120 7259 662
23601 7879 663
27697 9508 662
23603 7284 662
27699 7399 663
15410 7488 664
3122 7363 661
15418 7402 662
3130 7248 662
23611 7619 666
27707 7908 663
23609 7263 666
27705 7446 665
15416 7191 662
3128 7346 663
23612 7343 662
27708 7348 662
15421 7092 662
3133 9466 664
15423 7145 663
3135 7314 663
23614 7429 663
27710 7218 662
23654 7105 661
27750 8370 663
15463 7294 662
3175 7084 661
15461 7192 666
3173 7276 665
23652 7321 663
27748 7246 662
15456 7236 663
3168 7278 663
23649 7597 664
27745 9813 662
23651 7218 666
27747 7355 661
15458 7269 662
3170 7352 662
15466 7407 665
3178 7114 664
23659 7227 662
27755 7205 664
23657 7343 662
27753 7127 662
15464 7256 661
3176 7324 663
23660 7232 664
27756 7271 663
15469 7141 663
3181 9473 664
15471 7415 663
3183 7273 661
23662 7371 664
27758 8217 666
15486 7678 662
3198 7167 660
23679 7263 661
27775 7369 666
23677 7485 663
27773 7857 663
15484 7161 663
3196 7356 664
23672 7267 662
27768 7336 661
15481 7242 663
3193 9580 662
15483 8078 661
3195 7427 661
23674 7263 662
27770 7159 664
23666 7291 663
27762 7320 662
15475 7733 664
3187 7295 663
15473 7495 663
3185 7389 665
23664 7360 662
27760 7168 663
15476 7424 665
3188 7177 661
23669 7456 662
27765 9338 661
23671 7277 664
27767 7925 663
15478 8798 662
3190 7238 665
15446 7206 665
3158 7080 663
23639 7393 664
27735 7818 662
23637 7210 661
27733 7126 663
15444 7134 662
3156 7141 662
23632 7264 662
27728 7244 665
15441 7249 665
3153 10321 663
15443 7405 663
3155 7383 662
23634 7494 662
27730 7466 662
23642 7317 663
27738 7296 665
15451 7449 665
3163 7358 662
