flow_ID DPDK_proc_time frwd_proc_time
21727 5719 664
25823 6236 663
13534 7346 660
1246 6284 665
21710 7309 664
25806 5914 662
13519 5916 663
1231 5878 663
13517 4931 664
1229 4778 664
21708 4850 665
25804 5109 662
13512 5123 665
1224 4875 663
21705 5980 663
25801 6154 663
21707 7436 662
25803 7381 662
13514 7230 665
1226 7401 664
13506 6167 662
1218 7477 661
21699 4868 664
25795 5895 662
21697 4914 661
25793 4802 664
13504 4894 663
1216 4883 663
21700 6378 664
25796 5538 664
13509 4787 663
1221 4763 661
13511 6451 663
1223 7875 662
21702 7280 663
25798 7406 662
13518 5898 663
1230 6273 665
21711 6309 664
25807 7223 665
21709 7300 664
25805 7607 661
13516 7381 664
1228 4845 664
21704 5076 663
25800 6235 662
13513 5296 662
1225 7442 663
13515 4867 662
1227 4937 664
21706 6140 664
25802 4870 663
21698 6307 663
25794 6424 664
13507 4789 661
1219 7359 664
13505 4911 662
1217 4980 663
21696 6146 661
25792 4949 664
13508 4869 662
1220 7340 663
21701 6305 665
25797 4796 663
21703 5013 663
25799 6354 663
13510 5089 665
1222 4849 663
21718 6238 663
25814 4828 665
13527 7048 664
1239 5944 664
13525 5256 664
1237 6182 663
21716 6046 662
25812 4855 663
13520 5852 663
1232 6244 663
21713 6282 663
25809 4884 662
21715 4919 663
25811 6402 664
13522 5022 662
1234 4916 663
13530 6581 664
1242 4749 663
21723 4758 662
25819 6287 663
21721 6179 665
25817 7472 662
13528 6041 663
1240 4844 663
21724 5431 663
25820 4831 663
13533 4850 663
1245 6338 663
13535 4801 664
1247 6324 662
21726 6267 661
25822 4865 662
21758 7624 663
25854 4757 664
13567 6440 663
1279 4887 664
13565 4821 663
1277 4852 664
21756 7161 663
25852 4858 662
13560 4898 663
1272 7546 665
21753 4891 664
25849 4911 666
21755 7644 661
25851 4848 661
13562 4803 663
1274 6239 661
13554 5776 663
1266 4665 665
21747 7366 664
25843 4852 662
21745 5082 664
25841 6263 664
13552 7298 665
1264 5269 663
21748 4860 664
25844 6407 663
13557 6094 664
1269 4931 665
13559 7364 663
1271 4834 662
21750 4934 661
25846 7940 663
13542 6053 664
1254 4853 661
21735 5003 661
25831 4935 661
21733 4915 661
25829 6430 663
13540 4832 661
1252 6033 662
21728 8152 663
25824 4940 663
13537 7557 665
1249 4986 662
13539 4866 665
1251 4832 663
21730 5932 665
25826 4945 664
21738 6288 662
25834 4896 662
13547 6249 665
1259 5940 666
13545 5116 662
1257 5218 663
21736 6664 662
25832 6021 663
13548 4996 664
1260 5341 665
21741 6480 664
25837 5013 661
21743 4860 664
25839 4876 662
13550 5649 664
1262 4889 663
21526 4873 663
25622 5030 665
13335 7377 663
1047 4465 662
13333 4888 662
1045 4823 663
21524 4872 664
25620 6138 662
13328 4988 662
1040 4740 663
21521 4856 664
25617 5303 662
21523 4826 663
25619 4875 661
13330 5637 665
1042 4416 664
13338 4994 663
1050 4734 663
21531 4948 662
25627 5566 663
21529 4773 661
25625 4761 664
13336 4748 666
1048 4824 667
21532 4486 662
25628 5646 663
13341 4928 663
1053 5901 665
13343 4700 663
1055 4828 664
21534 5118 663
25630 6429 662
13326 4605 664
1038 4885 662
21519 4869 661
25615 6138 664
21517 6356 661
25613 5552 664
13324 4927 662
1036 4946 664
21512 6465 663
25608 4612 665
13321 4866 665
1033 5372 662
13323 6507 662
1035 5804 666
21514 4836 662
25610 5352 662
21506 6236 663
25602 4524 664
13315 5310 665
1027 4948 663
13313 5760 662
1025 5438 662
21504 5071 663
25600 4833 664
13316 5830 662
1028 4888 664
21509 4941 663
25605 6241 665
21511 4540 662
25607 4939 661
13318 4843 661
1030 6433 662
13350 4565 664
1062 4994 662
21543 4870 663
25639 7264 666
21541 4543 664
25637 4907 662
13348 4964 666
1060 4881 666
21536 5607 662
25632 5018 663
13345 4909 663
1057 5275 663
13347 5208 664
1059 4847 662
21538 5672 663
25634 4853 663
21546 5134 661
25642 5113 664
13353 5122 665
1065 4853 665
21544 7795 662
25640 4604 663
13356 4985 664
1068 5264 662
21549 5654 664
25645 5001 663
21551 4871 664
25647 4828 662
13358 6526 664
1070 4555 663
21566 5081 664
25662 4849 661
13375 5621 661
1087 4986 661
13373 5142 665
1085 4822 664
21564 5724 664
25660 4830 662
13368 5140 663
1080 4925 662
21561 4979 662
25657 6254 664
21563 4924 662
25659 4678 664
13370 4868 663
1082 5930 665
13362 4954 666
1074 4890 663
21555 4989 662
25651 6283 663
21553 5641 665
25649 4811 662
13360 5098 663
1072 6501 661
21556 5810 664
25652 4970 665
13365 7704 663
1077 4873 662
13367 5810 663
1079 5024 661
21558 4956 664
25654 6249 664
