flow_ID DPDK_proc_time frwd_proc_time
13630 7581 663
1342 7332 663
21806 7385 663
25902 7355 665
13615 7320 663
1327 7536 661
13613 7738 662
1325 7387 662
21804 7394 663
25900 7313 661
13608 7638 663
1320 7337 666
21801 7321 661
25897 7337 663
21803 11615 665
25899 7897 666
13610 7419 660
1322 7342 664
13602 7356 662
1314 7279 665
21795 7827 662
25891 7521 666
21793 7354 664
25889 7481 663
13600 10671 664
1312 7373 663
21796 8123 665
25892 7535 662
13605 7329 664
1317 7319 664
13607 9607 663
1319 7537 663
21798 7379 663
25894 7368 663
13614 7491 661
1326 7369 662
21807 7782 663
25903 7323 663
21805 7353 662
25901 7316 662
13612 7543 663
1324 7528 662
21800 7398 665
25896 7535 666
13609 7372 664
1321 7342 663
13611 9767 664
1323 7684 662
21802 7362 664
25898 7513 663
21794 7368 664
25890 7909 664
13603 7360 662
1315 7348 662
13601 8704 663
1313 7383 665
21792 7384 662
25888 7349 662
13604 7307 661
1316 7528 665
21797 7339 665
25893 7385 666
21799 10014 662
25895 7419 665
13606 7982 661
1318 7363 663
21814 7393 665
25910 7408 665
13623 7392 663
1335 7523 662
13621 7863 663
1333 7299 663
21812 7639 662
25908 7313 664
13616 7872 662
1328 7370 664
21809 7253 663
25905 7456 666
21811 9772 662
25907 7549 665
13618 7369 663
1330 7428 663
13626 7449 663
1338 7324 666
21819 7545 665
25915 7428 662
21817 8658 663
25913 7346 663
13624 7603 664
1336 7368 663
21820 7495 663
25916 7337 665
13629 7312 665
1341 7505 663
13631 9867 663
1343 7472 663
21822 7493 664
25918 7395 665
21790 7519 665
25886 7444 663
13599 7438 663
1311 7482 662
13597 7356 664
1309 7289 662
21788 7238 663
25884 7461 662
13592 7318 665
1304 7238 663
21785 7265 661
25881 7272 664
21787 9774 663
25883 7423 661
13594 7533 661
1306 7387 665
13586 7368 662
1298 7372 663
21779 8261 664
25875 7540 663
21777 7525 662
25873 7313 664
13584 7446 662
1296 7350 662
21780 7326 663
25876 7396 662
13589 7370 663
1301 7464 664
13591 9772 661
1303 7398 664
21782 7304 664
25878 7853 664
13574 7351 663
1286 7401 663
21767 8028 663
25863 7296 663
21765 7394 662
25861 7487 664
13572 7450 664
1284 7428 663
21760 7345 665
25856 7377 666
13569 7367 666
1281 7384 667
13571 10056 663
1283 7600 667
21762 7570 664
25858 7355 664
21770 8198 663
25866 7434 663
13579 7400 662
1291 7522 666
13577 7412 663
1289 7361 663
21768 7994 664
25864 7298 662
13580 7367 663
1292 8157 663
21773 7367 663
25869 7445 663
21775 10683 663
25871 7353 662
13582 7362 665
1294 7321 665
13494 7499 663
1206 7350 663
21687 7375 662
25783 7496 662
21685 7360 663
25781 7363 664
13492 7313 667
1204 7574 662
21680 7364 662
25776 7496 663
13489 7685 664
1201 7259 664
13491 9882 662
1203 7447 663
21682 8489 666
25778 7218 662
21690 7395 662
25786 7228 662
13499 7289 664
1211 7554 665
13497 7358 661
1209 7406 666
21688 7331 662
25784 7349 662
13500 7412 664
1212 7368 661
21693 7301 663
25789 7343 663
21695 9757 663
25791 7503 661
13502 7537 665
1214 7447 664
21678 7477 663
25774 7391 662
13487 7379 663
1199 7376 663
13485 7368 663
1197 7386 662
21676 7341 663
25772 7866 664
13480 7500 663
1192 7342 662
21673 7685 664
25769 7313 665
21675 12091 661
25771 7367 663
13482 7451 663
1194 7435 665
13474 7456 663
1186 7347 662
21667 7333 665
25763 7525 664
21665 7493 665
25761 7777 663
13472 7295 661
1184 7631 664
21668 7410 664
25764 7422 664
13477 7304 663
1189 7244 662
13479 9915 663
1191 7237 663
21670 7280 664
25766 7392 662
21638 7382 661
25734 7297 662
13447 7493 664
1159 7538 661
13445 7818 664
1157 7408 664
21636 7529 662
25732 7801 663
13440 7306 664
1152 7398 663
21633 8408 663
25729 7382 662
21635 9885 665
25731 7382 664
13442 7516 662
1154 7325 661
13450 7329 665
1162 7354 663
21643 7557 663
25739 7384 665
21641 7363 662
25737 7353 663
13448 7354 664
1160 7192 661
21644 7402 662
25740 7753 663
13453 7706 663
1165 7350 665
13455 9804 664
1167 7348 663
21646 7797 663
25742 7455 663
13470 7337 662
1182 7440 662
21663 7504 662
25759 7538 666
21661 7636 663
25757 7409 661
13468 7747 662
1180 7518 666
21656 8214 664
25752 7468 662
13465 7428 663
1177 7433 664
13467 9739 664
1179 7607 666
21658 7430 665
25754 7737 665
21650 7420 664
25746 7393 663
13459 7514 664
1171 7369 665
13457 7358 663
1169 7400 663
21648 7465 664
25744 7340 666
13460 7412 663
1172 7363 665
21653 7770 662
25749 7385 663
21655 10291 663
25751 7799 662
13462 7499 667
1174 7841 663
21662 7368 663
25758 7423 663
13471 7395 661
1183 7842 664
13469 7361 662
1181 7124 663
21660 8663 664
25756 7337 662
13464 7384 666
1176 7342 663
21657 7930 663
25753 7590 665
21659 10248 664
25755 7816 664
13466 7409 661
1178 7388 664
13458 7300 665
1170 7519 666
21651 7385 662
25747 7333 663
21649 7425 660
25745 7401 664
13456 7434 665
1168 7564 663
21652 7381 664
25748 7286 664
13461 7544 664
1173 7374 662
13463 10000 662
1175 7365 662
21654 7457 662
25750 7369 661
13446 7543 664
1158 7902 662
21639 7471 665
25735 7347 662
21637 8165 663
25733 7334 662
13444 7473 661
1156 7445 663
21632 7439 662
25728 7251 665
13441 7242 663
1153 7521 664
13443 9918 663
1155 7414 662
21634 7559 663
25730 7519 664
21642 7478 662
25738 7447 662
13451 7361 663
1163 7472 665
13449 7420 660
1161 7407 664
21640 7442 667
25736 7351 663
13452 7482 662
1164 7651 666
21645 7390 663
25741 7288 663
21647 10142 662
25743 7458 666
13454 7514 663
1166 7342 662
13486 7146 661
1198 7301 662
21679 8189 665
25775 7236 661
21677 7311 664
25773 7384 662
13484 7479 663
1196 7270 662
21672 7287 662
25768 7228 663
13481 7241 663
1193 7233 662
13483 9918 663
1195 7361 662
21674 7659 662
25770 7368 663
21666 7854 662
25762 7592 667
13475 7399 664
1187 7355 661
13473 7353 664
1185 7273 664
21664 7238 662
25760 7363 664
13476 7229 663
1188 7298 663
21669 7366 661
25765 7361 662
21671 10135 662
25767 7356 662
13478 7411 665
1190 7472 663
21686 8416 664
25782 7420 664
13495 7393 663
1207 7366 662
13493 7459 662
1205 7837 663
21684 7349 662
25780 7368 664
13488 7498 662
1200 7344 662
21681 7881 663
25777 7316 660
21683 10273 662
25779 8177 664
13490 7440 664
1202 7540 663
13498 7444 662
1210 7420 664
21691 7407 664
25787 7480 664
21689 7350 663
25785 7367 662
13496 7385 661
1208 7362 665
21692 7506 664
25788 7382 662
13501 7804 665
1213 7780 663
13503 9824 663
1215 7360 661
21694 7897 664
25790 7506 663
