flow_ID DPDK_proc_time frwd_proc_time
28983 7862 664
8468 7394 662
8502 7324 663
16688 7683 662
16663 4533 666
16661 7366 664
4412 7439 663
4414 6253 665
4411 7673 664
6984 5073 664
26467 7387 661
28838 4844 662
7821 7319 661
25208 6786 666
11849 6285 664
14528 7518 662
17115 10108 666
19026 7407 663
6739 5779 663
31346 7853 662
10833 7326 663
19031 7320 664
29845 7556 665
32565 7888 667
871 7441 664
17918 7375 662
30206 5615 666
5631 6279 662
9710 7539 663
30189 7369 662
30184 7778 664
4384 8063 664
8485 7724 662
6300 7382 661
16673 7362 662
8490 7865 666
10398 5069 662
8493 7353 662
4392 4608 664
8348 7807 661
28812 4798 662
5268 7301 664
8350 7343 667
16538 5783 662
9374 7640 664
345 5957 664
21503 5046 662
12651 4802 663
20840 7372 664
24935 6326 665
12643 4568 662
20837 4490 664
12654 4526 661
2022 7383 664
25478 7929 666
32287 7309 664
24483 7554 664
24180 7512 665
24179 7526 663
3706 4545 662
445 7800 663
24896 7338 665
323 7845 662
31701 7395 664
31696 4680 662
19408 7359 663
21382 7352 663
27227 7529 666
8850 5245 664
11743 7381 662
11991 5322 662
7416 7834 661
32454 4924 666
31999 6496 665
8663 6409 663
8644 4425 664
8641 7302 663
8643 4868 663
16839 7228 663
16832 8513 662
6129 6520 663
29130 7823 664
30711 4927 665
4556 7335 663
28115 7327 662
15831 4534 662
10227 5098 663
6131 5508 663
4640 6178 662
8751 7453 663
4650 4404 665
8744 7238 661
29221 7519 664
10218 7364 664
6140 7731 663
30702 4503 662
10208 7468 661
18424 4674 664
10210 8016 663
18412 7966 663
30706 4449 665
18418 7357 662
18414 8147 663
31997 4508 664
11516 7518 664
11848 5032 665
8311 7464 664
26851 4978 663
7121 7461 663
29914 7352 661
12467 4689 664
4943 7880 666
27757 7387 662
31539 7375 664
32310 5058 662
7730 7379 663
11832 4674 661
7738 7464 663
11219 7451 663
32250 7531 665
11772 7552 663
13434 7550 665
1144 7322 663
21627 7349 664
1136 7435 662
4154 4880 665
25739 4822 663
13442 4677 662
25729 5782 663
13445 6641 662
21635 4663 664
1154 7384 662
2603 7472 663
11681 7528 667
18142 7310 663
14496 7598 663
22691 7412 663
10274 9725 662
22500 4918 661
13944 4838 662
16032 7739 666
1643 7339 663
28289 4397 662
16002 7221 663
30576 7414 663
10105 4950 664
28290 7388 661
16003 4554 663
17229 7421 663
17263 6326 662
4718 5034 664
24602 7520 663
20511 4570 662
5999 7339 663
6011 5768 664
30586 6761 665
18283 4536 662
5984 7374 666
30589 7382 665
2932 9740 663
23413 5584 665
2860 6171 664
15148 7352 662
23338 7377 662
23343 7454 663
22436 7380 664
17230 5092 662
29548 7418 664
9032 4554 663
4968 7452 664
9058 5799 666
17260 6388 664
20373 7360 665
8093 7517 663
20369 7361 662
32661 4544 665
32667 7375 662
32670 5681 663
17251 7391 663
4965 7744 661
4982 4493 662
9063 7375 664
9056 7362 663
9061 4635 665
20015 7950 664
32303 7995 663
27480 7268 614
15193 7140 611
15195 4695 662
23389 7327 663
2901 4544 664
15196 7367 664
12183 11627 616
20359 5801 614
16088 7505 664
24283 7956 663
28071 5039 663
25042 4880 663
5146 7351 661
17435 4616 664
7259 4882 661
31839 5844 663
11356 6242 662
14381 6279 662
3045 7811 663
27619 10420 663
15131 7403 663
14378 7428 663
23325 7447 662
27418 7753 663
5641 7477 663
2286 5328 663
26856 7341 662
24168 7351 661
14563 7406 665
24734 4963 664
20638 4936 664
4439 6086 664
27228 5617 663
20154 5088 663
29110 5017 663
27196 4907 664
29956 6395 661
5381 7354 664
31287 5318 663
18985 7397 665
6690 7422 664
6693 7386 663
18979 5677 663
5317 7437 663
23093 7550 665
11513 7734 663
10533 7636 666
1652 8243 661
31994 7341 664
18734 7515 661
10111 7392 664
28552 6249 663
31581 7398 663
11757 7589 661
16907 7612 662
6687 7376 662
10818 7434 665
21295 7421 663
6178 7371 663
4014 7569 661
20342 7354 664
29693 7386 663
29676 6519 666
9209 7502 664
5115 7411 663
12577 7506 664
7323 7610 664
31896 8934 663
10778 4763 663
11237 5882 663
23380 4786 663
3797 4793 664
16091 5526 663
16086 6271 664
28371 8458 662
3798 5514 665
24287 7441 663
3803 7304 664
3806 7225 664
28376 7269 664
3804 7179 662
28373 7252 661
21433 4900 663
954 8633 662
30341 6562 665
18070 7562 661
20621 5156 665
24717 7944 661
13444 8336 663
22032 7384 664
8093 7444 662
17308 5820 663
31534 6187 664
18618 7425 662
30445 7381 665
23600 7403 663
5859 7701 663
9961 7814 664
18146 7846 662
30434 7547 662
18159 4560 662
5862 7613 664
9958 7357 664
28035 7352 663
18151 8589 664
22957 5026 664
27111 6239 665
21400 7403 665
926 7352 662
923 5547 665
25483 7530 662
15327 7492 662
25100 5632 665
14763 7615 613
27053 5373 617
14755 6253 662
2468 4533 662
14846 7400 662
10434 7328 663
18625 7403 663
30084 7511 662
19300 7405 663
31596 7457 665
19310 7399 662
11112 4621 663
21686 9961 660
13104 4755 664
22013 5152 664
13822 4956 664
21202 4858 663
13009 7369 664
9496 5727 661
20970 7370 663
20987 7504 663
489 6351 662
20968 5759 659
12780 6301 659
484 7536 664
20962 10674 661
481 4550 666
20930 7594 662
20965 4674 660
20933 7396 662
25024 7371 661
12747 4883 663
25044 7550 662
297 7316 660
25037 4665 663
25054 7887 663
459 7560 664
20953 7540 662
466 7407 661
20947 7484 662
12590 7613 662
302 7426 664
25039 7501 663
12588 9726 665
9490 7405 662
28169 5363 661
31573 6070 663
5921 7860 663
30509 6313 662
18218 4634 664
30498 4530 661
30501 7380 661
5935 7588 662
7211 4941 664
29098 7486 663
16810 4538 665
16994 6117 663
20662 10549 665
3578 7480 663
21055 7332 662
3889 7441 662
12300 7747 661
24932 8056 663
14 7347 664
12645 7457 663
32093 6646 664
4226 7430 665
2055 7462 663
19805 7441 665
13295 7385 663
28810 7435 664
27523 7541 661
22532 10033 663
4132 7755 665
21503 7301 664
2946 7831 664
16423 7322 664
258 8775 663
21665 7305 662
24843 7414 665
1186 5683 663
28034 7419 664
12862 7411 667
709 7612 664
1564 7786 663
6375 7414 662
29937 7337 662
30950 7417 663
5367 7383 661
711 10543 662
4134 7342 663
4142 7867 665
24221 7403 663
28312 4428 665
16019 7298 663
28300 7469 663
28314 7282 664
24208 7412 662
12881 7412 664
5858 7824 663
19756 7366 662
19750 7400 662
24015 7358 664
23855 9948 665
3374 7292 662
20497 7328 663
22134 7569 662
27944 7558 667
17409 6426 664
28298 7503 666
13231 7804 662
13229 7344 662
5824 8248 663
733 7718 662
3998 7337 664
4038 7545 661
13021 7425 662
5975 7545 663
24920 7351 663
19880 4865 664
3582 4884 663
30746 4904 662
15405 7851 663
11717 8180 664
25467 7316 664
25540 4932 661
18692 4824 663
6 4928 661
30354 4777 666
9873 5245 663
2989 7716 665
17384 7495 664
23286 7550 663
31248 7435 663
17707 10125 663
17401 6543 664
18962 7856 664
10771 7448 665
6663 7447 663
6676 7418 663
10772 5778 664
5114 7404 665
31235 7706 664
29283 7562 663
4712 5004 661
30967 7541 665
30723 7355 664
1193 7431 664
8004 7351 664
17646 5686 665
9943 8889 664
8802 7230 666
27265 7968 662
4091 4898 662
18984 4895 664
25995 7339 661
2281 7505 662
2275 7638 663
26826 4704 662
26829 7322 664
2251 7930 665
14571 4473 666
26863 7344 663
30557 7878 665
31828 7814 666
25064 7339 662
4404 4928 665
8499 4828 661
28981 7373 663
4403 7194 665
7036 7300 664
7033 7244 664
31610 4462 666
7025 7350 661
22116 7236 661
17292 4914 662
29577 6147 664
8026 6212 662
31494 5032 664
5277 7565 662
9365 7537 661
29854 7367 663
24513 7353 666
1346 7595 662
32399 7375 662
20126 7193 662
5518 7521 665
16746 5963 664
11022 7366 663
4933 7240 661
31855 7382 664
31821 7287 664
31853 4637 664
2511 7427 666
2823 7555 662
29510 7490 662
8933 7412 662
4847 7502 662
12418 7582 662
22660 7373 661
14464 7545 663
28459 7385 661
15273 5014 666
24325 7384 665
2298 4769 662
22777 5606 664
16514 7532 662
16522 5589 663
743 7330 663
30429 6250 664
5844 6403 665
20236 4834 661
13705 5533 660
10572 4980 666
18797 7538 664
28076 6036 662
15789 7777 662
157 7333 665
30778 7407 663
17394 7355 662
7641 7371 665
10522 6396 664
10520 5730 665
10302 7365 667
19930 7225 664
9206 6123 661
14483 7264 663
10514 7655 664
30995 7228 663
22672 7268 664
26341 7396 663
14052 8033 663
13128 7365 663
14915 7364 661
23114 6271 663
27200 7338 661
32275 7507 664
2630 4542 661
7703 7323 666
22856 7460 662
10765 7790 666
6737 4680 665
6671 7378 663
31314 5616 663
24216 7199 664
3739 4486 664
16015 5603 664
3742 6176 662
28297 4593 666
16025 6059 663
30807 4763 664
13474 7295 662
1184 4544 662
22482 6375 660
29862 6244 661
31057 6257 662
9814 5688 665
541 7388 661
536 7322 664
5758 5492 663
5568 7365 665
25043 7323 663
24988 7489 663
6489 7374 660
407 8169 662
13162 7506 664
29076 7473 663
21368 10582 663
4503 7958 663
32295 7425 662
7713 7355 662
27486 5552 664
1175 7357 663
31258 7413 661
4458 7866 666
17501 5783 586
17501 5721 662
24714 4910 663
28090 5662 662
30879 6366 663
16287 4567 664
17501 45615 663
238 7310 664
28408 7363 663
10276 7384 662
9993 6192 663
30504 7295 664
28480 8187 664
9995 7590 664
10284 4964 661
14908 7410 662
2314 4658 662
2622 11168 661
26895 4894 663
23269 7709 662
20290 5631 662
12838 7493 662
26891 7350 663
5901 4554 664
26910 10084 665
8006 7461 662
23279 5653 661
21037 6251 665
25019 5965 665
13270 7544 662
6388 4984 663
14594 5328 662
11016 4836 665
10774 4889 663
31250 4548 663
28592 6403 661
21094 4822 661
17984 4826 664
1356 4934 666
27137 4740 663
14848 5590 663
26483 5208 664
1909 7342 662
4050 7383 663
24517 7849 663
16324 4674 663
28630 7851 664
24529 7336 665
28618 4570 665
24514 7323 664
4033 4555 664
16321 7344 663
22888 10405 663
16329 7406 662
24527 4580 662
10278 7753 663
11834 7521 665
23865 7360 662
13525 4911 663
14054 7398 664
10275 4896 662
6177 6038 664
15965 6282 664
24156 7315 663
5152 4994 663
27186 7366 664
27594 6123 664
15310 6749 662
24480 4875 662
10696 5234 663
7589 5990 663
5410 7500 663
9055 5644 663
4949 6442 662
29526 7440 663
29532 5645 661
9048 6272 663
29524 7392 661
17226 4994 663
18888 7595 662
7545 5653 662
1204 6687 665
13492 5610 665
20749 6259 661
1428 7544 661
29419 4844 662
19475 7266 661
8 7418 663
2 4960 663
12290 7537 664
4832 7455 614
29409 4249 614
17126 7534 664
8935 7374 664
8948 4413 662
10251 7332 661
2563 4835 666
15096 7561 664
19189 4862 663
10995 7444 664
12213 4789 663
17104 7482 661
19130 5043 662
4024 5780 664
401 4681 664
23543 4869 664
22361 7442 664
23843 4982 666
3368 4946 663
19642 5862 663
445 7249 663
30948 4861 663
23965 4893 665
1912 7394 665
20888 8226 663
18647 4986 663
2829 7544 662
1773 7372 661
22264 4677 664
26360 7816 665
22266 6581 663
14076 5804 663
23570 7634 663
23607 7139 626
15411 7726 664
27664 8237 662
27698 6635 662
3094 7565 662
3100 6279 663
3102 7582 663
13133 7347 667
3990 7673 663
5127 7371 663
22759 7410 663
21324 7333 664
4186 7382 663
12415 4921 660
22484 6295 662
5309 4566 662
29856 5863 663
29884 6305 664
5303 7378 661
9394 5616 664
5301 7300 666
17587 4654 664
29858 7321 663
17702 4741 662
15730 7222 666
15713 7488 659
271 6062 662
20362 5857 662
12172 6132 662
6580 4752 663
8121 4769 664
16979 7363 663
8799 6338 664
16988 7369 662
16987 7373 663
8789 7322 666
16985 7443 662
22279 9908 665
4678 7336 664
29258 4866 662
4675 7421 666
8769 7860 663
7793 7508 662
8779 7469 662
16973 7375 662
5238 4571 664
9332 7374 663
16975 7410 663
29815 7567 664
29810 7325 663
29821 7383 662
9339 4543 662
29816 5639 663
24525 7407 664
16332 7824 662
30356 7372 663
10205 7367 663
16790 5036 662
1188 4996 665
29078 5186 663
4925 7354 661
4743 4596 665
29318 7374 662
4922 8605 661
4736 7387 663
1086 7327 662
21559 4565 665
1073 7247 664
1063 7414 663
13364 4494 662
25661 9913 663
13369 5566 662
17883 7606 662
5594 7693 666
26375 8019 664
1798 7929 663
27292 7460 662
23193 7516 663
16798 7263 662
4511 5010 661
4506 4508 664
9305 7436 665
26403 4796 662
20398 7287 663
19111 4757 667
21669 5663 662
4694 10291 664
16981 6013 663
26580 7184 663
20032 4952 664
11841 6344 663
30946 5990 662
10940 6515 664
8325 4886 661
10615 4781 662
18789 6059 663
29120 4802 667
9832 4523 662
21951 7340 665
801 7398 661
16328 8028 662
9111 7325 662
14625 7508 664
516 4526 664
1849 7369 663
14142 7363 664
7725 7390 663
