flow_ID DPDK_proc_time frwd_proc_time
2813 5177 660
15103 7373 662
2815 4879 663
23294 4840 663
27390 4875 663
15086 5025 664
2798 10651 663
23279 4848 666
27375 9220 661
23277 7125 662
27373 7255 663
15084 5911 664
2796 5348 662
23272 5959 664
27368 6442 660
15081 4850 662
2793 4882 664
15083 4978 664
2795 5423 664
23274 5315 662
27370 5410 661
23266 4949 662
27362 7691 665
15075 4880 663
2787 9024 664
15073 5998 664
2785 7501 663
23264 7330 662
27360 7488 665
15076 6496 662
2788 7415 662
23269 7465 664
27365 5925 663
23271 4767 664
27367 5402 664
15078 4703 664
2790 5339 665
15046 5272 664
2758 5756 665
23239 6162 665
27335 9563 664
23237 5930 666
27333 4813 663
15044 5043 662
2756 5910 663
23232 4838 665
27328 7476 664
15041 5486 663
2753 4890 662
15043 5144 664
2755 7397 665
23234 7397 664
27330 7480 663
23242 7453 664
27338 7496 662
15051 6656 664
2763 8633 663
15049 4781 662
2761 4766 665
23240 7223 663
27336 7203 662
15052 7235 663
2764 7291 664
23245 7264 665
27341 5946 663
23247 5932 665
27343 5521 664
15054 4686 663
2766 6084 664
23262 6220 663
27358 7237 665
15071 7271 663
2783 8234 664
15069 6003 665
2781 7461 661
23260 4764 665
27356 4841 665
15064 4727 661
2776 5509 663
23257 6091 663
27353 4822 665
23259 4908 664
27355 6146 666
15066 7290 663
2778 7362 665
15058 6665 662
2770 7538 662
23251 7364 666
27347 7193 663
23249 7348 663
27345 7351 662
15056 7406 662
2768 5340 666
23252 4810 660
27348 5263 663
15061 5210 661
2773 5821 664
15063 4845 663
2775 5051 661
23254 4781 661
27350 7518 664
15070 6280 665
2782 6244 664
23263 4592 662
27359 7831 664
23261 4844 664
27357 4872 663
15068 4884 662
2780 6256 663
23256 7532 663
27352 5634 665
15065 4640 664
2777 5022 664
15067 4946 665
2779 4899 660
23258 6221 666
27354 7490 663
23250 4509 661
27346 5328 662
15059 4851 665
2771 7631 664
15057 4843 662
2769 6243 664
23248 5967 664
27344 4834 666
15060 4809 662
2772 8555 664
23253 4877 663
27349 5140 663
23255 4877 661
27351 4941 664
15062 4833 661
2774 6501 663
23238 5645 663
27334 4865 662
15047 4822 664
2759 7739 664
15045 4979 662
2757 4851 662
23236 6015 663
27332 5702 661
15040 5001 664
2752 5020 664
23233 4869 664
27329 5020 665
23235 4829 661
27331 6336 664
15042 5668 662
2754 4819 667
15050 7565 664
2762 4908 663
23243 6124 662
27339 7406 664
23241 4950 665
27337 5023 664
15048 5184 662
2760 5692 663
23244 5043 664
27340 5069 663
15053 4910 663
2765 6387 663
15055 5672 666
2767 4769 664
23246 4893 664
27342 4922 661
23278 4875 664
27374 6379 663
15087 5791 662
2799 8736 661
15085 4918 662
2797 4768 661
23276 4651 664
27372 4773 664
15080 6071 664
2792 5532 665
23273 4762 662
27369 4798 664
23275 6162 663
27371 5622 663
15082 5492 663
2794 4713 664
15074 4929 664
2786 4794 665
23267 6305 665
27363 9418 662
23265 5963 661
27361 6061 662
15072 4786 664
2784 4836 662
23268 4794 663
27364 4883 661
15077 6189 661
2789 4735 663
15079 4767 662
2791 5121 664
23270 4860 665
27366 4874 664
15094 6158 661
2806 4570 664
23287 4771 663
27383 7259 664
23285 4928 665
27381 7400 662
15092 6142 663
2804 6335 662
23280 6218 661
27376 5591 666
15089 4835 663
2801 4971 663
15091 4947 661
2803 4892 662
23282 6312 662
27378 5599 664
23290 4865 662
27386 4953 663
15099 4846 663
2811 8469 663
15097 6231 665
2809 5840 663
23288 5057 662
27384 4794 663
15100 5010 664
2812 4832 663
23293 5162 664
27389 6334 663
23295 7474 662
27391 4848 662
15102 4856 664
2814 5195 663
15014 5053 664
2726 4957 663
23207 4827 664
27303 8507 663
23205 7548 662
27301 4898 662
15012 4766 664
2724 4764 662
23200 4804 662
27296 4745 662
15009 5000 665
2721 5731 663
15011 4736 663
2723 4910 663
23202 4782 665
27298 4852 664
23210 4763 662
27306 7078 662
15019 6024 665
2731 8683 664
15017 4834 662
2729 4858 663
23208 4776 664
27304 5173 664
15020 4932 660
2732 4963 665
23213 6984 662
27309 4950 664
23215 4928 661
27311 5653 665
15022 4989 664
2734 4858 664
23230 6315 663
27326 4531 663
15039 4896 662
2751 7742 664
15037 4871 664
2749 4872 664
23228 4929 666
27324 6250 665
15032 5051 664
2744 6100 664
23225 5970 664
27321 5011 665
23227 4943 664
27323 4730 661
15034 5378 664
2746 6165 663
15026 7161 664
2738 7453 663
23219 6319 661
27315 8417 661
23217 4768 661
27313 4850 663
15024 5255 664
2736 4953 666
23220 4894 663
27316 6571 663
15029 5694 662
2741 4854 663
15031 4891 664
2743 4770 662
23222 5038 663
27318 4911 662
