flow_ID DPDK_proc_time frwd_proc_time
2357 7492 663
22836 7417 663
26932 7286 666
14640 7997 664
2352 7330 662
22833 7381 665
26929 7522 661
22835 7921 663
26931 7349 662
14642 7240 662
2354 7376 661
14650 7577 661
2362 7347 667
22843 7320 662
26939 7115 663
22841 7803 662
26937 7906 664
14648 7329 662
2360 7390 666
22844 7650 664
26940 7517 663
14653 7400 663
2365 7589 665
14655 7395 663
2367 7270 662
22846 7311 662
26942 7335 665
14638 7997 663
2350 7337 663
22831 7323 661
26927 7868 666
22829 7432 663
26925 7286 661
14636 7967 666
2348 7496 662
22824 7506 662
26920 7739 661
14633 7340 661
2345 7556 663
14635 7284 665
2347 7237 662
22826 7372 664
26922 7355 662
22818 7565 665
26914 7754 663
14627 7382 662
2339 7839 661
14625 7956 664
2337 7355 662
22816 7373 662
26912 7346 664
14628 7540 663
2340 7476 664
22821 7321 662
26917 7441 662
22823 7365 663
26919 7273 662
14630 7615 664
2342 7496 662
14598 7315 661
2310 7356 664
22791 7324 662
26887 7638 662
22789 7330 663
26885 7332 664
14596 7307 661
2308 7337 665
22784 7378 663
26880 7690 664
14593 7614 664
2305 7331 662
14595 7371 665
2307 7249 665
22786 7350 662
26882 7755 664
22794 7459 662
26890 7760 662
14603 7887 662
2315 7306 665
14601 7575 663
2313 7392 664
22792 7452 662
26888 7490 663
14604 7637 664
2316 7457 665
22797 7310 663
26893 7409 665
22799 7451 667
26895 7369 663
14606 7370 664
2318 7379 662
22814 7829 663
26910 7387 663
14623 7461 665
2335 7564 665
14621 7644 665
2333 7471 662
22812 7296 663
26908 7312 663
14616 7257 667
2328 7261 662
22809 7240 662
26905 7406 663
22811 7623 663
26907 7811 665
14618 7428 663
2330 7934 662
14610 7357 663
2322 7805 665
22803 7527 665
26899 7630 663
22801 7363 663
26897 7295 664
14608 7359 663
2320 7794 663
22804 7579 661
26900 7351 665
14613 7510 663
2325 7343 665
14615 7407 665
2327 7882 664
22806 7474 664
26902 7603 662
14622 7842 664
2334 7519 664
22815 7370 664
26911 7339 663
22813 7342 663
26909 7447 664
14620 7827 662
2332 7486 662
22808 7574 666
26904 7337 662
14617 7841 664
2329 7851 663
14619 7513 663
2331 7582 663
22810 7346 664
26906 7451 662
22802 7379 666
26898 7570 664
14611 7931 662
2323 7528 665
14609 7334 664
2321 7800 664
22800 7435 664
26896 7471 664
14612 7488 663
2324 7745 664
22805 7267 664
26901 7235 664
22807 7280 665
26903 7259 662
14614 7447 663
2326 7299 663
22790 7420 664
26886 7464 664
14599 7196 661
2311 7279 662
14597 7414 662
2309 7356 663
22788 7384 666
26884 7653 667
14592 7312 663
2304 7373 662
22785 7419 663
26881 7353 665
22787 7404 665
26883 7375 662
14594 7480 662
2306 7585 662
14602 7515 662
2314 7507 663
22795 7936 662
26891 7386 662
22793 7364 661
26889 7427 664
14600 7459 662
2312 7355 664
22796 7590 665
26892 7531 664
14605 8078 665
2317 7389 663
14607 7556 663
2319 7517 664
22798 7391 663
26894 7507 662
22830 7272 663
26926 7397 661
14639 7608 662
2351 7380 663
14637 7384 663
2349 7840 663
22828 7346 661
26924 7411 664
14632 7400 664
2344 7359 663
22825 7504 662
26921 7399 663
22827 7701 663
26923 7430 664
14634 7615 664
2346 7408 664
14626 7379 664
2338 7315 660
22819 7370 662
26915 7347 664
22817 7404 660
26913 7490 665
14624 7530 664
2336 7498 661
22820 7321 667
26916 7346 664
14629 7725 664
2341 7362 664
14631 7541 662
2343 7471 664
22822 7345 665
26918 7351 665
14646 7359 661
2358 8280 665
22839 7363 664
26935 7587 663
22837 7902 662
26933 7415 664
14644 7554 665
2356 7455 661
22832 7369 663
26928 7443 664
14641 7443 665
2353 7187 663
14643 7442 662
2355 7385 662
22834 7345 664
26930 7351 664
22842 7572 663
26938 7357 662
14651 7388 665
2363 7673 665
14649 7312 662
2361 7736 663
22840 7245 664
26936 7478 664
14652 7254 664
2364 7785 663
22845 7325 663
26941 7351 665
22847 7410 665
26943 7498 661
14654 7344 662
2366 7355 665
14694 7348 662
2406 7441 663
22887 7783 663
26983 7455 661
22885 7368 661
26981 7548 662
14692 7371 662
2404 7385 661
22880 7388 662
26976 7330 662
14689 7426 663
2401 7392 663
14691 7389 665
2403 7316 663
22882 7312 664
26978 7404 663
22890 7356 664
26986 7508 663
14699 7343 664
2411 7674 666
14697 7305 662
2409 7317 665
22888 7371 662
26984 7442 662
14700 7836 663
2412 7362 664
22893 7377 664
26989 7478 665
22895 7360 662
26991 7608 663
14702 7387 664
2414 7763 664
22910 7341 662
27006 7319 661
14719 7512 663
2431 7336 662
14717 7356 662
2429 7335 663
22908 7859 662
