flow_ID DPDK_proc_time frwd_proc_time
11046 5607 665
16204 4835 661
6958 6073 663
11054 4831 662
31535 4875 663
31533 5007 664
19245 5471 665
6956 7356 663
11052 4851 662
31528 5381 663
19240 7382 662
6953 4880 662
11049 6275 664
6955 11357 665
11051 7669 665
19215 7536 664
16221 6201 664
6926 4991 662
11022 6815 664
6918 5000 662
31495 7782 663
19207 7521 663
31493 4847 663
19205 4925 664
6916 6656 665
11012 7380 664
31488 5796 665
19200 6751 665
6913 6100 663
11009 7890 665
11029 4835 664
24414 5026 664
6935 6382 664
11031 6172 662
31510 7349 664
31518 5708 666
19230 6447 664
6943 7327 664
11039 7370 666
6941 7454 665
11037 4924 662
31516 7304 664
19228 6821 664
6936 5959 663
11032 7333 665
11028 7417 663
24411 4824 662
31509 7416 662
19221 8510 662
31511 4967 663
6934 7852 664
11030 5062 664
6942 6451 662
11038 5098 664
31519 6627 665
19231 5434 663
31517 6106 664
19229 7383 666
6940 7336 660
11036 6015 664
6925 7436 665
16216 4866 665
11021 7372 662
6927 7527 665
11023 6151 663
19214 4856 662
31494 7255 663
19206 6004 664
6919 6436 664
11015 7341 664
6917 7381 663
11013 6086 662
31492 4846 661
19204 6375 665
6912 4854 662
31524 5119 663
24401 5286 661
19236 6228 662
6949 7713 661
11045 6223 664
11047 6072 664
31526 4870 664
19238 7859 662
31534 5102 664
19246 5379 663
6959 4798 663
11055 4859 663
6957 5356 662
11053 6233 665
31532 6443 662
31544 5300 662
16210 6252 665
19256 4893 664
6972 5105 661
11068 6920 665
19261 6038 664
31551 6253 662
19263 7553 664
6974 6507 662
11070 7321 665
6966 6244 663
11062 7563 662
31543 4997 665
19255 6299 663
31541 6010 665
31689 5922 663
16215 7391 665
19401 7480 664
7112 9457 664
11208 7299 663
19404 4938 663
7117 6525 666
11213 6176 662
7119 6221 662
11215 4825 662
31694 7505 662
19406 6462 666
31686 6306 663
19398 5340 663
7111 4982 664
7123 6460 664
24404 6375 662
11219 6967 663
7121 7851 664
11217 5087 660
19408 8704 663
7124 4996 664
11220 5977 665
31701 4848 665
19413 6028 662
31703 7419 663
19415 5091 662
7126 7362 662
11222 4905 663
7134 7368 665
31738 6372 665
16245 7382 662
19450 7519 662
7163 7462 664
11259 5026 662
11257 7505 664
31736 10304 663
19448 4939 662
7164 6331 665
11260 7325 663
31741 4832 664
19453 6134 662
31743 7763 665
19455 7032 663
7166 4873 663
31730 7371 663
24438 6427 663
19442 7357 661
7138 6000 665
11234 6148 662
19427 5921 665
31713 7695 662
19425 8700 661
7136 5985 664
11232 7434 662
31716 4999 665
19428 7353 664
7141 4863 664
11237 4858 663
7143 5645 661
31723 7371 665
24435 8092 662
19435 6227 664
7146 7830 664
11242 5040 664
19426 6223 663
7139 6118 660
11235 7831 665
7137 9136 663
11233 5911 664
31712 6370 663
19424 7385 664
7140 4966 662
11236 5980 661
31717 7539 664
7145 7365 662
16240 7400 663
11241 7380 663
7147 6202 661
11243 5092 664
19434 5832 664
7162 8285 664
11258 7362 665
31739 5387 664
19451 7867 661
31737 4868 664
19449 6201 664
7160 4855 662
11256 6392 665
31740 4853 666
7152 7818 664
24441 7397 664
11248 6011 662
31729 4840 665
19441 4904 663
19443 6252 666
7154 7488 662
11250 4959 663
7122 4872 665
11218 5075 662
31699 9568 662
19411 7400 660
31697 7451 665
19409 7479 663
7120 5267 665
19420 7352 663
16250 5024 662
7128 7813 663
11224 5296 662
31705 7376 666
31707 5254 661
19419 6171 664
7130 4863 663
11226 4919 663
31690 5202 661
19402 6022 663
7115 8756 664
11211 5345 663
7113 7753 664
11209 7350 665
19397 4928 665
16255 6278 664
7108 7363 662
11204 6234 665
31680 4817 666
7105 6354 663
11201 6232 663
7107 4910 663
11203 7307 665
31682 4908 664
19394 4985 663
31642 7510 663
19354 8220 663
7067 6098 663
11163 6739 664
19351 7392 662
24444 5712 666
31637 5952 664
19349 4857 663
7060 5569 662
31632 6257 663
19344 7350 662
7057 7526 664
11153 8103 664
7059 5364 661
11155 7434 664
31634 4796 661
19346 4862 662
7042 9547 663
11138 6366 662
19342 5820 662
24429 4821 662
7055 4894 663
11151 5983 663
11151 6223 663
7053 7581 664
31628 5918 663
19340 5942 664
7048 7345 663
11144 7644 662
31625 7346 662
19337 4869 662
31627 5970 664
19339 5140 663
7050 8297 664
11146 4699 663
19374 7358 664
16238 7398 663
31654 7362 666
19366 5970 661
7079 6331 661
7077 5077 664
11173 4839 663
31652 7846 666
19364 7357 661
7072 7871 665
11168 6260 662
31649 5228 662
19361 4873 663
31651 5070 661
19363 10124 663
19383 7439 663
16235 7497 662
7094 5039 664
11190 4922 662
7102 7387 662
31679 7343 663
19391 7334 666
31677 7335 663
19389 6914 662
7100 7617 661
11196 7775 662
31672 5064 664
19384 6225 664
7097 5684 665
11193 4983 662
11189 10079 664
24424 7362 665
7095 7547 664
11191 7529 662
31670 7356 662
31678 4965 665
19390 7542 662
7103 5341 663
11199 5023 661
7101 7500 664
11197 5085 663
31676 7483 664
19388 6252 665
7096 6372 664
11192 4822 664
11180 5046 662
16225 8796 662
31661 7519 662
19373 6739 662
31663 7825 664
7086 6147 661
11182 5096 662
7078 4829 661
11174 7669 666
31655 7926 662
19367 6370 664
31653 4907 663
19365 7322 664
7076 5961 662
11172 4910 664
19328 7695 663
24418 5657 665
7044 11514 663
11140 4998 663
31621 4980 662
31623 6275 662
19335 6211 664
7046 5017 664
11142 7353 662
7054 7536 662
11150 7356 663
31631 7386 661
19343 7159 662
31629 7402 664
19341 4799 661
19353 7835 661
24423 5275 664
7064 4857 664
11160 9177 662
31644 6718 664
7069 7359 665
11165 4971 662
7071 5152 664
11167 5102 663
31646 5924 664
19358 7314 662
31638 4916 662
19350 6491 665
7063 4866 664
11159 7363 666
18987 6245 663
16228 7385 665
31273 7314 665
18985 8819 662
6696 6118 665
31276 5002 662
18988 7984 666
6701 7423 663
10797 4868 662
6703 4872 662
10799 7739 663
31278 7589 661
18990 6463 663
31270 6341 661
18982 6807 662
18994 5026 662
24381 6224 663
6707 7292 664
10803 7358 664
6705 10179 661
31280 7597 663
18992 6287 665
6708 4850 663
10804 5936 663
31285 7156 664
18997 7461 663
31287 5189 663
18999 6105 665
6710 6685 665
10806 7366 663
19002 4870 661
28474 5436 662
31258 7199 665
18970 4903 665
6683 7372 665
6681 8282 665
10777 4860 662
31256 6401 663
18968 4904 665
6684 6107 665
10780 7694 662
31261 5982 664
18973 4843 662
31263 6718 662
18975 7509 666
10771 8242 661
3897 6570 663
31250 4867 664
18962 7390 663
6658 7487 663
31235 4902 664
18947 8028 661
31233 5308 663
18945 7616 665
6656 6449 663
10752 7049 664
31236 5136 663
18948 6659 662
6661 6318 665
10757 4830 665
18953 5080 663
28464 4811 662
31243 4869 663
18955 6621 663
6666 4843 663
31234 6598 664
18946 5925 661
6659 9036 665
10755 7508 662
6657 7324 665
10753 7577 662
31232 7592 662
18944 7510 666
6660 4923 665
10756 6596 663
18952 5967 664
3891 7495 663
6665 7735 662
10761 7487 664
6667 6218 661
31242 7592 665
18954 4979 661
6682 6191 665
10778 10101 664
31259 7625 665
18971 7368 664
31257 7413 664
18969 7344 663
6680 7434 663
10776 4886 663
18964 5415 664
3894 4900 662
6672 7339 662
10768 6248 664
31249 5928 665
31251 7484 663
18963 7543 662
6674 7985 664
10770 7129 661
6706 10208 665
10802 5173 664
31283 4917 662
18995 7408 661
31281 4906 663
18993 7357 663
18993 4651 662
10813 6482 661
28469 4943 663
31292 7307 661
19004 7858 664
6712 6139 665
31289 7040 664
19001 5828 664
19001 6239 662
31291 7501 664
19003 7387 664
6714 10010 663
10810 7334 663
31274 4965 664
18986 5135 666
6699 5095 664
10795 7354 664
18983 7390 662
28452 6101 662
31269 4781 664
18981 4843 666
6692 7356 664
31264 7440 664
18976 4868 662
6689 7348 665
10785 7392 662
6691 6237 663
10787 8703 662
31266 7428 663
18978 7804 665
31354 7613 663
19066 5054 664
10870 6794 663
3879 4801 664
31351 4885 661
19063 6431 661
31349 7330 664
6772 8588 664
10868 5538 664
31344 4867 663
19056 7815 665
6769 4824 662
10865 5078 664
6771 9871 663
10867 7671 665
31346 7504 663
19058 6184 663
31342 7994 663
24353 6850 661
10863 7143 663
6765 7397 663
10861 4830 663
19052 7371 664
6760 4893 665
10856 7572 662
31337 4860 664
19049 4875 663
31339 7391 664
19051 7379 661
6762 10528 662
10858 7541 664
6730 4943 664
31302 7322 663
16168 5042 666
19014 6387 662
6727 7431 663
10823 5331 664
10821 7395 664
31300 6073 664
19012 7551 663
6720 7295 660
10816 4821 664
31297 6894 662
19009 7722 665
31299 6044 664
19011 7346 664
6722 5246 664
6742 7375 662
24363 6406 664
10838 5888 664
6750 4942 665
10846 4803 663
19039 6368 661
19037 4982 664
6748 4977 666
10844 5327 664
31320 6262 665
19032 7364 662
6745 4846 664
10841 7325 663
6747 7360 664
10843 8915 663
10839 4850 661
28462 5690 666
31318 4989 664
19030 4905 663
31326 7351 663
6751 7456 663
10847 7719 663
6749 7366 664
10845 5048 664
31324 6232 663
19036 6252 662
6744 6248 664
10840 6158 662
31321 6279 664
19033 6021 665
19021 10453 663
3885 4890 665
31311 4823 663
19023 5302 663
6734 6015 663
6726 7520 664
10822 4811 664
31303 6098 666
19015 7556 662
31301 5271 662
19013 4870 665
6724 6492 663
10820 4899 663
31296 4894 663
19008 7461 662
10852 5052 663
28428 8621 664
31333 4909 662
19045 4836 664
31335 6340 664
6758 5806 666
10854 7485 665
6766 4871 664
10862 4895 663
31343 6322 666
19055 5979 663
31341 7496 663
19053 4885 664
6764 6507 662
10860 7659 662
10872 7505 664
3855 6274 663
31356 10390 663
19068 5338 666
6781 7323 664
6783 5050 662
10879 5121 663
31358 7605 663
19070 4874 661
31350 7393 663
19062 7400 664
6775 5985 663
10871 5969 665
6773 5312 664
10869 6223 665
10889 7324 662
3850 5353 663
31368 5186 662
19080 10723 665
6796 5758 663
31373 5235 663
19085 7267 663
31375 7916 663
19087 6240 664
6798 7397 665
10894 6465 661
6790 7502 664
10886 5922 661
31367 7440 665
19079 4858 662
19091 7648 662
28425 4976 663
31377 6421 663
19089 5612 663
6800 10486 666
31380 7377 664
19092 6477 663
6805 4858 663
10901 6665 666
6807 4862 663
10903 6600 661
31382 6256 665
19094 7687 663
31390 6144 663
19102 7909 663
10938 6251 663
3840 7471 662
31419 7337 663
19131 5014 663
31417 4904 663
6840 9498 664
10936 4907 664
31420 7322 665
19132 7360 664
6845 4841 662
10941 4928 663
6847 7795 665
10943 4886 662
31422 7830 664
19134 4965 664
10930 7365 664
28419 5976 664
31394 4823 665
19106 7336 664
6819 4843 665
6817 7626 664
10913 10493 664
31392 4707 665
19104 7357 661
6820 4846 662
10916 4868 664
31397 5282 665
19109 4784 663
31399 4753 663
19111 5003 662
10923 6452 663
28422 5318 662
31402 6481 665
19114 5797 663
6818 4832 664
31395 6590 663
19107 7413 662
31393 9740 662
19105 5021 663
6816 6211 664
10912 6259 664
31396 7292 664
19108 7509 663
6821 7506 664
10917 4971 664
19113 7340 664
3845 5942 663
31403 6268 663
19115 6245 663
6826 4951 661
31418 6342 665
19130 5306 665
6843 4900 664
10939 8765 664
6841 7352 663
10937 8327 666
31416 5474 663
19128 4789 665
6844 5336 660
10940 6739 663
6835 7841 663
3860 7122 665
10931 7411 663
31410 7559 661
19122 5120 662
19090 4817 665
6803 4913 662
10899 6018 664
6801 6478 662
10897 9777 663
31376 7872 663
19088 6347 662
6804 4997 664
10900 5632 661
31381 6121 663
10905 7457 662
28439 7490 663
6811 7321 661
10907 6015 664
31386 7293 665
6794 4916 664
10890 5941 663
31371 7244 666
19083 6407 663
31369 4878 663
19081 8028 665
6792 7382 664
10888 7548 663
31372 7424 661
19084 7383 664
10880 6038 663
28434 8950 663
31361 4864 665
19073 4865 661
31363 4852 662
6786 6299 663
10882 7316 664
6874 7034 662
10970 5253 664
31451 4838 664
19163 6192 664
31449 5953 663
19161 6607 663
6872 7327 662
10968 7320 664
19156 5272 664
3857 7331 660
6864 5933 663
10960 4943 664
31441 7496 664
31443 5999 663
19155 4840 661
6866 7468 665
10962 7779 662
31426 7499 663
19138 4888 661
6851 6307 662
10947 7337 665
29802 7430 663
17514 5359 663
9318 6306 665
28440 6892 662
29799 6219 663
17511 8080 662
29797 5982 662
5220 4875 664
9316 7333 665
29792 7258 660
17504 4836 662
5217 6584 664
9313 6272 661
5219 6259 660
9315 7652 663
29794 4855 665
17506 5523 663
17526 5944 661
3867 4903 664
29822 6476 663
17534 4833 660
5247 7331 663
5245 7340 664
9341 5042 664
29820 7369 665
17532 8140 664
5240 5884 665
