flow_ID DPDK_proc_time frwd_proc_time
23420 7580 663
27516 8158 664
15229 7468 664
2941 7406 662
15231 7346 665
2943 7246 664
23422 7360 663
27518 7494 663
15214 7453 664
2926 7756 662
23407 7448 663
27503 7341 662
23405 7548 662
27501 11430 662
15212 7159 663
2924 7744 663
23400 7374 663
27496 7541 663
15209 7443 661
2921 7448 663
15211 8095 664
2923 7271 660
23402 7359 663
27498 10603 662
23394 7546 663
27490 7420 664
15203 7607 662
2915 7703 663
15201 7438 665
2913 10080 664
23392 7475 661
27488 7316 663
15204 7362 664
2916 7397 664
23397 7393 664
27493 7352 664
23399 7514 662
27495 7486 662
15206 7240 663
2918 7354 662
23406 7682 661
27502 7389 664
15215 7363 662
2927 7376 662
15213 7417 663
2925 10228 664
23404 7523 663
27500 7367 663
15208 7317 663
2920 7923 663
23401 7820 663
27497 7407 663
23403 7745 663
27499 8636 662
15210 7846 664
2922 7563 664
15202 7764 663
2914 7304 663
23395 8021 661
27491 8029 662
23393 7442 664
27489 9979 663
15200 7369 665
2912 7499 664
23396 7783 663
27492 7378 663
15205 7439 662
2917 7525 662
15207 7305 663
2919 7440 664
23398 7549 662
27494 7694 662
15222 7470 662
2934 7308 661
23415 7388 663
27511 7364 663
23413 7522 665
27509 10473 665
15220 7388 663
2932 7362 667
23408 7827 662
27504 7500 665
15217 7315 664
2929 7553 663
15219 7543 662
2931 8574 662
23410 7482 663
27506 7822 664
23418 7451 661
27514 7796 662
15227 7532 664
2939 7564 663
15225 7471 664
2937 9973 662
23416 7400 666
27512 7385 664
15228 7895 666
2940 7458 663
23421 7535 664
27517 7544 663
23423 7304 663
27519 7333 664
15230 7556 663
2942 7435 665
15198 7426 661
2910 7218 663
23391 7286 666
27487 7216 668
23389 7278 665
27485 9779 664
15196 7592 661
2908 7376 662
23384 7446 664
27480 7336 661
15193 7368 663
2905 8478 664
15195 7443 664
2907 7295 666
23386 7854 665
27482 7551 663
23378 7329 663
27474 7431 663
15187 7471 663
2899 7399 662
15185 7337 663
2897 10247 664
23376 7554 665
27472 7874 663
15188 7423 665
2900 7441 664
23381 7670 665
27477 7406 663
23383 7828 664
27479 7858 662
15190 7462 665
2902 7557 663
23366 7370 663
27462 7361 662
15175 7812 665
2887 7463 662
15173 7529 662
2885 9754 663
23364 7376 663
27460 7523 665
15168 7401 662
2880 7947 664
23361 7749 663
27457 7556 665
23363 7592 663
27459 7483 662
15170 7443 664
2882 7332 663
15178 7297 663
2890 7142 664
23371 7267 662
27467 7351 662
23369 7331 663
27465 9829 662
15176 7318 664
2888 7455 662
23372 7336 663
27468 7580 660
15181 7437 662
2893 7383 662
15183 7452 663
2895 7405 662
23374 7373 663
27470 7367 662
23926 7928 662
28022 7413 663
15735 7405 661
3447 7401 662
15733 7202 662
3445 9643 663
23924 7368 664
28020 7972 664
15728 7297 663
3440 7204 663
23921 7550 665
28017 7262 662
23923 7362 662
28019 7214 663
15730 7898 662
3442 7327 662
15738 7148 662
3450 7703 664
23931 7459 662
28027 7304 665
23929 7608 664
28025 10347 664
15736 7429 665
3448 7535 662
23932 7304 662
28028 7454 664
15741 7358 661
3453 7469 661
15743 7506 664
3455 7417 665
23934 7470 663
28030 7717 663
15726 7555 663
3438 7400 663
23919 7371 662
28015 7335 663
23917 7365 664
28013 12299 665
15724 7944 664
3436 7357 664
23912 7269 663
28008 7390 663
15721 7805 662
3433 7402 664
15723 7445 664
3435 7516 663
23914 7258 664
28010 7687 664
23906 7375 662
28002 7429 662
15715 7343 664
3427 7759 665
15713 7587 663
3425 10466 663
23904 8152 662
28000 7361 664
15716 7288 666
3428 7389 661
23909 7306 663
28005 7342 664
23911 7266 663
28007 7229 664
15718 7227 663
3430 7411 664
15686 7192 663
3398 7217 663
23879 7125 663
27975 9316 666
23877 7734 663
27973 9807 664
15684 7418 664
3396 7394 665
23872 7306 661
27968 7641 663
15681 7615 663
3393 7354 664
15683 7378 664
3395 7523 665
23874 7386 662
27970 7512 661
23882 7382 663
27978 8557 662
15691 7460 664
3403 7322 665
15689 7927 664
3401 9784 666
23880 7245 663
27976 7323 665
15692 7232 663
3404 7318 663
23885 7359 662
27981 7513 663
23887 7373 662
27983 7697 664
15694 7407 663
3406 7367 663
23902 7208 664
27998 8140 665
15711 7228 666
3423 7246 664
15709 7419 662
3421 10614 665
23900 7380 663
27996 7502 663
15704 7265 663
3416 7296 665
23897 7260 664
27993 7254 662
23899 7336 664
27995 7767 661
15706 7138 664
3418 7548 663
15698 7318 662
3410 7302 666
23891 7414 667
27987 7583 662
23889 7417 663
27985 10223 661
15696 7957 664
3408 7249 662
23892 7707 663
27988 7415 662
15701 7382 662
3413 7374 664
15703 7384 663
3415 7345 665
23894 7333 662
27990 7966 665
15710 7490 662
3422 7411 663
23903 7866 663
27999 7424 662
23901 7381 664
27997 9835 662
15708 7699 662
3420 7446 664
23896 7503 664
27992 7343 662
15705 7336 663
3417 7403 664
15707 7457 660
3419 7519 661
23898 7732 662
27994 7495 665
23890 7356 662
27986 7271 664
15699 7558 663
3411 7591 663
15697 7390 661
3409 10099 663
23888 7335 663
27984 7468 660
15700 7518 662
3412 7365 664
23893 7465 662
27989 7390 662
23895 7336 665
27991 8189 665
15702 7218 663
3414 8221 662
23878 7415 666
27974 7438 663
15687 7419 664
3399 7271 662
15685 7404 665
3397 10261 666
23876 7354 664
27972 7488 664
15680 8011 665
3392 7381 663
23873 7378 663
27969 7335 663
23875 7265 661
27971 7462 664
15682 7297 663
3394 7818 663
15690 7389 664
3402 7516 665
23883 7337 664
27979 7629 663
23881 7552 662
27977 9958 662
15688 7250 665
3400 7659 662
23884 7302 664
27980 7479 662
15693 7371 663
3405 7954 665
15695 7367 661
3407 7341 666
23886 7381 665
27982 7518 664
23918 7396 664
28014 7380 663
15727 7398 666
3439 7762 663
15725 7268 664
3437 9725 664
23916 7822 666
28012 7449 663
15720 7441 664
3432 7396 667
23913 7394 664
28009 7953 665
23915 7496 662
28011 7331 663
15722 7848 666
3434 7373 662
15714 7399 667
3426 7704 663
23907 7667 665
28003 7396 663
23905 7338 664
28001 10238 664
15712 7427 662
3424 7547 663
23908 7268 663
28004 8135 663
15717 7465 664
3429 7151 663
15719 7403 662
3431 7329 666
23910 7415 663
28006 7372 666
15734 7827 661
3446 7398 664
23927 7312 664
28023 8037 663
23925 7267 663
28021 10608 662
15732 7375 665
3444 7489 662
23920 7350 664
28016 7262 661
15729 7446 666
3441 7488 666
15731 7343 663
3443 7109 662
23922 7373 665
28018 7536 664
23930 7362 663
28026 7747 663
15739 7765 666
3451 7532 663
15737 7563 663
3449 10438 662
23928 7338 662
28024 8056 663
15740 7362 663
3452 7336 663
23933 7213 663
28029 7349 664
23935 7340 665
28031 7568 665
15742 7421 662
3454 7408 662
15654 7585 664
3366 7356 662
23847 7472 662
27943 7572 661
23845 7291 662
27941 10466 661
15652 7403 662
3364 7392 662
23840 7480 662
27936 7291 664
15649 7367 664
3361 7352 663
15651 7385 664
3363 7384 665
23842 7470 664
27938 7331 664
23850 7423 662
27946 7520 663
15659 7376 661
3371 7461 664
15657 7365 663
3369 11404 663
23848 7590 666
27944 7567 662
15660 7357 663
3372 7358 663
23853 7391 665
27949 7404 660
23855 7703 661
27951 7565 664
15662 7409 663
3374 7488 662
23870 7378 666
27966 7825 663
15679 7418 661
3391 7397 665
15677 7424 662
3389 9992 662
23868 7503 665
27964 7401 662
15672 7418 662
3384 7625 663
23865 7437 661
27961 7354 664
23867 7491 664
27963 7503 664
15674 7384 662
3386 7378 664
15666 7321 663
3378 7442 665
23859 7288 661
27955 8350 665
23857 7397 664
27953 9779 662
15664 7726 662
3376 7505 665
23860 7349 663
27956 7394 663
15669 7379 662
3381 7342 664
15671 7371 661
3383 7878 664
23862 7379 663
27958 7740 663
23830 7319 662
27926 7598 663
15639 7520 665
3351 7534 663
15637 7873 666
3349 9807 664
23828 7485 662
27924 7383 663
15632 7332 662
3344 7368 665
23825 7342 662
27921 7645 664
23827 7926 661
27923 7712 665
15634 7448 662
3346 7719 664
15642 7267 663
3354 8318 662
23835 7468 661
27931 7281 663
23833 7322 662
27929 9500 662
15640 7415 666
3352 7484 660
23836 7110 662
27932 7106 661
15645 7108 663
3357 7090 664
15647 7095 662
3359 8132 663
23838 7253 666
27934 7125 664
15630 7109 665
3342 7466 663
23823 7102 664
27919 7121 661
23821 7599 664
27917 9577 662
15628 7296 663
3340 7134 661
23816 7172 662
27912 7110 665
15625 7219 663
3337 7635 662
15627 7104 662
3339 8108 664
23818 8002 662
27914 7781 662
23810 7340 662
27906 7396 665
15619 7234 665
3331 7464 662
15617 7208 665
3329 9407 664
23808 7389 663
27904 7286 663
15620 7237 665
3332 7299 666
23813 7203 664
27909 7185 664
23815 7258 663
27911 7317 665
15622 7156 663
3334 7181 662
23822 7256 665
27918 7183 664
15631 7219 664
3343 7363 662
15629 7277 665
3341 8871 662
23820 7309 664
27916 7138 663
15624 7294 664
3336 7204 664
23817 7290 663
27913 7162 663
23819 7412 666
27915 8291 662
15626 7295 665
3338 7148 665
15618 7255 663
3330 7225 662
23811 7335 663
27907 7371 663
23809 7600 665
27905 8670 665
15616 7363 663
3328 7451 663
23812 7256 664
27908 7176 664
15621 7287 661
3333 7183 663
15623 7368 661
3335 7216 664
23814 7293 663
27910 7165 665
15638 7199 665
3350 7275 663
23831 7133 663
27927 7134 663
23829 7244 664
27925 8775 662
15636 7245 663
3348 7383 662
23824 7062 663
27920 7256 665
15633 7204 663
3345 7483 665
15635 7241 664
3347 8659 663
23826 7112 662
27922 7101 666
23834 7231 663
27930 7618 663
15643 7285 665
3355 7286 661
15641 7102 661
3353 10084 664
23832 7240 664
27928 7278 663
15644 7347 662
3356 7170 662
23837 7344 666
27933 7317 663
23839 7107 663
27935 7405 662
15646 7266 664
3358 7321 665
15678 7224 665
3390 7389 662
23871 7125 661
27967 7219 662
23869 7552 663
27965 9019 666
15676 7341 663
3388 8033 664
23864 7132 662
27960 7236 663
15673 7434 666
3385 7821 662
15675 7312 663
3387 7468 663
23866 7246 664
27962 7304 665
23858 7244 663
27954 7242 664
15667 7224 664
3379 7506 661
15665 8211 664
3377 8975 664
23856 7791 663
27952 7461 661
15668 7210 666
3380 7290 662
23861 7379 663
27957 7454 665
23863 7269 663
27959 7638 661
15670 7135 662
3382 7176 666
23846 7568 666
27942 7330 663
15655 7254 662
3367 7315 663
15653 7741 661
3365 8666 663
23844 7472 660
27940 7399 663
15648 7294 663
3360 7784 664
23841 7318 661
27937 7312 665
23843 7156 663
27939 7323 663
15650 7814 666
3362 7314 664
15658 7249 664
3370 7388 662
23851 7248 663
27947 7206 662
23849 7355 662
27945 8912 664
15656 7599 663
3368 7309 662
23852 7251 663
27948 7115 663
15661 7377 664
3373 7189 663
15663 7260 662
3375 7255 664
23854 7289 662
27950 7309 661
15830 7237 664
3542 7188 664
24023 7260 662
28119 7285 662
24021 7114 664
28117 9356 663
15828 7224 664
3540 7957 662
24016 7130 663
28112 7352 664
15825 7333 665
3537 7227 664
15827 7181 664
3539 7659 664
24018 7482 664
28114 7137 662
24026 7131 662
28122 7176 663
15835 7095 665
3547 7145 663
15833 7577 660
3545 9184 663
24024 7841 662
28120 7409 666
15836 7355 665
3548 7237 664
24029 7600 665
28125 7266 665
