flow_ID DPDK_proc_time frwd_proc_time
355 6712 665
12641 5261 668
353 14243 668
20832 4899 665
24928 4853 666
12644 6381 667
356 4960 663
20837 4904 667
24933 6482 663
20839 4872 663
24935 4851 665
12646 7298 665
358 6219 664
20854 4871 664
24950 5925 662
12663 4761 665
375 7423 665
12661 4859 667
373 9035 666
20852 5908 664
24948 5536 664
12656 7362 667
368 6729 664
20849 7428 666
24945 4867 667
20851 5961 668
24947 5025 666
12658 5928 665
370 6446 665
12666 6624 666
378 6339 665
20859 6273 666
24955 7336 665
20857 6553 664
24953 8374 663
12664 6610 667
376 4855 668
20860 4825 663
24956 6019 664
12669 5038 667
381 6251 664
12671 4872 667
383 7117 664
20862 4917 665
24958 7341 664
20830 4949 664
24926 6455 664
12639 5046 665
351 6316 665
12637 4916 663
349 7757 665
20828 4912 664
24924 6022 666
12632 4916 664
344 5042 665
20825 5854 663
24921 4792 665
20827 4927 665
24923 6151 665
12634 4786 666
346 4736 667
12626 4896 666
338 5916 666
20819 4910 665
24915 6114 665
20817 5053 664
24913 8985 666
12624 4917 666
336 7510 664
20820 6247 662
24916 4920 663
12629 6759 665
341 5898 666
12631 6628 667
343 7268 665
20822 4895 664
24918 7501 668
12614 4936 665
326 4936 666
20807 5889 665
24903 4753 665
20805 7285 663
24901 9347 665
12612 6575 669
324 4717 667
20800 6385 663
24896 4726 665
12609 4885 666
321 4829 664
12611 4998 664
323 6075 665
20802 7201 666
24898 7722 665
20810 5573 665
24906 5116 663
12619 4912 664
331 4887 663
12617 4845 667
329 7797 664
20808 5229 665
24904 5200 663
12620 4949 662
332 6447 665
20813 6385 662
24909 4628 667
20815 4903 666
24911 5118 663
12622 5025 667
334 4824 667
14198 5021 667
1910 5019 664
22391 4846 666
26487 5972 666
22389 6330 665
26485 8745 665
14196 5611 665
1908 6064 664
22384 6156 664
26480 5070 664
14193 5178 668
1905 5309 666
14195 6274 666
1907 6276 664
22386 5602 665
26482 4908 664
22394 4897 664
26490 4991 665
14203 4931 662
1915 5060 665
14201 5006 664
1913 7334 666
22392 4828 664
26488 4908 664
14204 4975 665
1916 4898 663
22397 6254 662
26493 5057 663
22399 6143 664
26495 4870 667
14206 5268 665
1918 4913 664
22382 5108 663
26478 5579 665
14191 6355 665
1903 6262 664
14189 5638 665
1901 7781 666
22380 7341 666
26476 7538 663
14184 5754 667
1896 6234 665
22377 4735 666
26473 6152 665
22379 4740 664
26475 6280 664
14186 6253 665
1898 5034 664
14178 7280 669
1890 5504 665
22371 5992 664
26467 5224 665
22369 4919 664
26465 7331 669
14176 4944 664
1888 5014 663
22372 5400 665
26468 5542 665
14181 4919 666
1893 4829 663
14183 6461 663
1895 5641 664
22374 4864 667
26470 5705 665
22342 4796 667
26438 4915 664
14151 4762 665
1863 4993 665
14149 4844 664
1861 8739 666
22340 6187 665
26436 5684 668
14144 4750 666
1856 4890 666
22337 5067 666
26433 4846 664
22339 5486 664
26435 4982 664
14146 4915 664
1858 4860 666
14154 4870 663
1866 5167 664
22347 6575 666
26443 6217 663
22345 6369 663
26441 8261 666
14152 5771 664
1864 6191 663
22348 5982 665
26444 5096 669
14157 5060 664
1869 4891 664
14159 4947 667
1871 5741 666
22350 4778 666
26446 4761 663
14174 4941 666
1886 5669 667
22367 4791 665
26463 4752 665
22365 4884 664
26461 7833 663
14172 4946 664
1884 4927 664
22360 7391 666
26456 6267 664
14169 7357 664
1881 5650 664
14171 4856 665
1883 4886 665
22362 5180 664
26458 4865 664
22354 4990 662
26450 5191 665
14163 4823 664
1875 5013 665
14161 6104 666
1873 9639 666
22352 5510 665
26448 4855 666
14164 4778 666
1876 4749 665
22357 4745 665
26453 5077 665
22359 5423 666
26455 6259 664
14166 6148 667
1878 5636 665
22366 4795 666
26462 6369 665
14175 4985 666
1887 4852 668
14173 4839 665
1885 7477 668
22364 6411 664
26460 6477 667
14168 5678 667
1880 6214 665
22361 4872 665
26457 5113 664
22363 7363 667
26459 4816 668
14170 4973 664
1882 5519 662
14162 4907 663
1874 5626 665
22355 6404 664
26451 5711 666
22353 6024 666
26449 7628 662
14160 4785 665
1872 4966 663
22356 4875 664
26452 7370 663
14165 7114 663
1877 5709 667
14167 5859 665
1879 4756 663
22358 4746 664
26454 4749 664
14150 4791 663
1862 4754 665
22343 5398 664
26439 4891 667
22341 5253 665
26437 8737 666
14148 7283 664
1860 5987 666
22336 4744 666
26432 4897 663
14145 4755 663
1857 4821 665
14147 4896 665
1859 5241 665
22338 6348 665
26434 5703 664
22346 4865 666
26442 4917 665
14155 5085 664
1867 4881 664
14153 5119 665
1865 7787 666
22344 4872 664
26440 6839 666
14156 4886 665
1868 4946 664
22349 5243 665
26445 4827 669
22351 4774 664
26447 4838 664
14158 5648 665
1870 4786 664
14190 4918 666
1902 6370 664
22383 5586 664
26479 5356 666
22381 4844 664
26477 9299 666
14188 4550 665
1900 5038 664
22376 4827 665
26472 6318 664
14185 4744 665
1897 4712 666
14187 4760 664
1899 6348 665
22378 4646 667
26474 4803 666
22370 5679 665
26466 5605 665
14179 5064 666
1891 4838 665
14177 5012 666
1889 7880 663
22368 4899 665
26464 5917 665
14180 5807 665
1892 4779 664
22373 4894 664
26469 4960 667
22375 4918 664
26471 4877 666
14182 5522 664
1894 4736 665
22390 4808 666
26486 6308 665
14199 5520 666
1911 4758 664
14197 4968 664
1909 8575 662
22388 4554 666
26484 4753 664
14192 4857 663
1904 4986 666
22385 4889 662
26481 4948 664
22387 6204 665
26483 4556 664
14194 4838 667
1906 4870 665
14202 5775 664
1914 4954 664
22395 5054 665
26491 5389 663
22393 5709 664
26489 9218 667
14200 4859 662
1912 6167 665
22396 4567 664
26492 4898 665
14205 4855 665
1917 4816 667
14207 5698 666
1919 4893 665
22398 4844 664
26494 4896 665
22310 5604 665
26406 4912 668
14119 4954 663
1831 5193 663
14117 5941 664
1829 7423 665
22308 4826 663
26404 4995 666
14112 5687 665
1824 4869 667
22305 5396 664
26401 4868 664
22307 6321 664
26403 4868 665
14114 5188 666
1826 7087 663
14122 4493 663
1834 4915 666
22315 5593 668
26411 5640 664
22313 4561 667
26409 7559 665
14120 4865 667
1832 4942 667
22316 6285 665
26412 4546 665
14125 4842 667
1837 4817 666
14127 6440 666
1839 4854 663
22318 4882 663
26414 4916 664
14142 4858 664
1854 4894 665
22335 4843 664
26431 5101 663
22333 6256 666
26429 7408 667
14140 4887 668
1852 4872 666
22328 5726 666
26424 5091 662
14137 4759 663
1849 4879 665
14139 4708 668
1851 4770 666
22330 5229 664
26426 6337 663
22322 4495 669
26418 5454 664
14131 4760 667
1843 5622 664
14129 4726 665
1841 7415 663
22320 4852 666
26416 4755 664
14132 4968 667
1844 4876 668
22325 6321 665
26421 4557 665
22327 4983 663
26423 4979 667
14134 5964 664
1846 4901 665
14102 4918 664
1814 4892 664
22295 4938 664
26391 4554 663
22293 5028 664
26389 7733 665
14100 6453 664
1812 4541 665
22288 5447 664
26384 5337 665
14097 6367 668
1809 4626 665
14099 4869 666
1811 4843 663
22290 5844 665
26386 6049 667
22298 4858 666
26394 6081 665
14107 5649 663
1819 5848 664
14105 4837 664
1817 7322 663
22296 4886 664
26392 6467 665
14108 5024 668
1820 5031 667
22301 4953 664
26397 6296 663
22303 4534 668
26399 4991 665
14110 4920 666
1822 6341 665
22286 4719 665
26382 4866 663
14095 5181 665
1807 6257 664
14093 4869 666
1805 9184 665
22284 4672 665
26380 5053 666
14088 4909 665
1800 7329 663
22281 4700 664
26377 5007 664
22283 4930 666
26379 7002 665
14090 4683 665
1802 4892 663
14082 6249 666
1794 4576 665
22275 4882 664
26371 4873 664
22273 5578 667
26369 7206 663
14080 5000 664
1792 4861 664
22276 6337 663
26372 4652 665
14085 4750 666
1797 4948 667
14087 6138 666
1799 4474 667
22278 4831 666
26374 6160 664
14094 4443 664
1806 4760 666
22287 6248 663
26383 4499 667
22285 4832 663
26381 8723 665
14092 4460 664
1804 4907 665
22280 4866 664
26376 5631 664
14089 4845 664
1801 5710 665
14091 6245 664
1803 4697 663
22282 4779 665
26378 5183 664
22274 4878 664
26370 4543 667
14083 5333 665
1795 4705 665
14081 5492 662
1793 6507 664
22272 4711 666
26368 6216 663
14084 4363 666
1796 4616 667
22277 4680 663
26373 6085 666
22279 4384 666
26375 5133 665
14086 4653 664
1798 5547 663
22294 4616 665
26390 4790 666
14103 5572 666
1815 5594 666
14101 4884 663
1813 6149 664
22292 4576 664
26388 5039 665
14096 4658 665
1808 5747 667
22289 5725 665
26385 4642 662
22291 5091 667
26387 4788 668
14098 4283 665
1810 4867 667
14106 4669 667
1818 7148 667
22299 6255 666
26395 4340 665
22297 4603 666
26393 6225 663
14104 6123 665
1816 4307 663
22300 4647 663
26396 4622 667
14109 5530 664
1821 5732 663
14111 4806 666
1823 4742 667
22302 4811 665
26398 5613 665
22334 4784 666
26430 5063 664
14143 4659 664
1855 4302 665
14141 4668 666
1853 5805 667
22332 4706 664
26428 6483 664
14136 4718 667
1848 4765 664
22329 4765 663
26425 5574 667
22331 4790 667
26427 4833 665
14138 4693 666
1850 4883 664
14130 5393 665
1842 4880 665
22323 4781 663
26419 4653 662
22321 5385 666
26417 5809 666
14128 4745 666
1840 6213 666
22324 4428 664
26420 4664 666
14133 4653 663
1845 5444 665
14135 4725 663
1847 4866 666
22326 6101 665
26422 5712 664
14118 4758 664
1830 4709 666
22311 6080 665
26407 4372 667
22309 4600 665
26405 7557 665
14116 5547 665
1828 4690 664
22304 4671 666
26400 4604 667
14113 4352 664
1825 4639 668
14115 4690 666
1827 6178 666
22306 4289 668
26402 4797 667
22314 5351 667
26410 5456 668
14123 4849 664
1835 4643 665
14121 4787 665
1833 6449 667
22312 4690 665
26408 4821 664
14124 6024 664
1836 7624 662
22317 4789 664
26413 4707 665
22319 6065 665
26415 4389 665
14126 4610 665
1838 6053 664
22486 4409 665
26582 4737 666
2007 6585 665
14293 4632 663
2005 6695 665
22484 6524 668
26580 4747 666
14288 4614 663
2000 4644 666
22481 6628 665
26577 4345 666
22483 4909 666
26579 4778 664
14290 5382 662
2002 4906 666
14298 4629 665
22491 4398 664
26587 4777 664
22489 4738 666
26585 5723 666
14296 6018 667
2008 4287 664
22492 4697 664
26588 4670 664
14301 4406 667
2013 4650 666
14303 4740 665
2015 7278 664
22494 4621 664
26590 4650 667
14286 5398 665
1998 5196 665
22479 4778 664
26575 4604 665
22477 5891 664
26573 5700 666
14284 7152 665
1996 6592 664
22472 4623 663
26568 4632 663
14281 5124 663
1993 5339 664
14283 4665 667
1995 4930 665
22474 6015 665
26570 4362 666
22466 4582 663
26562 4794 667
14275 6018 665
1987 4378 664
14273 4709 664
1985 4620 663
22464 7195 665
26560 4647 666
14276 5903 665
1988 4311 663
22469 4677 665
26565 4687 666
22471 6106 665
26567 4492 665
14278 4791 668
1990 4596 664
14310 6342 665
2022 7230 665
22503 4752 665
26599 5125 665
22501 5376 663
26597 4590 663
14308 4779 664
2020 6176 665
22496 4414 666
26592 5157 667
14305 5328 664
2017 4387 663
14307 4651 664
2019 4722 662
22498 4668 663
26594 4329 663
22506 4586 665
26602 4651 664
14315 4803 664
2027 6179 665
14313 5392 664
2025 4780 664
22504 4640 663
26600 5386 664
14316 4592 665
2028 4965 664
22509 6269 665
26605 4748 665
22511 4580 666
26607 6028 662
14318 4491 665
2030 5083 664
22526 4804 664
26622 4566 663
14335 9818 663
2047 4677 665
14333 5394 663
2045 5083 665
22524 6264 664
26620 4323 665
14328 4622 663
2040 4683 664
22521 5405 665
26617 4612 663
22523 4694 664
26619 5478 665
14330 4603 665
2042 5141 665
14322 6252 664
2034 4480 668
22515 4832 664
26611 5964 665
22513 4338 666
26609 4640 667
14320 4646 664
2032 5966 667
22516 4327 665
26612 4676 665
14325 4664 666
2037 6053 665
14327 4740 665
2039 5410 664
22518 4725 667
26614 4727 663
14334 4623 667
2046 5757 665
22527 4818 666
26623 4982 666
22525 5741 663
26621 4933 664
14332 4651 664
2044 6034 666
22520 4369 665
26616 4615 665
14329 5502 663
2041 4606 664
14331 5369 665
2043 5590 665
22522 4781 663
26618 4733 666
22514 6055 665
26610 4391 668
14323 5346 663
2035 4810 663
14321 5498 664
2033 4835 668
22512 4729 663
26608 4628 664
14324 6323 667
2036 4341 664
22517 4605 663
26613 5939 664
22519 5551 665
26615 4591 666
14326 4648 664
2038 4721 665
22502 4642 665
26598 6092 664
14311 4563 667
2023 4652 666
14309 5097 665
2021 5568 667
22500 4658 664
26596 4837 663
14304 4610 664
2016 5481 664
22497 4661 666
26593 4657 665
22499 4696 665
26595 4644 667
14306 4777 664
2018 4704 664
14314 4658 667
2026 6122 665
22507 4631 663
26603 4730 667
22505 6273 664
26601 4260 664
14312 4666 664
2024 4881 665
22508 5347 663
26604 4668 664
14317 4759 664
2029 4614 665
14319 5482 667
2031 4640 666
22510 4659 664
26606 6411 663
22478 4472 665
26574 6235 665
14287 4367 667
1999 4695 664
14285 4814 665
1997 5413 665
22476 4609 663
26572 4669 662
14280 4660 665
1992 4262 663
22473 4739 665
26569 4597 667
22475 4497 666
26571 4681 665
14282 4766 665
1994 6422 664
14274 4354 665
1986 4850 667
22467 6226 665
26563 4402 665
22465 4707 666
26561 5167 667
14272 5939 668
1984 4315 667
22468 4746 664
26564 4630 665
14277 4296 665
1989 4593 664
14279 4639 666
1991 7033 665
22470 4429 663
26566 4601 665
14294 5336 666
2006 6061 665
22487 4322 666
26583 4604 663
22485 4706 665
26581 4677 667
14292 7198 663
2004 4268 665
22480 4643 666
26576 4744 665
14289 5677 664
2001 4868 665
14291 4582 664
2003 4578 665
22482 4543 663
26578 4853 662
22490 4666 664
26586 6153 664
14299 4378 667
2011 4584 664
14297 5356 663
2009 4663 664
22488 4711 664
26584 4630 663
14300 5684 666
2012 4876 664
22493 4656 664
26589 4602 665
22495 6037 665
26591 4447 665
14302 5074 666
2014 4734 665
14214 5388 666
1926 4360 664
22407 4627 666
26503 4862 663
22405 4807 666
26501 5490 667
14212 4996 666
1924 6214 664
22400 4404 665
26496 4643 665
14209 4690 665
1921 7784 667
14211 4576 666
1923 5352 666
22402 4698 665
26498 4656 664
22410 5503 664
26506 4663 665
14219 4963 664
1931 4728 664
14217 4831 665
1929 4401 666
22408 4938 663
26504 4595 664
14220 6338 666
1932 4690 666
22413 4802 666
26509 4617 665
22415 5691 666
26511 4773 664
14222 4829 664
1934 4657 667
22430 6131 666
26526 5653 663
14239 4587 665
1951 4596 667
14237 4923 665
1949 6720 664
22428 5666 666
26524 4682 664
14232 5389 664
1944 4619 664
