flow_ID DPDK_proc_time frwd_proc_time
22843 6335 665
26939 7612 664
22841 7698 665
26937 4889 664
14648 7539 663
2360 5291 663
22844 5065 665
26940 5948 664
14653 5940 665
2365 4922 664
14655 4897 663
2367 4993 663
22846 7342 667
26942 6709 665
14638 7467 664
2350 7448 663
22831 7364 664
26927 7487 665
22829 7745 666
26925 5044 664
14636 4879 662
2348 5036 663
22824 7603 665
26920 5054 666
14633 7441 663
2345 7925 666
14635 4896 665
2347 7398 664
22826 5474 665
26922 7526 664
22818 5944 664
26914 7338 663
14627 6435 663
2339 4855 664
14625 5090 662
2337 6252 663
22816 5872 663
26912 7340 666
14628 5881 664
2340 6657 666
22821 6219 663
26917 6006 663
22823 5068 663
26919 4895 665
14630 4906 665
2342 7859 666
14598 6010 664
2310 7759 662
22791 7364 664
26887 7529 665
22789 7625 662
26885 5344 667
14596 4893 664
2308 4992 666
22784 6228 664
26880 6276 665
14593 4841 664
2305 6879 665
14595 5238 665
2307 5328 665
22786 6319 666
26882 5326 667
22794 6645 665
26890 4851 666
14603 4933 665
2315 6406 664
14601 5125 667
2313 5290 665
22792 4886 665
26888 4999 662
14604 7680 663
2316 4852 663
22797 6267 663
26893 5116 665
22799 4898 663
26895 4805 663
14606 4851 664
2318 5602 663
22814 4830 667
26910 5917 665
14623 4880 665
2335 4859 666
14621 6056 664
2333 5985 664
22812 4826 665
26908 4887 665
14616 4859 664
2328 5929 663
22809 5068 662
26905 4784 665
22811 4844 665
26907 5120 665
14618 4952 666
2330 4782 662
14610 6477 665
2322 4814 668
22803 6363 664
26899 4944 662
22801 5947 664
26897 5291 665
14608 4877 666
2320 6735 665
22804 4840 666
26900 6012 665
14613 5386 664
2325 4851 662
14615 6699 664
2327 4897 664
22806 5741 664
26902 4819 664
14622 6535 663
2334 4744 663
22815 5853 666
26911 4753 664
22813 4735 666
26909 6257 663
14620 4745 663
2332 5862 663
22808 4779 667
26904 4740 663
14617 6168 663
2329 4784 663
14619 5997 663
2331 4956 665
22810 4855 663
26906 7600 664
22802 4860 661
26898 4876 663
14611 5418 667
2323 4775 665
14609 5724 665
2321 4711 663
22800 6129 664
26896 4895 665
14612 6080 665
2324 6599 663
22805 5003 663
26901 4989 666
22807 6133 666
26903 4717 665
14614 4763 665
2326 7303 662
22790 5018 661
26886 4815 664
14599 4721 666
2311 7223 666
14597 5213 664
2309 5032 663
22788 6275 662
26884 5522 664
14592 7062 665
2304 4792 661
22785 5544 663
26881 4886 662
22787 5273 666
26883 6394 664
14594 4832 665
2306 4896 663
14602 5128 664
2314 4951 664
22795 6457 667
26891 5343 663
22793 6227 665
26889 6277 664
14600 6372 664
2312 4904 665
22796 5153 665
26892 5687 662
14605 4917 664
2317 4899 662
14607 6586 664
2319 4840 665
22798 7477 663
26894 4863 664
22830 6233 664
26926 4882 667
14639 5880 665
2351 5047 662
14637 5083 662
2349 6762 666
22828 4944 663
26924 4826 665
14632 5071 665
2344 6828 665
22825 5185 666
26921 4871 665
22827 6128 662
