flow_ID DPDK_proc_time frwd_proc_time
3230 6330 661
15513 7352 661
15518 7134 663
27092 6329 662
14636 4949 661
16556 6281 662
18821 7512 663
15983 6288 662
26356 7585 663
20935 7381 663
5886 12240 664
5883 6363 664
5864 7321 661
4547 5307 666
9310 6492 664
6416 7847 663
18317 6191 661
10141 6309 663
26630 5334 664
19669 7922 662
31957 7553 663
14956 7472 663
4144 4709 663
23751 7366 665
4154 4532 663
9681 9820 663
2115 6554 662
30403 7389 664
17308 7517 662
12477 4593 662
12005 5078 664
9435 7415 663
18023 7450 663
18300 7549 665
24684 7703 664
22744 7183 662
20213 5767 660
12399 6251 661
7003 7464 663
14545 5670 661
20301 5137 662
18649 7567 663
29992 4886 664
17698 4569 664
5409 5718 661
9515 6329 663
5422 4528 665
29984 5838 664
5492 7090 663
5494 4615 663
17711 7387 662
30072 7545 663
30066 7378 664
17776 4541 663
31701 4888 665
9731 7414 663
15569 7583 664
3911 5537 660
32004 7500 664
30079 4924 663
29800 7556 665
28399 8220 663
5944 7612 662
7214 4851 663
31784 7389 661
19570 4606 663
11308 4512 663
31863 7424 662
31791 4528 663
23173 7930 664
27135 7368 666
9284 7458 665
17399 9822 664
3663 8580 664
16660 4929 666
28947 7371 663
25240 6077 665
659 6275 667
31358 5019 663
19070 5860 661
24344 6109 662
3870 6315 664
16156 7239 662
28445 4437 663
28439 5627 662
28434 6169 665
16275 4778 662
3988 7739 663
26298 4620 663
24599 7784 662
15632 4721 664
25586 7470 663
1665 4566 665
977 4869 666
1724 7443 664
13986 5636 663
13984 6283 664
22194 7343 663
1718 5628 663
1680 7543 664
26257 7421 664
1685 7446 664
13970 7372 664
31232 7856 660
31239 7453 666
31234 4613 663
6665 7397 662
27866 8386 661
18954 4560 665
10764 7330 662
12822 7429 662
25109 7491 663
28419 7426 662
3857 5049 663
28428 7419 666
28422 4498 662
11854 7352 664
21897 4895 664
1416 7333 663
18196 7334 663
18193 5670 663
27648 5353 663
25068 2755430 664
820 2564989 663
2318 2236033 664
14608 2211357 662
26910 2195787 664
2335 2181712 665
2315 2147994 667
26893 2132027 663
2328 2111030 665
19188 1878470 663
22332 1589691 665
10356 192810 662
30122 7232 662
5545 4345 663
17834 6649 663
9635 7188 664
17832 4301 661
30114 7157 663
29837 7308 662
17549 4311 663
15627 7304 662
7733 4947 661
8114 5686 663
12264 7596 662
7730 5029 665
27295 7528 663
2710 4579 664
32278 8515 663
7696 6636 663
14989 7343 667
11797 5706 663
23194 6733 663
27282 4749 664
23192 4534 664
25394 7365 664
4887 6226 664
17182 7647 663
16607 7528 662
16600 7491 662
11293 7960 664
31772 7352 663
30735 7376 662
10592 7572 663
29863 5238 665
19163 7382 663
25322 9105 660
29418 7369 661
25737 7538 666
31258 7676 662
6716 5856 662
10779 6307 662
10782 4591 664
24978 4934 662
14222 4949 662
25289 7563 663
10645 5986 662
3882 6346 661
21853 5047 666
8450 4697 663
3583 5000 663
7716 4978 661
17435 4873 664
28812 9939 589
16526 4444 662
4922 7445 663
28437 4936 664
16150 5557 663
8978 6393 661
3001 4489 665
8889 7408 665
1502 7336 666
1500 7548 663
17762 4968 663
21311 7409 663
825 7414 664
2096 7202 662
21168 4511 664
4378 8171 665
19962 4901 664
27576 5053 663
6131 7339 662
18047 7403 662
20135 7557 664
2524 7438 664
23005 7386 664
2509 7329 664
27083 4591 663
20687 7534 661
5594 4638 661
14811 7205 591
27096 7040 592
14803 7334 664
14804 7250 663
2513 4902 663
14838 6258 663
23130 7738 662
14811 4709 588
27096 7181 592
22744 7641 663
26847 7391 665
9758 7441 662
2270 4991 664
16845 4919 665
26845 4946 663
30229 7477 664
14548 7705 666
16840 5341 663
12491 5026 663
9254 7729 661
22287 4613 663
14091 4646 664
14086 7293 664
22282 4556 662
22280 7453 664
22272 5680 663
201 4869 664
22294 7616 667
14104 6426 662
22277 4619 665
22291 5603 665
26388 6345 664
14098 6829 664
17452 7957 664
27127 4898 662
23031 7938 663
27122 5005 665
2545 7549 664
3439 7726 666
3355 7528 664
23935 5037 663
23832 7364 663
11116 7410 665
11118 7408 663
8172 7693 661
12262 5873 662
8162 6387 660
20458 4701 663
8174 6640 666
8161 7246 663
8160 4881 664
32741 7724 662
20470 4478 665
32736 5569 664
32738 6140 664
20465 7350 662
31883 7276 662
25766 4569 662
14687 5811 665
6806 7343 664
24312 4942 663
26974 7239 664
28829 7603 663
8348 4558 662
28824 7362 663
8345 7357 663
8338 7508 663
18241 7399 663
28817 7394 664
8341 4576 663
27347 5990 665
31015 7416 665
20594 7469 666
27345 7363 663
12138 7694 662
20329 4605 662
18725 7414 663
12143 7452 662
20332 6233 663
4950 7986 663
29525 7351 665
21595 5216 663
10169 5960 662
19460 6503 663
1119 7885 663
31767 4561 664
30653 5648 663
11995 7779 663
13337 6307 663
11876 7386 664
17159 7369 661
26017 4674 662
30388 7374 662
32044 7884 661
11567 6373 665
7484 7510 663
19753 4520 663
7486 7930 662
5400 7520 663
5815 7359 665
7473 4944 666
32056 4890 662
32048 5492 662
7478 7533 662
7629 4652 662
32053 7383 663
25405 6003 664
21298 6378 662
13108 4617 664
5272 4559 663
6466 5941 664
7509 7520 664
31377 7366 662
17073 7618 662
17083 6354 662
16444 7367 665
14706 7567 663
8250 4583 664
2421 4659 663
7746 7394 662
31542 4893 662
23980 7441 661
2391 7388 662
22902 5868 661
22867 6286 663
14680 4686 663
14677 7768 662
32324 7642 662
3223 7378 663
20279 7797 663
4090 7940 662
21386 4930 663
25359 9169 663
21261 6469 665
13087 7460 662
25371 4864 663
24182 7537 667
8092 4881 663
7743 4995 663
7782 7480 663
31608 4574 662
17152 7525 665
6619 5163 661
15686 7373 662
17449 7485 664
9263 4559 664
19026 7751 660
31317 7022 664
10835 4481 663
19029 6148 664
25098 7361 665
19083 7224 587
6784 7126 587
23764 7554 661
22509 7468 664
25933 7536 664
13636 4566 663
1350 7532 662
25935 5284 661
21826 7282 667
6120 4756 661
9120 7858 662
9933 9660 662
25132 7596 665
16181 4951 664
10503 6437 663
27771 5380 664
23150 7496 660
23676 4685 664
2666 7349 662
22584 4895 659
26682 7370 665
23284 5320 663
6801 7335 665
2420 7541 663
29378 5680 664
24397 7464 662
29376 4599 662
2158 8122 663
15151 7895 662
17041 7861 664
29329 7588 663
22641 7603 662
26625 7318 662
4155 7337 663
444 4482 664
16591 5954 664
17693 7414 665
26073 4855 662
1498 7320 664
6938 5104 664
25251 7326 664
5344 7276 662
18576 7640 662
3111 11057 665
28592 7426 662
14651 7396 662
17447 7418 663
20712 5001 664
1509 4910 662
15797 4912 663
3506 8505 665
13769 7274 662
11300 4606 663
12475 7406 663
5118 7700 663
17574 7847 662
5280 7413 663
17571 9575 663
13841 7895 663
26138 7437 663
12567 7553 662
4010 7409 664
4008 7349 662
279 7568 662
24481 7507 662
5835 4884 662
24301 5603 666
22529 7850 665
15909 7596 661
675 7386 667
1598 7315 664
15539 7471 662
19496 7363 663
16143 4754 664
21820 7656 666
18383 7334 663
3359 7556 665
19733 4929 663
25701 4893 664
12924 5957 662
638 6441 664
25371 4532 664
31994 7329 661
12875 4589 660
25154 7848 661
28807 4572 663
9391 4899 664
12728 7690 663
16972 10771 663
32534 7880 664
7952 5892 662
12050 7382 662
20251 6246 663
12209 7458 662
6765 7653 666
12211 5204 663
3424 7454 662
19149 7660 662
21228 7389 664
19141 7502 665
28004 7340 664
8758 4891 661
7506 4833 662
19798 7498 667
30272 7422 663
15085 4511 665
29944 5589 662
22384 7373 664
17435 7354 662
20157 7349 663
21626 7366 662
15923 4671 662
23269 7407 662
5699 7369 663
9465 7928 663
13184 7634 664
19005 7507 662
20495 7636 664
9242 7611 664
17408 4559 663
5124 7481 662
17421 6852 666
17425 7359 662
9227 4685 664
29718 7513 662
5127 4703 665
9219 7414 665
17413 4677 663
5131 7382 663
5125 7405 662
5128 5584 662
29699 7519 664
9234 4596 665
9232 7302 663
17419 5629 664
