flow_ID DPDK_proc_time frwd_proc_time
27016 7887 662
14729 7331 662
2441 7387 663
14731 7497 663
2443 7879 662
22922 7455 662
27018 7514 666
22914 7369 663
27010 7386 661
14723 7480 661
2435 7461 663
14721 7846 662
2433 7360 664
22912 7381 664
27008 7556 661
14724 7385 661
2436 7385 664
22917 7470 665
27013 7400 662
22919 7348 665
27015 7425 663
14726 7156 665
2438 7268 664
22934 10541 663
27030 7675 662
14743 7414 660
2455 7542 664
14741 7559 665
2453 7806 664
22932 7505 664
27028 7365 663
14736 7517 663
2448 7436 665
22929 7859 664
27025 7337 663
22931 7419 665
27027 7388 664
14738 7305 664
2450 7375 661
14746 7370 662
2458 7354 663
22939 7207 661
27035 7404 664
22937 7810 664
27033 7481 663
14744 7374 662
2456 7365 664
22940 7471 665
27036 7833 663
14749 7390 663
2461 7474 665
14751 7600 663
2463 7492 661
22942 7307 662
27038 7331 662
22982 7308 664
27078 7628 661
14791 7370 664
2503 7393 662
14789 7119 664
2501 7380 663
22980 7332 665
27076 7616 664
14784 7199 665
2496 7272 662
22977 7507 664
27073 7425 664
22979 7389 661
27075 7399 665
14786 7285 664
2498 7530 663
14794 7521 663
2506 7409 664
22987 7698 662
27083 7323 662
22985 7338 663
27081 7360 662
14792 7328 663
2504 7373 666
22988 7657 665
27084 7400 664
14797 7348 663
2509 7338 662
14799 7392 662
2511 7391 665
22990 7144 665
27086 7379 664
14814 7410 661
2526 7346 662
23007 7336 662
27103 7216 665
23005 7202 665
27101 7555 664
14812 7220 662
2524 7474 661
23000 7411 663
27096 7404 663
14809 7444 661
2521 7355 664
14811 7413 664
2523 7353 662
23002 7338 661
27098 7466 663
22994 7293 665
27090 7561 661
14803 7894 662
2515 7335 662
14801 7367 664
2513 7765 663
22992 7440 666
27088 7532 663
14804 7348 664
2516 7299 663
22997 7308 663
27093 7401 662
22999 7332 661
27095 7223 667
14806 7361 665
2518 7495 662
14838 7238 666
2550 7250 664
23031 7399 662
27127 7322 663
23029 7336 662
27125 7396 665
14836 8107 662
2548 7361 666
23024 7433 664
27120 7238 663
14833 7268 665
2545 7267 662
14835 7245 663
2547 7444 662
23026 7271 663
27122 7308 665
23034 7364 663
27130 7584 664
14843 7454 665
2555 7754 660
14841 7752 663
2553 7728 661
23032 7326 662
27128 7825 663
14844 7326 662
2556 7722 661
23037 7499 663
27133 7752 662
23039 7330 665
27135 8070 664
14846 7356 663
2558 7749 662
23022 7513 661
27118 7366 663
14831 7400 664
2543 7358 665
14829 7313 664
2541 7386 665
23020 7433 664
27116 7370 665
14824 7446 663
2536 7316 665
23017 7799 663
27113 7350 663
23019 7134 663
27115 7397 661
14826 7518 664
2538 7395 664
14818 7488 663
2530 7548 663
23011 7461 664
27107 7478 664
23009 7475 663
27105 7417 665
14816 7498 665
2528 7307 662
23012 7533 663
27108 7867 662
14821 7345 662
2533 7384 663
14823 7393 662
2535 7448 664
23014 7374 661
27110 7835 665
14830 7417 664
2542 7841 664
23023 7382 666
27119 7514 665
23021 7429 664
27117 7417 663
14828 7419 665
2540 7382 663
23016 7458 663
27112 7508 663
14825 7349 665
2537 7292 663
14827 7190 662
2539 7548 665
23018 7226 662
27114 7210 661
23010 7411 663
27106 7243 664
14819 7436 663
2531 7253 663
14817 7261 662
2529 7493 661
23008 7271 663
27104 7367 663
14820 7221 665
2532 8101 663
23013 7393 664
27109 7358 664
23015 7661 663
27111 7308 663
14822 7511 667
2534 7239 660
23030 7256 662
27126 7260 662
14839 7270 663
2551 7372 666
14837 7464 665
2549 7367 664
23028 7388 661
27124 7382 661
14832 7293 664
2544 7409 662
23025 7506 662
27121 7386 664
23027 7701 663
27123 7606 663
14834 7496 664
2546 7252 665
14842 7309 664
2554 7527 663
23035 8158 661
27131 7383 663
23033 7391 666
27129 7344 665
14840 7332 664
2552 7543 663
23036 7511 662
27132 7360 663
14845 7405 664
2557 7747 662
14847 7541 662
2559 7381 665
23038 7096 664
27134 7422 662
23006 7521 663
27102 7564 664
14815 7394 662
2527 7404 662
14813 7458 662
2525 7416 661
23004 7237 662
27100 7496 661
14808 7325 664
2520 7364 663
23001 7365 665
27097 7547 663
23003 7328 661
27099 7690 662
14810 7586 662
2522 7711 663
14802 7534 664
2514 7770 661
22995 7369 664
27091 7688 663
22993 7528 661
27089 7522 663
14800 7476 663
2512 7266 662
22996 7338 666
27092 7472 661
14805 7244 662
2517 7270 667
14807 7266 663
2519 7646 664
22998 7248 665
27094 8026 663
14790 7480 664
2502 7763 663
22983 7364 661
27079 7404 663
22981 7479 664
27077 7590 662
14788 7467 662
2500 7526 663
22976 7484 662
27072 8016 662
14785 7363 661
2497 7394 663
14787 7614 662
2499 7962 664
22978 7217 662
27074 7293 663
22986 7410 663
27082 7453 663
14795 7373 662
2507 7510 663
14793 7408 661
2505 7528 664
22984 7306 661
27080 7100 664
14796 7362 664
2508 7875 663
22989 7319 663
27085 7424 664
22991 7340 662
27087 7566 663
14798 7670 663
2510 7379 662
23286 7387 666
27382 7476 662
15095 7327 665
2807 7883 661
15093 7612 663
2805 7362 664
23284 7814 663
27380 7349 664
15088 7665 663
2800 7458 663
23281 7416 664
27377 7537 663
23283 7800 663
27379 7393 662
15090 7230 664
2802 7440 663
15098 7292 665
2810 7370 665
23291 7382 667
27387 7480 663
23289 7382 662
27385 7395 665
15096 7382 662
2808 7276 662
23292 7289 663
27388 7307 663
15101 7366 663
2813 7372 662
15103 7479 662
2815 7378 664
23294 7358 666
27390 7845 664
15086 7516 663
2798 7357 663
23279 7548 664
27375 7301 661
23277 7301 663
27373 7413 662
15084 7926 665
2796 7376 661
23272 7392 662
27368 7358 665
15081 7312 665
2793 7385 662
15083 7450 664
2795 7324 664
23274 7368 663
27370 7592 661
23266 7614 665
27362 7389 662
15075 7336 666
2787 7686 665
15073 7367 663
2785 7678 663
23264 7394 664
27360 7587 663
15076 7853 662
2788 7639 662
23269 7465 661
27365 7338 662
23271 7508 662
27367 7298 664
15078 7569 662
2790 7470 662
15046 7361 664
2758 7457 663
23239 7539 663
27335 7302 663
23237 7353 663
27333 7730 665
15044 7365 666
2756 7587 662
23232 7400 664
27328 7687 663
15041 7536 663
2753 8301 664
15043 7336 664
2755 7306 663
23234 7842 662
27330 7368 662
23242 7400 664
27338 7272 662
15051 7309 663
2763 7223 665
15049 7290 662
2761 7733 665
23240 7386 664
27336 7234 661
15052 7507 666
2764 7403 664
23245 7321 661
27341 7363 664
23247 7317 665
27343 7392 663
15054 7471 663
2766 7342 661
23262 7612 663
27358 7400 663
15071 7779 664
2783 7850 664
15069 7427 662
2781 7521 662
23260 7386 664
27356 7376 663
15064 7535 662
2776 7949 664
23257 7428 663
27353 7808 663
23259 7401 664
27355 7596 665
15066 7266 666
2778 7730 666
15058 7149 663
2770 7344 664
23251 7527 664
27347 7548 662
23249 7396 662
27345 8524 663
