flow_ID DPDK_proc_time frwd_proc_time
2644 6734 665
23120 12529 667
27216 5006 662
14929 6752 663
2641 6258 665
14931 6256 665
2643 6506 662
23122 4903 666
27218 7357 667
23130 5447 667
27226 6984 665
14939 6672 663
2651 6304 665
14937 4829 662
2649 6435 663
23128 6190 665
27224 7370 664
14940 9929 666
2652 9628 663
23133 7423 664
27229 7408 665
23135 4879 664
27231 4849 665
14942 6213 666
2654 4931 664
23118 6460 664
27214 4863 667
14927 6396 665
2639 4874 665
14925 4895 663
2637 5046 665
23116 7906 663
27212 7445 664
14920 9111 663
2632 6088 664
23113 4921 667
27209 4872 667
23115 4776 664
27211 7375 665
14922 7424 667
2634 7359 664
14914 6337 667
2626 7358 665
23107 6179 665
27203 5968 668
23105 4940 664
27201 4800 664
14912 6259 664
2624 10490 665
23108 8709 663
27204 5895 665
14917 4851 665
2629 4850 666
14919 4898 667
2631 4996 667
23110 5652 666
27206 4973 664
23142 4870 665
27238 5931 665
14951 4875 664
2663 4935 666
14949 4891 665
2661 4906 668
23140 7533 665
27236 7055 665
14944 8136 668
2656 4836 664
23137 4846 664
27233 4843 667
23139 6644 666
27235 6355 665
14946 6281 668
2658 6135 665
14954 7572 667
2666 4890 668
23147 4870 666
27243 4898 664
23145 4957 662
27241 6720 665
14952 6596 665
2664 7527 663
23148 8435 664
27244 5050 664
14957 4917 666
2669 4884 665
14959 5009 663
2671 4935 666
23150 6416 665
27246 7323 666
14974 4853 665
2686 4909 664
23167 4824 665
27263 5583 664
23165 6790 664
27261 7537 664
14972 6365 664
2684 6317 664
23160 8161 664
27256 5990 665
14969 6570 666
2681 7445 666
14971 6211 668
2683 4877 662
23162 4899 667
27258 5031 665
23154 4733 666
27250 4859 667
14963 5244 664
2675 6992 667
14961 7263 665
2673 5500 665
23152 4986 664
27248 4710 665
14964 7195 668
2676 4895 664
23157 4999 665
27253 5182 665
23159 4937 667
27255 4857 665
14966 6467 664
2678 6749 665
23166 5571 664
27262 5997 665
14975 4879 665
2687 4933 667
14973 4889 665
2685 4893 664
23164 7383 666
27260 5063 664
14968 7288 664
2680 4908 664
23161 4893 665
27257 6358 665
23163 5682 665
27259 7602 663
14970 5538 665
2682 5823 666
14962 4717 666
2674 5786 664
23155 5214 666
27251 5228 666
23153 4855 666
27249 6241 665
14960 4876 667
2672 7430 664
23156 9644 666
27252 5539 664
14965 4923 663
2677 4879 664
14967 5082 667
2679 7390 664
