flow_ID DPDK_proc_time frwd_proc_time
7811 5209 664
22475 4810 666
3817 11410 661
6224 4898 663
32336 6016 662
7660 4861 662
9563 6925 666
14254 4828 663
24296 10925 665
7762 7910 660
11867 5595 662
20002 7701 663
32303 7369 662
32261 4892 662
7702 4828 663
20018 7572 665
32006 6281 666
11554 7485 662
7433 12145 663
11284 4834 665
27260 4845 663
958 4973 664
20287 6141 664
28838 4883 664
31621 4834 665
29651 4840 664
28212 5424 662
22578 4847 663
31965 7361 663
31959 7397 662
19675 7457 663
19668 7351 663
31913 7613 663
19647 7937 665
11412 10804 664
7352 4936 662
19633 6233 663
6821 7982 662
19379 8543 664
22681 4880 664
20834 5542 664
16785 7345 663
18314 7410 664
30105 4915 662
7526 4862 664
24026 5460 662
1046 6829 664
7057 7449 663
19334 7536 664
11092 6399 662
31568 9756 664
11081 7906 665
6957 7362 665
11036 6056 663
31512 7487 664
31542 7559 663
6956 4886 662
18738 7358 662
12687 4886 663
1755 7574 664
5103 4920 664
31018 4969 661
18308 4987 663
32385 4869 662
14762 5871 663
25253 4897 662
6406 9695 662
18932 6135 664
31192 8343 665
6612 7874 662
10670 7357 661
6586 7416 660
31122 7449 665
10681 7396 660
31154 7345 663
5549 7425 663
5286 4834 664
851 7414 663
14364 5989 663
5921 7561 664
19204 5292 661
4517 6658 662
30550 10312 662
13639 4908 664
3276 4858 664
29821 8002 665
5199 8068 665
17472 6226 664
5188 6474 662
5162 7708 665
17426 7278 664
5141 7369 661
9264 4772 662
30471 5038 660
10047 5051 664
5668 5641 663
25820 4889 665
27263 4820 665
18950 11561 662
12276 4826 662
7511 5057 664
29894 5072 665
20739 7435 662
26894 4936 661
5868 7453 663
5825 7328 665
9926 6169 663
18147 7342 663
5875 5963 664
9868 5444 662
31692 4975 663
30345 7585 663
8338 8109 663
16537 7422 662
4230 9625 662
29098 6498 665
26270 6271 662
16054 4806 663
31055 5015 665
17216 4853 665
11242 7347 663
28820 5974 662
28443 4853 662
26431 5101 662
29039 7395 666
16743 6262 663
16707 5118 662
4455 7465 662
20374 8268 662
8067 7559 663
12192 10268 663
32643 6306 664
20378 7341 666
32721 6286 662
20054 4852 666
23381 5284 665
13241 4916 662
7776 7382 662
29030 7573 665
31131 4873 663
31823 7352 664
23421 6711 664
13190 4881 665
7721 7339 663
32315 7225 661
32282 7468 664
7737 10497 665
11562 7522 666
19770 7395 662
11541 4847 665
32067 5184 663
11627 6264 663
19830 5337 663
7330 7394 664
22637 4858 663
12609 5373 666
16919 5765 663
6279 4987 662
6021 9142 666
7717 4856 661
1214 7370 665
20525 7350 664
31892 7869 664
31902 7521 662
10919 7337 661
19118 6919 664
10901 7367 663
31385 7324 664
19172 7994 665
31473 6849 662
6901 7730 664
6657 7314 665
6933 4819 667
16280 7880 662
14184 6477 663
30004 7533 662
11189 4889 661
16762 7345 662
9813 9552 664
26454 6264 664
28583 6329 663
18479 7299 665
10281 5980 664
6172 7744 662
18456 6289 661
6245 5376 661
18544 7313 661
10410 7423 663
10400 7910 664
30860 7866 665
10401 7668 663
17830 4877 663
12345 5295 665
2181 5042 662
9751 7259 663
8107 4746 662
7568 4739 663
29249 5005 663
28160 4907 662
26333 4940 663
17820 6100 663
17859 6090 663
5602 5969 664
17910 7760 663
17726 5276 666
9510 7955 663
17678 7388 662
9521 7647 664
9574 7417 662
5448 8104 663
18270 8886 662
13464 6425 663
27761 4817 664
31500 7477 663
8908 5821 664
11088 5891 664
16815 4986 662
15800 7386 664
866 7818 665
10070 7369 662
30531 9059 662
18335 7726 664
10141 4896 663
10221 6498 662
18431 5138 661
18368 7375 663
30708 10309 661
10222 6288 664
9844 7419 665
4138 7545 662
26263 4897 663
15960 4978 663
12043 4839 663
4476 4847 665
5399 6103 662
12042 4869 662
26703 7343 665
12294 7210 664
16421 7357 664
28704 7384 661
16449 4925 663
16463 4982 665
16856 10615 666
8645 7378 665
8651 6363 663
29122 7531 663
29148 7383 664
29089 6571 661
20169 4856 665
