flow_ID DPDK_proc_time frwd_proc_time
12294 7637 664
6 7376 661
20487 7474 662
24583 5095 661
20485 6026 664
24581 5362 663
12292 5394 665
4 7294 663
20480 5228 662
24576 7463 665
12289 6319 662
1 5873 666
12291 5159 664
3 7555 666
20482 7741 666
24578 4897 664
20490 7230 663
24586 4925 664
12299 4815 664
11 4861 664
12297 5095 663
9 6991 663
20488 4842 665
24584 7380 665
12300 6287 661
12 4968 663
20493 5863 664
24589 4919 663
20495 4897 664
24591 7338 664
12302 7348 663
14 7500 662
20510 7525 661
24606 6493 664
12319 7338 664
31 6230 665
12317 6270 664
29 4736 661
20508 5035 662
24604 4865 663
12312 7452 662
24 4727 664
20505 6102 664
24601 5964 663
20507 6195 664
24603 4932 664
12314 7707 663
26 5068 664
12306 4860 661
18 5075 664
20499 4867 663
24595 4922 663
20497 4895 661
24593 7037 661
12304 5997 661
16 5306 663
20500 4976 664
24596 5218 662
12309 5992 661
21 7352 662
12311 6579 663
23 5208 661
20502 4863 663
24598 4856 664
20534 4816 664
24630 4863 663
12343 5975 662
55 7726 663
12341 6849 666
53 7486 663
20532 5646 664
24628 6837 662
12336 4903 663
48 5079 663
20529 5643 661
24625 4989 664
20531 5393 663
24627 5926 663
12338 7344 661
50 7344 665
12346 5098 662
58 4880 663
20539 4920 663
24635 4759 663
20537 4734 663
24633 5964 663
12344 6145 663
56 5438 662
20540 6265 664
24636 4887 662
12349 4912 663
61 6036 665
12351 4970 665
63 5338 664
20542 4832 664
24638 5921 667
12334 7347 663
46 4878 663
20527 4856 663
24623 4944 664
20525 4955 663
24621 7579 663
12332 7433 663
44 7303 664
20520 7884 661
24616 5337 663
12329 4856 665
41 5333 662
12331 4867 661
43 4845 663
20522 6259 663
24618 5522 663
20514 5964 662
24610 6065 662
12323 4720 663
35 4947 662
12321 5094 663
33 4934 663
20512 4823 662
24608 5258 663
12324 4664 661
36 5134 664
20517 6763 661
24613 6262 663
20519 6168 662
24615 6479 663
12326 5583 663
38 4872 663
20526 4937 663
24622 5271 664
12335 4837 663
47 4830 666
12333 4888 664
45 4810 665
20524 4864 663
24620 4870 663
12328 4882 662
40 4862 664
20521 5465 662
24617 7447 664
20523 6956 664
24619 6160 666
12330 5916 664
42 5988 663
12322 5153 663
34 4866 661
20515 4957 660
24611 4887 661
20513 5104 662
24609 5176 662
12320 4896 663
32 4997 663
20516 5106 662
24612 7095 665
12325 6476 662
37 5768 665
12327 6211 662
39 6453 662
20518 4878 664
24614 4908 663
12342 5145 662
54 4860 664
20535 4855 664
24631 4977 664
20533 6431 662
24629 5977 663
12340 5044 665
52 4902 663
20528 5120 662
24624 4934 662
12337 5187 663
49 5005 664
12339 5090 662
51 5240 662
20530 5050 664
24626 5107 662
20538 5026 666
24634 5139 661
12347 6464 663
59 8029 665
12345 5928 662
57 6156 662
20536 5903 664
