flow_ID DPDK_proc_time frwd_proc_time
20929 7984 663
25025 4935 664
12736 7371 663
448 5038 662
20932 4919 664
25028 6511 663
12741 5167 663
453 7322 663
12743 6408 665
455 5051 663
20934 4896 663
25030 6532 664
12758 7544 662
470 7286 660
20951 6835 663
25047 4788 662
20949 4820 665
25045 7468 664
12756 7665 665
468 4927 664
20944 7453 664
25040 7452 665
12753 6256 663
465 4889 661
12755 4820 664
467 7545 664
20946 7433 663
25042 6380 664
20954 4898 663
25050 4746 664
12763 4949 663
475 4943 665
12761 7290 664
473 7261 663
20952 7279 664
25048 6221 664
12764 6139 663
476 4743 663
20957 4763 664
25053 4893 661
20959 5818 664
25055 7399 662
12766 7383 663
478 7391 662
12798 5111 662
510 5080 663
20991 7523 665
25087 7546 665
20989 5057 661
25085 6405 663
12796 5285 663
508 5125 664
20984 5943 661
25080 6135 664
12793 5301 664
505 4941 665
12795 4879 665
507 5111 663
20986 7462 663
25082 4814 662
20978 4996 665
25074 6001 664
12787 6314 662
499 4890 663
12785 5504 661
497 7357 664
20976 4865 664
25072 5048 665
12788 6395 664
500 4878 664
20981 5019 663
25077 5981 665
20983 6363 662
25079 5077 662
12790 4892 664
502 6316 664
20966 4960 663
25062 4985 665
12775 6208 664
487 7393 664
12773 4872 663
485 4853 663
20964 7443 665
25060 5324 663
12768 6612 665
480 4993 663
20961 5422 664
25057 5097 665
20963 4875 665
25059 4876 661
12770 6293 664
482 4871 663
12778 4873 663
490 6282 663
20971 5043 664
25067 4837 664
20969 7377 665
25065 4919 665
12776 5005 665
488 5928 662
20972 4885 664
25068 5307 662
12781 7458 663
493 4999 664
12783 8311 663
495 4827 666
20974 4838 662
25070 6180 660
12566 6229 662
278 4945 664
20759 5389 663
24855 7341 664
20757 4942 664
24853 6076 664
12564 6384 662
276 4882 663
20752 4880 663
24848 6233 663
12561 5018 662
273 4813 663
12563 6112 664
275 5548 664
20754 7855 666
24850 6453 667
20762 5004 663
24858 4895 661
12571 5981 661
283 6829 662
12569 5143 666
281 6316 662
20760 5099 666
24856 4817 663
12572 6297 665
284 4943 661
20765 4842 664
24861 6099 662
20767 5695 664
24863 4874 665
12574 4881 664
286 4820 663
20750 4884 663
24846 6162 664
12559 4856 663
271 4964 664
12557 6419 662
269 6098 662
20748 4906 663
24844 5089 662
12552 5985 663
264 4998 662
20745 4913 663
24841 5436 663
20747 4845 665
24843 4868 663
12554 6281 664
266 4902 661
12546 5648 662
258 5041 663
20739 4849 665
24835 5943 662
20737 4875 664
24833 4854 664
12544 4940 665
256 4865 662
20740 5070 664
24836 6196 664
12549 5024 665
261 4863 664
12551 6158 663
263 4908 662
20742 4781 663
24838 6108 664
20774 4816 663
24870 6171 665
12583 5025 666
295 5388 664
12581 5937 663
293 4971 664
20772 4876 662
24868 6071 662
12576 5059 663
288 5364 664
20769 5032 662
24865 5055 663
20771 7356 663
24867 6379 662
12578 4872 666
290 4849 662
12586 6753 663
298 4998 665
20779 6290 665
24875 4331 661
20777 4946 665
24873 4879 663
12584 4863 664
296 5647 663
20780 4888 663
24876 4904 664
12589 5534 662
301 5843 662
12591 5022 664
303 4805 665
20782 4994 665
24878 5622 664
12606 5216 664
318 4874 664
20799 5263 663
24895 4697 663
20797 4867 663
24893 4850 662
12604 7360 664
316 6644 663
20792 6077 665
24888 4819 664
12601 5029 664
313 5624 663
12603 5004 664
315 4872 664
20794 5038 664
24890 6358 661
20786 5784 663
24882 4968 661
12595 5053 664
307 5039 663
12593 5770 665
305 4955 662
20784 7616 665
24880 6257 662
12596 5636 664
308 5060 662
20789 5140 664
24885 5038 666
20791 6346 664
24887 4554 661
12598 5504 663
310 5019 665
20798 4867 663
24894 6472 663
12607 4792 664
319 4886 664
12605 4874 663
317 4846 661
20796 6481 664
24892 5754 662
12600 4916 663
312 4856 661
20793 6544 663
24889 4517 664
20795 4863 665
24891 4875 664
12602 6519 664
314 5110 664
12594 4859 662
306 4907 664
20787 5138 661
24883 4978 665
20785 6319 663
24881 4534 660
12592 5528 662
304 4867 664
20788 5009 662
24884 4500 664
12597 5296 662
309 4871 663
12599 4914 664
311 4878 665
20790 4825 665
24886 5039 665
12582 4874 663
294 4888 664
20775 6313 660
24871 5670 666
20773 5809 661
24869 4914 664
12580 4900 663
292 6637 662
20768 6401 664
24864 4663 663
12577 5395 665
289 4946 664
12579 4940 664
291 5627 663
20770 6008 662
24866 4903 664
20778 4844 663
24874 4952 664
12587 6206 663
299 7362 666
12585 7365 663
297 6276 664
20776 7369 664
24872 4858 664
12588 7350 664
300 4864 665
20781 7848 663
24877 4899 663
20783 6122 662
24879 7220 664
12590 5873 664
302 7210 664
12558 4750 664
270 7280 663
20751 5196 662
24847 7280 663
20749 4737 663
24845 7236 662
12556 6153 664
268 5981 664
20744 7382 663
24840 7224 662
12553 6146 662
265 5252 663
12555 7247 661
267 4770 662
20746 7724 665
24842 4895 664
20738 6928 662
24834 7367 662
12547 6074 665
259 7540 665
12545 4833 666
257 8097 664
20736 5625 662
24832 7358 665
12548 4897 663
260 7338 665
20741 6860 664
24837 6035 664
20743 4871 665
24839 4851 665
12550 7434 664
262 4859 663
20758 5915 664
24854 5339 662
12567 6686 664
279 5678 664
12565 4883 663
277 6280 663
20756 5358 662
24852 6394 663
12560 6182 662
272 4997 665
20753 6019 664
24849 7400 664
20755 6082 663
24851 7846 665
12562 5059 663
274 7368 662
12570 4999 661
282 6009 665
20763 6254 663
24859 4833 662
20761 4888 663
24857 5435 662
12568 7863 663
280 5124 662
20764 5854 664
24860 6339 661
12573 7629 663
285 7385 664
12575 5047 661
287 7502 662
20766 5397 664
24862 7343 663
20806 4866 662
24902 7813 663
12615 6292 663
327 6034 663
12613 6318 662
325 6520 664
20804 6356 664
24900 7192 663
12608 5056 664
320 5085 663
20801 7382 665
24897 4898 663
20803 7315 662
24899 4880 660
12610 7395 663
322 6392 663
12618 4996 664
330 7590 662
20811 5354 666
24907 7707 665
20809 4847 663
24905 7302 664
12616 6224 664
328 7387 663
20812 5005 665
24908 7642 663
12621 7439 662
333 6336 664
12623 5305 662
335 4979 662
20814 7366 664
24910 6239 663
12638 4904 662
350 7552 660
20831 4868 661
24927 7433 662
20829 5041 664
24925 6391 662
12636 5155 665
348 7368 664
20824 4881 664
24920 6759 663
12633 7392 663
345 6231 665
12635 5946 664
347 7370 665
20826 5097 663
24922 7366 664
20818 5026 663
24914 7376 662
12627 4754 662
339 7365 663
12625 4805 664
337 7358 666
20816 4883 663
24912 7578 663
12628 6350 666
340 6013 664
20821 6248 662
24917 4855 664
20823 7379 661
24919 4900 665
12630 7376 665
342 4849 663
12662 7405 665
374 4880 665
20855 7849 663
24951 5790 661
20853 7349 661
24949 5961 663
12660 7380 664
372 6218 665
20848 5920 665
24944 6311 663
12657 4937 664
369 6290 664
12659 6134 664
371 6620 663
20850 5058 661
24946 7423 661
20858 4882 664
24954 7320 663
12667 4987 663
379 7375 664
12665 4930 665
377 7366 664
20856 6414 662
24952 7369 665
12668 7365 662
380 5282 665
20861 4929 661
24957 5997 662
20863 6438 663
24959 4809 663
12670 7395 663
382 5359 665
20846 6047 662
24942 6258 662
12655 7142 663
367 6354 661
12653 5934 665
365 7348 665
20844 6133 663
24940 7952 663
12648 4963 663
360 5112 661
20841 7494 662
24937 5328 662
20843 7393 664
24939 4940 664
12650 7548 665
362 7487 663
12642 4942 664
354 7309 664
20835 5069 662
24931 7549 665
20833 4919 663
