flow_ID DPDK_proc_time frwd_proc_time
2806 7717 662
23287 7532 664
27383 7384 664
23285 7269 664
27381 7405 665
15092 8068 663
2804 7551 663
23280 7397 661
27376 7390 662
15089 7887 662
2801 7338 664
15091 7480 664
2803 7348 661
23282 7669 663
27378 7553 663
23290 7383 663
27386 7300 664
15099 7356 663
2811 7345 665
15097 7247 662
2809 7764 661
23288 7361 661
27384 7550 662
15100 7358 663
2812 7931 662
23293 7421 663
27389 8116 662
23295 7550 663
27391 7100 662
15102 7379 661
2814 7320 662
15014 7361 661
2726 7836 664
23207 7721 662
27303 7518 664
23205 7451 667
27301 7425 664
15012 7434 665
2724 7407 665
23200 7448 663
27296 7301 660
15009 7370 662
2721 7415 664
15011 7913 663
2723 7398 664
23202 7359 663
27298 7370 664
23210 7315 665
27306 7371 661
15019 7348 664
2731 8044 660
15017 7448 662
2729 7386 664
23208 7192 666
27304 7251 664
15020 7370 663
2732 7200 664
23213 7341 663
27309 7343 661
23215 7447 664
27311 7279 663
15022 7330 662
2734 7452 665
23230 7477 664
27326 7378 665
15039 7400 663
2751 7342 665
15037 7775 663
2749 7385 663
23228 7338 665
27324 7856 665
15032 7398 663
2744 7416 663
23225 7296 662
27321 7235 661
23227 7530 663
27323 7293 666
15034 7328 663
2746 7807 662
15026 7749 665
2738 7323 662
23219 7406 662
27315 7354 662
23217 7487 662
27313 7338 663
15024 7538 662
2736 7323 663
23220 7374 662
27316 7352 662
15029 7351 663
2741 7331 662
15031 7320 661
2743 7545 664
23222 7401 665
27318 7345 667
23190 7375 662
27286 7413 663
14999 7459 662
2711 7356 660
14997 7464 662
2709 7403 661
23188 7664 666
27284 7351 662
14992 7285 663
2704 7342 664
23185 7639 661
27281 7285 664
23187 7429 662
27283 7326 663
14994 7632 661
2706 7648 661
15002 7365 664
2714 7371 661
23195 7920 660
27291 7277 663
23193 7551 662
27289 7463 662
15000 7728 664
2712 7333 661
23196 7369 665
27292 7603 663
15005 7547 663
2717 7290 663
15007 7425 662
2719 7389 664
23198 7739 663
27294 7155 662
14990 7618 663
2702 7317 663
23183 7580 665
27279 7736 662
23181 7366 662
27277 7534 664
14988 7726 662
2700 7789 665
23176 7450 661
27272 7528 665
14985 7575 662
2697 7381 664
14987 7448 662
2699 7479 663
23178 7143 663
27274 7310 663
23170 7358 664
27266 7449 664
14979 7294 663
2691 7179 662
14977 7562 665
2689 7467 664
23168 7816 663
27264 7762 663
14980 7598 661
2692 7250 663
23173 7781 663
27269 7344 661
23175 7500 662
27271 7456 662
14982 7408 664
2694 7385 664
23182 7622 664
27278 7419 663
14991 8062 664
2703 7738 662
14989 7898 664
2701 7470 663
23180 7664 664
27276 7301 662
14984 7251 662
2696 7892 664
23177 7538 663
27273 7523 663
23179 7700 662
27275 7347 663
14986 7639 663
2698 7385 663
14978 7518 663
2690 7334 665
23171 7342 662
27267 7430 666
23169 7312 665
27265 7393 661
14976 7368 663
2688 7314 666
23172 7273 661
27268 7075 665
14981 7358 663
2693 7386 662
14983 7238 664
2695 7398 662
23174 7442 665
27270 7165 663
14998 7773 662
2710 7389 662
23191 7838 660
27287 7771 663
23189 7351 663
27285 7452 664
14996 7634 662
2708 7324 662
23184 7776 665
27280 7525 663
14993 7423 664
2705 7397 664
14995 7529 663
2707 7820 662
23186 7134 663
27282 7567 665
23194 7229 665
27290 7359 663
15003 7474 662
2715 7494 663
15001 7539 663
2713 7322 663
23192 7408 664
27288 7288 663
15004 7316 663
2716 7488 661
23197 7473 663
27293 7676 664
23199 7703 663
27295 7365 663
15006 7341 665
2718 7849 665
15038 7384 665
2750 7382 663
23231 7144 665
27327 7351 665
23229 7344 666
27325 7440 663
15036 7242 666
2748 7164 661
23224 7143 662
27320 7275 660
15033 7283 663
2745 7207 663
15035 7553 662
2747 7461 662
23226 7640 666
27322 7460 662
23218 7397 663
27314 7682 663
15027 7818 660
2739 7349 664
15025 7289 661
2737 7347 662
23216 7595 663
27312 7355 665
15028 7230 662
2740 7248 662
23221 7768 664
27317 7537 662
23223 7337 665
27319 7559 663
15030 7544 662
2742 7806 662
23206 7374 663
27302 7453 666
15015 7764 663
2727 7363 664
15013 7248 664
2725 7422 663
23204 7613 663
27300 7279 665
15008 7479 663
2720 7566 665
23201 7678 663
27297 7406 662
23203 7531 663
27299 7543 664
15010 7500 664
2722 7349 662
15018 7432 666
2730 7405 664
23211 7251 664
27307 7250 663
23209 7402 666
27305 7353 664
15016 7634 664
2728 7342 662
23212 7347 662
27308 7487 662
15021 7519 662
2733 7264 665
15023 7367 665
2735 7353 662
23214 7453 662
27310 7417 662
14934 7357 665
2646 7343 663
23127 7621 662
27223 7361 661
23125 7666 666
27221 7463 662
14932 7417 661
2644 7486 664
23120 7382 662
27216 7364 661
14929 7918 661
2641 7536 666
14931 7395 664
2643 7384 665
23122 7654 662
27218 7286 663
23130 7716 665
27226 7317 663
14939 7359 663
2651 7342 662
14937 7372 664
2649 7849 661
23128 8290 664
27224 7435 662
14940 7546 664
2652 7455 664
23133 7460 663
27229 7662 662
23135 7461 663
27231 7510 663
14942 7455 663
2654 7423 663
23118 7781 663
27214 7423 662
14927 7141 663
2639 7343 664
14925 7186 663
2637 7460 663
23116 7302 663
27212 7290 664
14920 7409 663
2632 7140 664
23113 7843 663
27209 7295 665
23115 7405 662
27211 7423 664
14922 7333 664
2634 7434 663
14914 7219 662
2626 7356 664
23107 7377 662
27203 7373 662
23105 7341 665
27201 7376 664
14912 8188 664
2624 7436 663
23108 7368 665
27204 7557 665
14917 7620 663
2629 7365 662
14919 7256 665
2631 7259 662
23110 7562 666
27206 7364 662
23142 7416 665
27238 7367 664
14951 7344 662
2663 7398 665
14949 7358 662
2661 7674 664
23140 7548 663
27236 7398 666
14944 7403 663
2656 7341 667
23137 7334 664
27233 7391 664
23139 7426 663
27235 7397 661
14946 7409 662
2658 7787 663
14954 7355 664
2666 7904 664
23147 7490 663
27243 7377 665
23145 7453 664
27241 7485 663
14952 7555 665
2664 7837 662
23148 7380 664
27244 7464 663
14957 7378 663
2669 7272 663
14959 7322 663
2671 7357 664
23150 7518 662
27246 7352 663
14974 7969 663
2686 7323 664
23167 7462 663
27263 7464 663
23165 7384 664
27261 7394 662
14972 7968 663
2684 7111 663
23160 8120 662
27256 7816 663
14969 7299 664
2681 7489 664
14971 7321 665
2683 7580 665
23162 7379 661
27258 7383 662
23154 7357 665
27250 7481 663
14963 7590 661
2675 7773 665
14961 7455 662
2673 7341 662
23152 8095 662
27248 7739 662
14964 7278 665
2676 7331 664
23157 7770 662
27253 7715 666
23159 7638 662
27255 7423 662
14966 7490 662
2678 7401 665
23166 7387 664
27262 7852 664
14975 7636 663
2687 7480 663
14973 7723 664
2685 7715 664
23164 7777 663
27260 7340 664
14968 7250 664
2680 7389 662
23161 7484 661
27257 7384 664
23163 7209 663
27259 7318 663
14970 7490 661
2682 7290 663
14962 7442 663
2674 7373 664
23155 7489 662
27251 7268 663
23153 7455 662
27249 7543 663
14960 7791 663
2672 7204 664
23156 7405 661
27252 7385 664
14965 7204 662
2677 7727 666
14967 7281 662
2679 7417 663
23158 7337 662
27254 7254 664
14950 7333 663
2662 7290 662
23143 7528 662
27239 7355 660
23141 7377 663
27237 7492 661
14948 7333 664
2660 8097 661
23136 7437 662
27232 7334 664
14945 7287 663
2657 7237 663
14947 7371 665
2659 7349 663
23138 7576 665
27234 7317 664
23146 7465 662
27242 7772 661
14955 7418 663
2667 7366 665
14953 7307 663
2665 7410 660
23144 7608 663
27240 7866 665
14956 7371 664
2668 7612 661
23149 7354 662
27245 7688 664
23151 7240 663
27247 7289 661
14958 7712 663
2670 7463 666
14926 7493 664
2638 7814 665
23119 7600 664
27215 7349 663
23117 7252 664
27213 7542 660
14924 7534 664
2636 7343 662
23112 7323 663
27208 7452 662
14921 7833 663
2633 8025 662
14923 7868 662
2635 7314 663
23114 8243 664
27210 7413 664
23106 7362 664
27202 7859 664
14915 7431 665
2627 7320 662
14913 7395 662
2625 7408 664
23104 7489 662
27200 7607 661
14916 7418 661
2628 7478 664
23109 7414 663
27205 7335 663
23111 7596 662
27207 7345 664
14918 7281 664
2630 7365 663
23126 7518 662
27222 7320 664
14935 7388 665
2647 7283 662
14933 7353 662
2645 7202 664
23124 7210 661
27220 7205 663
14928 7212 663
2640 7217 663
23121 7387 661
27217 7818 662
23123 7388 662
27219 7514 664
14930 7805 662
2642 7565 661
14938 7274 663
2650 7336 663
23131 7548 661
27227 7252 662
23129 7283 661
27225 7812 664
14936 7637 663
2648 7258 664
23132 7327 665
27228 7375 661
14941 7623 662
2653 7254 664
14943 7349 664
2655 7227 663
23134 8160 666
27230 7204 663
23046 7199 661
27142 7334 662
14855 8056 665
2567 7340 662
14853 7334 665
2565 7332 663
23044 7766 665
27140 7251 664
14848 7447 665
2560 7121 664
23041 7117 662
27137 7297 661
23043 7306 663
27139 7465 666
14850 7527 666
2562 7174 665
14858 7326 666
2570 7745 661
23051 7345 664
27147 7523 664
23049 7402 662
27145 7408 661
14856 7252 661
2568 7260 664
23052 7284 661
27148 7716 663
14861 7298 664
2573 7577 662
14863 7136 664
2575 7239 664
23054 7313 664
27150 7137 663
14878 7737 662
2590 7657 663
23071 7371 664
27167 7218 662
23069 7439 662
27165 7830 665
14876 7142 665
2588 7306 663
23064 7409 662
27160 7273 663
14873 7332 662
2585 7341 662
14875 7260 663
2587 7640 663
23066 7314 663
27162 7406 661
23058 7324 662
27154 10409 664
14867 7148 663
2579 7482 663
14865 7416 667
2577 7247 667
23056 7225 665
27152 7717 663
14868 7556 662
2580 7670 663
23061 7171 663
27157 7377 664
23063 7357 663
27159 7177 665
14870 7284 665
2582 7270 663
14902 7319 665
2614 8022 664
23095 7324 661
27191 7116 664
23093 7300 662
27189 7354 663
14900 7381 662
2612 7216 666
23088 7352 665
27184 7295 665
14897 7206 665
2609 7803 662
14899 7539 663
2611 7276 662
23090 7179 664
27186 7521 664
23098 7441 664
27194 7543 664
14907 7342 665
2619 7180 665
14905 7382 663
2617 7265 663
23096 7436 663
27192 7300 664
14908 7308 664
2620 7241 663
23101 7249 663
27197 7241 665
23103 7512 663
27199 7609 664
14910 7113 664
2622 7321 662
23086 7544 662
27182 7289 661
14895 7334 663
2607 7369 666
14893 7723 664
2605 7266 661
23084 7488 667
27180 7493 661
14888 7737 664
2600 7619 661
23081 7399 665
27177 7436 663
23083 7345 662
27179 7654 665
14890 7755 663
2602 7505 662
14882 7562 664
2594 7112 662
23075 7376 665
27171 7388 662
23073 7398 662
27169 7348 662
14880 7361 664
2592 7295 663
23076 7141 664
27172 7631 665
14885 7364 663
2597 7453 666
14887 7476 661
2599 8198 662
23078 7237 662
27174 7409 662
14894 7281 662
2606 7267 664
23087 7531 663
27183 7302 662
23085 8218 664
27181 7539 663
14892 7338 661
2604 7434 664
23080 7272 663
27176 7285 663
14889 7617 665
2601 7442 666
14891 7998 662
2603 7711 663
23082 7351 661
27178 7333 663
23074 7153 663
27170 7371 662
14883 7816 663
2595 7130 664
14881 7071 666
2593 7535 662
23072 7274 662
27168 7377 662
14884 8024 664
2596 7103 661
23077 7354 662
27173 7276 667
23079 7319 665
27175 7790 663
14886 7451 663
2598 7359 664
23094 7348 663
27190 7134 660
14903 7370 662
2615 7147 661
14901 7502 662
2613 7240 665
23092 7402 663
27188 7080 664
14896 7518 663
2608 7360 662
23089 7757 662
27185 7676 663
23091 7284 663
27187 7210 662
14898 7596 664
2610 7433 663
14906 7474 664
2618 7804 665
23099 7772 664
27195 7268 660
23097 7850 663
27193 7319 662
14904 7463 661
2616 7096 663
23100 7343 663
27196 7112 663
14909 7785 665
2621 7628 663
14911 7615 662
2623 7388 662
23102 7547 664
27198 7456 664
23070 7748 663
27166 7352 664
14879 7650 662
2591 7394 664
14877 7374 662
2589 7446 662
23068 7345 663
27164 7382 663
14872 7275 663
2584 7359 665
23065 7599 665
27161 7254 662
23067 7300 664
27163 7453 664
14874 7381 666
2586 7397 663
14866 7291 664
2578 7496 665
23059 7417 662
27155 7500 665
23057 7563 665
27153 7474 664
14864 8225 662
2576 7368 664
23060 7368 661
