flow_ID DPDK_proc_time frwd_proc_time
25713 8140 664
21619 6618 663
25715 7338 665
13426 4864 664
1138 4869 665
13434 6601 664
1146 6254 664
21627 7708 662
25723 6146 664
21625 7779 666
25721 6347 663
13432 5603 661
1144 5992 664
21628 7353 664
25724 6461 663
13437 4933 663
1149 7509 666
13439 6283 665
1151 5066 664
21630 5955 665
25726 7500 662
13422 6218 664
1134 5024 662
21615 4981 664
25711 5975 663
21613 7582 664
25709 7211 664
13420 5216 664
1132 4912 665
21608 4888 664
25704 4854 662
13417 5946 665
1129 6226 665
13419 4922 661
1131 4950 662
21610 5054 663
25706 5356 665
21602 7255 663
25698 7634 662
13411 6712 662
1123 7377 661
13409 11587 662
1121 5017 666
21600 4867 662
25696 4836 661
13412 5020 663
1124 7843 662
21605 7574 664
25701 6635 662
21607 7050 661
25703 7307 661
13414 6251 663
1126 4896 665
21614 5890 662
25710 5949 661
13423 7342 662
1135 6368 662
13421 7506 664
1133 6224 662
21612 6148 662
25708 4824 665
13416 4896 665
1128 5270 664
21609 5976 663
25705 7568 664
21611 4832 664
25707 4779 663
13418 4949 662
1130 7800 662
13410 7763 665
1122 6605 664
21603 5086 664
25699 4875 664
21601 4885 664
25697 4833 662
13408 6073 664
1120 7504 663
21604 7651 662
25700 7420 661
13413 6414 663
1125 5025 665
13415 5137 664
1127 5044 664
21606 4871 662
25702 7824 663
13430 5132 664
1142 4953 662
21623 6073 662
25719 7343 663
21621 5226 664
25717 4991 664
13428 5027 662
1140 4860 665
21616 6197 664
25712 7366 663
13425 4831 663
1137 4862 664
13427 6232 662
1139 7307 661
21618 4861 662
25714 5039 662
21626 7519 665
25722 5010 665
13435 5874 664
1147 4828 664
13433 5733 663
1145 4846 662
21624 4987 663
25720 4912 662
13436 5165 661
1148 5050 664
21629 4932 662
25725 5195 664
21631 4740 664
25727 4857 663
13438 4922 663
1150 4844 660
13406 4874 665
1118 5073 662
21599 5310 661
25695 5442 664
21597 8343 663
25693 6222 664
13404 5057 661
1116 6405 661
21592 6357 664
25688 5577 664
13401 5961 664
1113 6064 662
13403 6359 664
1115 6105 661
21594 4990 666
25690 4832 664
21586 5223 664
25682 4683 662
13395 4904 663
1107 4854 662
13393 4903 661
1105 4842 665
21584 7799 662
25680 4840 665
13396 6277 664
1108 7394 663
21589 4486 665
25685 4885 664
21591 5050 666
25687 4881 662
13398 4920 664
1110 4798 661
21574 5153 664
25670 4894 662
13383 4910 664
1095 5026 662
13381 5222 666
1093 4861 661
21572 4956 661
25668 4862 665
13376 5141 666
1088 5336 661
21569 4876 664
25665 6234 663
21571 6394 662
25667 5653 664
13378 6048 663
1090 4945 661
13386 4767 663
1098 4935 665
21579 4769 661
25675 4753 664
21577 4723 664
25673 5845 662
13384 4873 662
1096 5951 662
21580 6195 662
25676 4869 662
13389 5068 663
1101 4996 661
13391 5061 663
1103 4826 663
21582 5029 663
25678 4881 664
14454 5665 663
2166 7913 663
22647 5763 662
26743 5942 664
22645 6279 667
26741 4878 665
14452 4966 661
2164 4903 663
22640 5313 664
26736 5263 662
14449 4798 663
2161 4766 665
14451 4820 662
2163 5057 664
22642 4903 665
26738 4953 664
22650 4699 661
26746 5353 664
14459 6262 663
2171 6372 664
14457 4563 661
2169 7249 664
22648 4741 665
26744 4770 665
14460 4731 663
2172 4784 663
22653 5004 663
26749 4969 662
22655 4840 662
26751 4845 662
14462 4770 664
2174 4897 665
22638 6429 662
26734 5641 663
14447 4853 665
2159 4848 664
14445 5395 663
2157 4885 663
22636 5215 665
26732 4991 663
14440 4864 663
2152 4883 665
22633 4836 662
26729 4907 663
22635 5066 663
26731 4863 663
14442 5040 662
2154 5848 661
14434 4857 664
2146 4826 662
22627 4914 662
26723 6423 663
22625 5615 663
26721 6114 662
14432 4885 664
2144 5849 664
