flow_ID DPDK_proc_time frwd_proc_time
24617 7679 662
20523 7013 666
24619 4871 663
12330 6741 662
42 4846 662
12322 5125 663
34 4876 663
20515 9881 664
24611 6261 662
20513 4874 666
24609 4897 663
12320 6222 663
32 4828 661
20516 4900 663
24612 4990 663
12325 5074 666
37 4887 662
12327 5949 662
39 5470 662
20518 4989 664
24614 4823 664
12342 4844 666
54 4937 661
20535 8571 661
24631 4808 666
20533 4900 664
24629 4826 662
12340 4867 665
52 4922 662
20528 5929 662
24624 6259 663
12337 6207 664
49 5157 665
12339 7538 662
51 4900 664
20530 6009 662
24626 6225 664
20538 7067 662
24634 5146 665
12347 7979 664
59 6266 664
12345 4803 661
57 4980 663
20536 5455 662
24632 7090 663
12348 7417 665
60 6813 663
20541 4692 663
24637 4893 661
20543 4902 662
24639 4890 664
12350 6392 664
62 4981 662
12318 4993 663
30 5339 662
20511 7956 661
24607 6387 663
20509 6232 663
24605 4909 662
12316 5096 663
28 6231 662
20504 4954 663
24600 4903 662
12313 4970 664
25 5363 667
12315 5025 662
27 5973 663
20506 4863 663
24602 6607 665
20498 4816 662
24594 5048 663
12307 7948 662
19 4849 662
12305 4873 663
17 4830 665
20496 6036 664
24592 6207 664
12308 6284 661
20 4815 661
20501 5050 665
24597 4832 664
20503 5648 664
24599 5953 663
12310 6092 663
22 6268 663
20486 4867 664
24582 5331 663
12295 7474 666
7 5732 661
12293 4838 664
5 4829 662
20484 4868 665
24580 5745 663
12288 4873 664
0 4843 661
20481 4779 662
24577 5857 663
20483 6463 663
24579 4923 661
12290 7602 663
2 4822 662
12298 4923 663
10 7378 664
20491 7641 662
24587 4778 663
20489 4981 662
24585 5988 664
12296 6798 662
8 5021 665
20492 4847 662
24588 5425 665
12301 5112 665
13 5959 662
12303 6195 662
15 6376 663
20494 5115 664
24590 4794 662
20918 5021 661
25014 4902 664
12727 8982 662
439 6328 664
12725 4848 663
437 5592 663
20916 6578 663
25012 4853 662
12720 4924 664
432 4861 663
20913 5763 664
25009 4713 665
20915 4814 663
25011 4911 666
12722 4933 663
434 4790 662
12730 4730 664
442 5542 664
20923 7680 662
25019 4873 662
20921 4630 663
25017 5689 665
12728 5063 663
440 4982 662
20924 6249 666
25020 6121 663
12733 4831 663
445 4814 662
12735 5624 662
447 4846 662
20926 4886 663
25022 6300 664
12718 4572 663
430 4826 662
20911 4743 662
25007 4903 662
20909 5634 664
25005 4751 663
12716 4964 663
428 4821 664
20904 5583 663
25000 4988 663
12713 5467 662
425 5917 665
12715 4862 665
427 4991 663
20906 4936 660
25002 6689 665
20898 4471 662
24994 4803 662
12707 4954 664
419 4906 663
12705 6274 661
417 4505 663
20896 4921 662
24992 5634 664
12708 5708 666
420 4936 660
20901 4841 662
24997 4897 661
20903 4931 666
24999 6103 665
12710 4893 664
422 4875 662
12678 4926 662
390 5597 663
20871 4824 663
24967 5180 663
20869 5567 665
24965 6567 663
12676 4899 662
388 4970 665
20864 5562 664
24960 5665 663
12673 4982 663
385 4907 662
12675 4773 662
387 4722 662
20866 5612 663
24962 7431 664
20874 4799 663
24970 5646 665
12683 4838 663
395 4829 665
12681 5652 662
393 5176 665
20872 4978 662
24968 4967 660
12684 5903 664
396 5007 663
20877 4826 664
24973 5080 662
20879 4865 662
24975 4883 663
12686 4508 663
398 4843 661
20894 4839 663
24990 6474 663
12703 4694 664
415 4980 663
12701 5331 662
413 6801 663
20892 5763 663
24988 4991 664
12696 4875 663
408 5801 663
20889 5035 662
24985 4999 664
20891 4960 662
24987 5071 662
12698 4735 664
410 6291 660
12690 4411 663
402 5231 663
20883 4789 663
24979 6516 664
20881 4421 663
24977 4743 664
12688 4738 663
400 5514 661
20884 5198 660
24980 4769 664
12693 4850 665
405 5640 663
12695 4928 661
407 4960 663
20886 5171 661
24982 5726 663
12702 4864 664
414 4910 663
20895 4925 662
24991 4817 662
20893 6714 662
24989 4405 664
12700 4727 662
412 4743 663
20888 6182 661
24984 4457 661
12697 4761 663
409 4766 662
12699 6243 663
411 4654 663
20890 4770 666
24986 5057 663
20882 6207 662
24978 4743 662
12691 4913 665
403 4562 662
12689 4905 663
401 4910 664
20880 7370 662
24976 4606 662
12692 4752 664
404 4757 662
20885 6201 663
24981 4463 662
20887 4768 664
24983 4757 665
12694 7391 662
406 4429 665
20870 4755 661
24966 4862 665
12679 5708 664
391 6364 663
12677 7219 662
389 4798 663
20868 5103 663
24964 4823 662
12672 6191 663
384 5695 663
20865 6331 664
24961 4832 663
20867 4749 662
24963 7371 663
12674 4900 665
386 4895 662
12682 5704 665
394 4703 666
20875 4958 663
24971 6311 664
20873 5479 664
24969 4926 665
12680 4744 665
392 6135 665
20876 4449 665
24972 4816 664
12685 4961 663
397 6234 663
12687 4486 661
399 5044 664
20878 5015 663
24974 5756 662
20910 5996 667
25006 4874 664
12719 6516 662
431 4871 663
12717 4843 661
429 4879 663
20908 5197 662
25004 5086 663
12712 4923 665
424 4853 662
20905 4903 663
25001 5258 664
20907 4799 663
25003 4878 663
12714 6254 661
426 4652 664
12706 5088 662
418 4970 662
20899 6055 665
