flow_ID DPDK_proc_time frwd_proc_time
29589 9171 661
14100 13094 662
57 7005 663
30769 5527 662
17309 10363 664
1191 18094 661
17230 4869 662
31948 10061 666
19660 5625 662
1228 6299 664
13516 16171 666
25805 5582 663
13518 10529 663
31950 8232 662
21709 7395 663
11469 10718 666
20564 6494 665
13513 4934 665
14784 7556 662
1184 15111 665
19616 10875 664
30481 15071 664
4118 9838 662
22550 10472 663
17405 7856 663
27996 5398 664
15342 7788 664
23123 7349 666
942 4800 662
29580 4853 663
7948 4879 663
25079 4977 662
6655 5809 664
14823 5930 661
11455 7376 661
25791 4612 665
29572 7375 665
25022 10763 662
23382 4897 662
253 5509 662
21748 4609 661
19644 7315 664
18662 7807 665
4916 9995 664
12518 4485 662
24149 7491 661
25789 6254 663
28914 4869 661
6907 7983 665
762 7745 666
13222 4898 662
15332 7368 663
29668 4592 665
17382 5662 665
3044 6192 661
3046 4474 662
17380 4760 667
23525 7863 663
4437 4822 663
11001 5623 661
10438 7288 662
12494 4423 664
24774 7222 664
7430 4762 663
21766 4820 662
7430 7367 664
21766 4452 661
19719 4710 665
19719 4947 662
18547 4168 586
18545 4815 588
12403 6979 586
30835 4067 587
113 4031 588
19825 6663 665
1393 7499 664
21872 4641 666
7536 7423 662
16013 4980 664
30349 7355 663
28297 7332 665
9865 4585 664
24201 7610 667
7050 5313 665
907 7361 662
6122 4806 665
19339 5874 663
9601 4811 664
7100 5010 663
26427 7727 665
25651 6010 662
22417 6202 663
1936 5515 663
8089 7655 662
8081 5709 665
12177 7298 662
26513 5618 662
17181 4847 663
20268 7366 662
14124 7521 663
28383 7307 664
9951 6416 665
5853 9675 662
24287 5630 666
4212 7299 662
28890 6924 664
14554 7439 666
28918 6227 664
26737 6915 590
8305 4171 589
28789 5230 590
22641 6888 588
4209 6897 588
17790 4786 664
13148 5858 663
31855 7285 666
13423 4660 662
1133 4398 663
19565 7343 664
31974 4990 663
13542 4523 662
11510 7229 663
26478 5033 662
8046 7436 661
30979 4847 663
27586 7395 664
9154 4465 663
20738 7244 664
27584 6204 662
5058 4594 663
5214 4765 664
23646 7265 665
9310 4609 661
27742 7265 665
29791 9637 662
15455 4469 662
7970 4888 663
26402 7239 663
22306 7295 663
23247 7312 664
7287 7438 661
13599 4987 661
19735 4535 664
32031 7310 662
1303 4518 662
16125 6205 661
7454 5308 664
21790 7507 664
22487 4830 662
12437 7748 662
10388 7306 662
22304 5942 666
31495 5618 659
32548 7620 661
144 4511 662
775 4638 657
30040 7328 665
5905 7811 665
31032 7356 664
22273 6034 665
10977 4858 663
4382 4894 659
22814 7350 660
1325 5968 661
19757 6214 662
24436 8880 664
23504 7496 663
5185 4844 663
3136 5710 666
3776 4780 663
17361 4400 589
10102 5468 589
15424 6196 663
10102 4206 592
29257 4795 665
2635 4419 663
10487 4729 662
32090 4792 664
11611 7217 663
13658 4361 663
7515 7375 663
25947 7097 663
21851 7217 666
10500 4832 663
8183 7639 666
2976 7591 661
24561 4883 587
24561 4654 664
18558 5843 665
9856 6981 666
5762 5383 662
24194 4571 664
15280 6486 666
11594 7395 663
22485 4814 662
8149 9522 662
53 4817 662
10693 7561 664
124 4856 666
3404 7286 664
15692 7378 663
30028 5912 661
15684 6361 665
17740 7265 665
3396 4541 663
4888 7769 666
20740 7312 664
9375 5024 662
17874 7632 664
25502 8064 664
31881 5137 663
1161 7322 667
11400 4956 663
25736 7702 664
31597 4855 663
7017 7435 665
19309 4672 662
21353 7397 665
13165 7307 664
877 7419 663
18382 5312 665
7020 7617 662
21356 7663 662
11118 6986 663
11583 5334 662
21823 5165 664
21647 4671 588
21349 4890 662
11109 5634 664
25445 6281 664
11269 6140 664
21509 6177 663
32478 4837 665
17295 5186 663
17293 4743 664
2957 7297 664
29581 4398 661
15245 7261 661
22268 7370 665
7932 6306 664
4089 4893 663
9237 7405 666
15377 4583 665
5141 7372 663
27669 4600 661
23573 10088 663
17428 5799 661
20026 5782 663
13882 7329 660
1594 4532 661
7931 7332 666
26361 4456 663
15238 5100 664
29574 4554 662
17286 7347 663
15651 4797 663
27703 11292 667
9271 6169 664
25893 7403 662
7461 7389 661
21797 7755 663
1452 11128 664
29503 7807 663
2879 7422 666
17215 7422 665
14651 7775 663
10932 8193 662
25268 7952 661
7592 6990 587
11688 4200 591
26024 6984 589
21928 4443 591
7594 4122 591
28987 4599 664
20583 8254 665
6247 7474 666
22464 4826 663
12224 7457 664
8128 7388 666
10224 6428 666
11784 7388 664
6128 7340 662
22026 5155 667
8128 5051 663
22481 7146 591
12241 6997 589
24949 4846 661
6517 7341 662
26175 7359 663
32318 6366 662
9812 7619 664
24148 7882 663
3664 8724 664
32722 6969 591
18000 5509 664
32695 7504 663
14263 7379 663
6133 7267 660
675 6428 664
19412 5195 662
7550 4965 661
30594 4964 662
982 4842 662
28547 4862 661
6019 4897 661
19839 5056 662
21883 4827 666
7547 7500 666
9184 4784 663
9689 7900 663
5438 4750 612
23870 5484 612
19459 5097 667
1027 5966 667
30051 6693 662
11587 4672 615
13347 6194 589
13478 5821 615
15902 7386 663
25921 4555 614
17948 5500 665
30839 4908 665
119 4559 663
5885 6242 659
24317 9525 662
28519 4848 663
11413 4630 586
11413 4530 666
25454 7379 665
3576 5501 663
15864 7469 663
30200 5788 662
28153 6721 663
9721 7364 664
17912 4636 663
32652 8204 663
8759 4864 664
17904 7571 663
2518 4969 663
17003 5335 666
2667 4785 663
4768 4824 663
23200 7458 663
8864 6520 663
27296 7325 663
29348 4487 661
27203 7476 613
25243 7420 663
10907 7436 662
2988 4970 663
27565 4838 662
25581 4914 663
12827 4913 663
31259 7404 661
539 4584 663
15858 5103 664
13113 7478 666
30194 4529 663
31547 7309 661
13115 4535 663
19259 7340 664
11066 7625 663
9713 7227 666
6970 4365 664
827 7463 662
31550 6380 664
5617 5744 665
21998 7160 613
6975 4978 662
11071 7374 664
11069 7384 662
22582 4875 661
4150 7333 661
29527 4872 663
5955 7522 663
17247 8172 663
10059 7552 663
14335 5475 662
3126 5983 665
3577 4912 662
29197 7636 663
29535 7246 665
24943 7364 663
16909 7206 664
10607 7242 663
13272 4775 665
11225 4618 662
17592 6189 665
984 9656 662
24938 6154 665
29880 4784 667
7863 7396 662
26295 4514 661
32438 7242 664
14006 7253 664
11959 4419 663
1718 7272 665
20573 4866 662
10335 4516 662
10174 6268 666
31766 7539 665
24510 6359 590
11287 4657 664
12820 5715 662
31252 9460 661
13334 7379 664
25116 7043 588
10780 4211 588
6684 5301 590
21020 6987 584
18973 7363 662
541 4817 662
31261 7457 666
1950 4915 662
13341 7369 663
19487 7361 664
16308 7767 662
1608 4758 613
8463 7280 615
27463 7814 663
4935 5083 665
13814 6288 664
32246 5579 665
27892 5292 663
22367 4730 612
3596 4774 612
19638 5024 664
13492 7359 662
13542 7086 612
5366 7480 662
9453 4836 662
27885 4592 664
22261 6797 664
31624 4780 665
896 7083 661
24932 5224 663
27773 7282 664
24317 4519 662
28084 7711 661
15797 6690 663
30133 4912 662
17845 7189 663
30135 5519 663
3509 6649 662
17847 7303 664
12329 7194 663
682 4921 663
7886 6295 663
906 4891 662
15377 5974 661
32458 5029 663
11251 6916 665
25587 7241 663
13298 5856 662
6090 4839 665
24520 4534 664
28618 4622 662
28616 7386 663
10186 4573 663
6088 4643 666
21000 7405 664
31241 5709 663
521 6343 664
18953 5627 663
12809 7227 662
25975 4975 666
11639 7387 662
32118 7390 661
24612 4727 663
1077 5297 664
11316 4572 663
31797 5705 663
13365 6248 662
20985 7433 663
32266 7367 663
7691 7371 661
22027 4559 662
12794 7428 662
13834 7359 664
1546 7432 663
526 7708 660
18958 5989 663
31246 6254 662
31238 4911 665
12806 7521 663
19978 6160 661
17889 4867 663
3553 4467 663
12281 5126 662
26617 4917 664
7147 7357 612
32727 7340 662
2963 6035 664
17299 6187 663
21207 6355 663
6871 4619 666
26579 6059 663
14540 7338 665
8397 6201 664
28876 7350 664
2252 6282 664
31444 6433 664
19075 7407 666
16590 7572 662
7218 6337 662
21554 7544 662
31454 5984 661
21156 7385 666
10916 7433 663
734 7359 662
31452 5998 663
12950 7115 613
10918 7741 666
6807 5085 615
8884 4949 661
4788 4822 664
15999 6039 663
17210 5893 589
2874 4254 588
28560 4883 666
17697 4874 665
2468 7369 665
16804 7350 664
14756 4783 660
4517 7352 663
27040 7762 664
16801 5168 661
14594 5685 662
16640 6799 665
21437 5808 588
9289 4658 590
12128 7814 664
26669 6987 665
28318 4872 665
19658 6345 663
1226 5789 662
32199 5029 662
13767 5565 663
12485 5050 663
20621 7079 612
25734 7212 611
13038 5983 664
31470 6443 661
750 5029 664
19182 7316 663
13030 5826 661
31462 6289 663
29072 4916 663
14736 7413 663
14592 5039 664
28928 7534 662
2306 4551 664
16642 7497 664
14594 4867 663
26883 7376 663
28930 5654 662
24710 4888 664
21029 4873 666
25125 4559 661
10789 7375 663
19766 4555 588
19766 5684 663
32352 6269 665
11695 4921 664
32174 7503 661
13742 10282 663
18771 5833 664
339 6134 664
31057 7356 663
7136 5946 664
14051 6001 666
12002 6198 662
20778 4849 665
10538 4697 662
24061 4964 663
6502 7330 662
9725 7436 666
28157 6116 663
5629 6335 663
24931 7581 662
20783 5567 664
28167 9995 662
17253 4901 662
15207 7730 662
23961 5178 661
9625 5073 662
7736 7380 588
20025 4784 587
1593 4321 588
32313 4113 588
13881 4329 585
7736 6055 663
20025 6291 665
1593 7902 662
13881 4503 662
32313 7354 664
1585 4537 588
1585 5069 663
19137 4860 665
1146 7295 665
5521 7175 664
15510 4789 665
17558 4442 662
3222 7234 664
21147 4886 663
6811 7478 662
5228 6161 613
22193 4918 663
22560 6967 589
4128 4232 588
8224 4107 587
22560 4884 664
4128 4574 664
8224 7473 662
26656 6990 589
14372 4144 587
28708 4167 588
14372 7415 665
26656 5158 663
28708 9882 664
2084 7010 584
2084 7382 663
13710 6376 666
2252 6282 663
8226 5024 663
16535 4854 660
26759 5171 663
9831 4895 664
24167 5691 663
6287 6122 662
19979 4945 662
30404 5972 588
30404 7398 662
18116 6975 587
18116 7556 661
27433 7738 665
5831 6998 587
5831 10203 665
16093 7352 662
15413 4838 664
29749 7547 666
27697 5656 665
9265 6229 664
28377 7358 587
27721 4995 663
29768 7520 664
29487 6965 588
19374 7334 662
27890 7338 662
5360 7547 664
29937 4505 585
27888 4186 586
9456 6973 587
15601 6677 587
3847 6153 662
18183 6264 666
4037 5110 661
32381 5145 661
24813 7370 665
10180 4614 664
29556 7337 665
15960 5616 663
3672 5960 661
18008 6279 663
30296 7704 662
24153 7146 664
16327 7532 665
14583 7385 662
25877 4923 663
24515 6250 662
29309 7358 663
24156 7239 590
28252 4372 591
5724 4418 590
28254 7201 590
25642 5971 613
24808 6288 667
18015 7136 590
20984 4578 663
6270 7563 661
21867 7502 664
8735 5991 662
24190 7072 588
22568 4846 660
9823 9028 664
788 8014 615
10308 4989 663
3498 7104 592
21692 5374 665
7356 7511 662
1374 7455 662
20550 7553 662
18498 7554 664
24646 7527 667
6214 5634 663
25045 7204 665
30786 7428 663
4467 7561 663
1666 4896 663
20098 7456 662
17746 4835 661
19359 10593 613
11558 7279 661
21798 6169 664
1319 7256 663
25894 4435 665
21806 7704 663
