flow_ID DPDK_proc_time frwd_proc_time
22 5349 665
20486 8085 664
24582 4902 666
12295 4908 665
7 5346 663
12293 5388 663
5 5082 663
20484 5690 662
24580 5450 663
12288 4902 663
0 4856 662
20481 4866 666
24577 5144 662
20483 4971 662
24579 4806 663
12290 6455 665
2 5341 662
12298 4841 663
10 4839 663
20491 4915 663
24587 5019 664
20489 4884 660
24585 4803 665
12296 5113 661
8 5988 664
20492 4881 662
24588 4902 664
12301 4847 661
13 6146 660
12303 5998 660
15 5894 664
20494 5316 664
24590 4824 665
20918 5086 662
25014 4883 663
12727 4813 664
439 5920 663
12725 6024 664
437 7016 665
20916 5977 661
25012 7822 665
12720 5942 665
432 5956 664
20913 4906 662
25009 5997 665
20915 5214 664
25011 4824 662
12722 4836 660
434 5421 666
12730 4914 661
442 7269 662
20923 6032 662
25019 4817 664
20921 4900 663
25017 4927 662
12728 4828 662
440 5224 663
20924 4894 664
25020 4925 663
12733 4975 661
445 6654 662
12735 4837 663
447 6175 662
20926 6069 663
25022 4901 663
12718 6079 665
430 7363 664
20911 7539 665
25007 7688 663
20909 6470 664
25005 5319 666
12716 6433 665
428 5080 662
20904 6262 665
25000 4875 664
12713 5434 665
425 5018 665
12715 4909 665
427 5106 664
20906 5161 662
25002 6542 663
20898 4963 662
24994 6417 662
12707 7302 665
419 8176 664
12705 6319 663
417 7913 663
20896 5039 664
24992 5042 664
12708 4855 665
420 4937 663
20901 6521 664
24997 6389 664
20903 4812 662
24999 4887 661
12710 4801 663
422 6613 664
12678 6394 662
390 7462 661
20871 4850 663
24967 5363 663
20869 5000 662
24965 4963 661
12676 4971 665
388 5321 663
20864 4903 662
24960 5600 665
12673 5914 661
385 4969 662
12675 5299 665
387 4939 664
20866 4894 663
24962 5022 665
20874 4999 663
24970 5050 662
12683 5167 665
395 4943 660
12681 4865 663
393 7550 664
20872 4544 664
24968 5880 664
12684 4853 664
396 4849 663
20877 4998 663
24973 4917 661
20879 6450 664
24975 5631 664
12686 6210 665
398 4845 664
20894 4882 664
24990 4809 663
12703 4825 664
415 5081 665
12701 5008 665
413 6263 664
20892 5801 664
24988 5313 664
12696 5039 664
408 4835 666
20889 5197 662
24985 4794 665
20891 7369 665
24987 5833 661
12698 4733 664
410 4790 662
12690 4853 663
402 4919 662
20883 4717 665
24979 4772 664
20881 5647 662
24977 4966 663
12688 4793 665
400 4806 663
20884 4819 663
24980 6345 664
12693 6474 663
405 5826 661
