flow_ID DPDK_proc_time frwd_proc_time
27906 6526 665
15619 6854 664
3331 7424 664
15617 6047 663
3329 11161 665
23808 6006 665
27904 7343 661
15620 7338 664
3332 7293 665
23813 7183 661
27909 5886 662
23815 4759 662
27911 4880 663
15622 6111 664
3334 5970 663
23822 7398 663
27918 7778 661
15631 7336 663
3343 8978 660
15629 7315 664
3341 7550 663
23820 4897 665
27916 4862 663
15624 5061 664
3336 7856 662
23817 7427 663
27913 5147 663
23819 4972 662
27915 6071 666
15626 5980 662
3338 4889 663
15618 4852 663
3330 6278 662
23811 7413 663
27907 6610 664
23809 4830 663
27905 7749 664
15616 7334 662
3328 5941 663
23812 6110 663
27908 4733 666
15621 5948 665
3333 4879 661
15623 7307 667
3335 6049 662
23814 7335 663
27910 7381 662
15638 7372 663
3350 8685 663
23831 6250 663
27927 7309 663
23829 7530 663
27925 8368 664
15636 6464 661
3348 4880 663
23824 6295 664
27920 5144 664
15633 4896 664
3345 4920 666
15635 4597 663
3347 4973 661
23826 6142 661
27922 4748 665
23834 5009 665
27930 7556 664
15643 4870 665
3355 6377 661
15641 4952 663
3353 8210 662
23832 7472 666
27928 4840 661
15644 4817 662
3356 4865 665
23837 4896 662
27933 6361 663
23839 4899 664
27935 6234 662
15646 6132 663
3358 6128 665
15678 7402 661
3390 4852 664
23871 4823 666
27967 6721 661
23869 4816 663
27965 8565 661
15676 4860 664
3388 6290 663
23864 4945 664
27960 7629 664
15673 6029 662
3385 5432 664
15675 7318 663
3387 4858 663
23866 6389 663
27962 4850 665
23858 4877 665
27954 6309 666
15667 4887 664
3379 5145 664
15665 4891 665
3377 7675 663
23856 4966 663
27952 7171 663
15668 4966 662
23861 5932 665
27957 4926 662
23863 6036 661
27959 8447 666
15670 4987 662
3382 7368 664
23846 4899 662
27942 7470 663
15655 7483 663
3367 4841 664
15653 7361 662
3365 7119 662
23844 6291 661
27940 4845 665
15648 7707 662
3360 4726 662
27937 4661 665
23843 4966 662
27939 7295 665
15650 5088 665
3362 6940 664
