flow_ID DPDK_proc_time frwd_proc_time
23674 5195 665
32735 4882 666
9338 6817 663
11630 7377 663
19762 6198 662
13618 7974 662
20416 5083 664
14304 4526 591
2016 4205 589
32736 7231 589
1274 7468 663
20448 11342 589
22497 4365 590
31994 4937 662
13562 7449 666
19704 7321 663
10483 7815 663
26875 4890 665
18178 7356 664
3842 7850 662
16130 7322 662
24326 7606 664
9987 5609 663
30466 6190 663
14097 10962 666
26598 6122 588
9846 6390 663
15991 4608 663
18176 5065 664
23626 7352 662
21833 7369 662
18250 7511 663
23989 7291 660
2562 7511 664
32591 6981 588
5679 5060 662
17010 7508 664
22563 4922 664
4131 4579 665
31579 7361 665
19883 7423 664
4090 7415 667
13634 4901 665
2905 9758 666
17241 4658 664
11098 7433 662
2249 7386 663
7702 7470 665
30361 5647 585
3737 5934 586
3740 7127 589
30364 8094 586
6354 4552 665
24791 7466 663
214 4555 662
18646 4554 661
12502 4482 664
30934 7597 664
28951 7743 663
9885 9911 588
28317 7122 589
23828 7417 665
25765 7068 588
9885 7727 663
6930 4841 663
14937 5926 661
22574 7376 662
1792 5008 661
6750 7506 664
25182 4573 663
8030 7373 665
5664 7385 665
27631 7468 663
15089 4910 664
11524 7390 665
20479 7381 664
20415 6328 664
23280 5002 663
25259 7425 662
24292 4440 664
28584 7778 664
17786 7202 662
3450 4474 666
1868 7281 662
30140 4887 662
5560 7392 664
23992 4613 662
17852 7418 663
28088 4569 663
3516 7363 666
19702 4921 665
21751 4551 664
25764 5011 663
11428 7391 665
7334 4429 663
25766 4907 663
21670 5569 661
26121 7289 663
18516 5897 662
20565 6298 663
10237 7086 587
6141 4666 587
28661 6948 587
24565 4190 586
28669 7115 588
6133 7152 586
7829 4953 662
13972 7383 662
1684 7358 663
20116 5284 663
32404 7436 664
12736 4561 589
27981 7564 587
27981 7560 661
10732 4549 662
20972 7401 663
25068 7425 667
31213 4433 661
15520 7244 664
29856 7202 616
7259 4933 663
885 4906 661
30824 7291 661
24732 4738 667
29726 10596 662
3868 6232 662
12035 4968 665
18486 7405 663
1797 7544 660
19725 7563 665
17978 4535 589
28385 5627 666
16998 6296 662
3154 4859 664
23718 5371 666
6733 6156 663
25165 6358 661
3166 7863 664
26425 7477 662
3870 7165 589
18051 8419 663
3715 4433 664
17333 6201 660
31076 4911 666
356 4410 663
16151 7839 664
10006 4685 663
30487 7390 662
22599 7597 663
8261 4575 663
20793 4903 664
29175 7321 662
12641 4704 588
8894 7512 663
19432 4944 663
29167 7434 662
14831 4587 663
26986 5008 662
29035 6256 663
29457 6286 662
31277 7519 663
557 4547 661
1335 7523 662
29373 7389 665
25684 7580 663
23719 4818 663
5210 7092 614
5287 6116 663
25918 6333 663
7613 7490 662
26045 5665 664
994 7558 663
19996 4903 662
17665 5658 661
12312 6317 664
18664 5071 662
30490 4662 590
12522 4258 588
24750 4941 664
15786 4874 663
22291 4935 665
28075 5824 587
26387 4562 588
23979 4564 591
14103 6175 588
1815 6128 588
32535 5944 589
9646 4098 589
15791 6668 587
31084 7025 590
854 5152 664
19286 5727 662
17847 7411 661
3511 4395 666
5558 4434 664
23990 7226 662
28086 4412 662
9654 4563 664
2623 5961 662
14911 6695 663
4655 4517 662
16959 7340 662
8552 4713 662
29693 5015 664
27644 4576 662
27646 7668 662
23548 7539 662
5116 4966 662
9212 7507 663
6389 4982 664
29408 5266 662
15072 4552 662
8929 7365 663
28377 5004 591
24067 4947 588
17240 7887 664
4741 7026 586
30869 5090 666
21864 5220 663
7528 5035 666
19086 10784 661
26607 6609 663
13749 4369 587
13749 7627 662
1376 6409 662
17911 6336 663
28161 6461 662
9950 7268 587
8425 5991 663
3123 5236 662
12290 7472 666
24781 4948 661
8843 7382 661
18545 5040 666
13870 7476 664
28588 4894 661
26065 11851 664
10611 7349 665
28164 7348 663
9274 5120 664
24068 7335 663
24380 7530 663
11680 6199 663
20798 7413 664
28721 7502 665
15248 6728 664
30023 7398 665
3399 4560 662
29929 7341 660
15939 4556 662
9799 7431 661
11443 7069 590
2705 7320 663
31295 4991 663
25950 7552 662
22971 5567 662
19191 4774 665
25957 7724 661
3584 5900 588
28076 5922 663
27457 6446 664
20773 7856 664
16406 7573 661
11734 7703 664
5469 5047 663
12158 5191 663
16550 6333 663
24515 5006 662
1518 6531 663
9915 4894 663
7428 7581 663
29666 4625 666
8577 7383 663
25862 4523 590
27617 5288 590
12518 5197 664
30950 4631 588
31465 7339 663
30485 7433 662
5667 4531 589
24099 4722 590
17959 4454 588
3623 4250 588
30247 4744 590
26543 4868 661
29900 5008 666
3276 4591 661
15564 5664 662
17612 7305 665
15566 5742 664
29902 6269 661
20704 4787 590
28006 5586 662
30055 7832 665
30744 7425 661
9644 7422 665
28076 7129 663
22658 7568 664
22160 5880 587
22160 4566 666
30155 7818 666
15819 5823 663
17867 7408 664
24010 7329 661
28106 7344 662
9674 4539 662
29576 7394 666
13719 4862 661
24008 7585 663
16128 6391 665
14684 7506 664
2444 4512 586
2444 5532 660
22934 7045 588
12372 7376 664
6030 7828 665
18100 7423 666
26062 7518 664
19072 7705 663
13775 5949 586
1940 7364 662
1487 7654 588
19919 4869 587
13773 4534 587
32205 7083 588
20535 5169 666
14495 4925 663
617 4904 663
8984 8127 591
21767 5847 664
18329 6956 663
24541 7633 665
32419 7543 660
5928 7609 665
13757 7428 664
14903 6007 662
5213 7543 664
1635 5596 662
32285 6395 664
5916 4972 662
21950 5315 664
28780 7302 664
15935 7465 664
1518 5617 589
19950 5903 587
13806 4352 587
26090 4173 599
32238 4170 586
22786 4886 664
25023 7392 662
31166 7411 662
24382 7413 663
3635 5914 589
30259 5819 590
27410 6267 662
4880 4563 663
5645 7722 664
14956 5765 664
23981 7335 663
11705 4584 591
11303 8858 664
27969 7386 662
13614 5504 665
1571 7558 663
3942 8471 661
12734 8841 662
2066 4772 663
2062 6493 663
30251 7458 664
3627 7445 664
22658 7521 664
3627 2393178 663
3646 1317347 591
16100 1301352 588
2744 1262345 663
4279 4923 664
13664 6331 665
16566 7377 662
16718 5118 664
27012 7399 666
27336 7537 666
8904 4866 663
7513 8751 663
27532 5991 665
29581 6367 661
5260 7475 665
23692 4584 662
9356 4603 661
27790 9740 666
22234 4922 663
11874 7478 662
26210 4619 663
32355 7608 663
13923 7436 665
20067 7542 664
7041 7574 663
19337 7417 664
21377 5023 663
23431 8038 663
26323 4911 663
32466 7484 663
13930 7345 662
31820 7469 663
29830 7803 665
11600 7400 663
7504 7885 663
32526 7425 664
9187 4906 665
15330 4587 664
2585 6689 663
29209 4534 661
5817 4882 663
1247 7397 666
1869 6242 664
10872 6661 663
25208 6302 664
11486 7440 661
26460 7315 664
29931 8326 664
25216 5109 667
28235 4923 664
16454 7380 664
224 7439 665
6369 5055 664
20518 7459 663
8263 6503 662
510 4907 666
18942 5679 661
17981 7081 588
18151 4382 590
15035 7285 665
23694 4939 590
10520 5075 666
712 6475 664
31432 4785 615
13000 7098 616
19146 6072 615
714 7373 664
31434 4560 661
13002 7301 662
19371 7117 586
13227 4304 587
939 4182 586
19371 7545 662
13227 7839 662
939 7383 665
19123 7262 615
30392 7474 667
11250 5593 586
11250 7497 663
2420 7329 661
21124 7583 662
25981 7463 661
24003 5043 664
15107 6951 586
8565 7127 585
22903 4179 587
31596 5916 664
6078 6149 664
27814 5690 662
21837 7462 662
13200 4398 664
11619 7196 662
18806 7331 663
20945 4940 663
29255 4527 662
4360 7428 663
23667 7470 663
3537 5236 661
24295 7632 664
21372 7291 660
17520 7734 664
9959 6146 663
2315 4878 661
12181 5181 664
1574 6266 662
7719 4702 661
6740 4893 663
5681 4749 664
24113 7272 663
3637 4842 664
17973 7388 662
17370 7420 664
7519 7430 663
20600 6011 663
19186 6217 665
31940 7437 662
13508 4557 586
19026 5561 663
12663 4832 663
21167 7271 663
10927 7257 663
25263 7722 662
12974 6075 663
31406 7377 660
19118 7390 663
12890 7790 590
12966 4849 663
3620 5659 593
18174 5420 588
29346 7511 664
12216 7343 662
22458 4800 664
15510 7373 663
26804 4985 662
28543 7255 663
14517 7404 663
16565 8756 663
2229 5840 663
8369 6159 662
22708 7494 666
28853 12502 665
26801 6387 661
12316 7472 663
10484 7736 666
12533 4667 663
22175 7938 661
5338 7425 661
26271 7419 663
4056 4948 662
14810 7413 663
16858 6028 663
32458 7396 663
1448 4868 661
22660 4858 663
13831 5949 664
7092 6796 662
18586 8293 660
430 7357 663
28381 7427 663
8049 7480 666
22269 7380 666
25043 5064 664
17877 6264 663
25733 7633 661
32374 4874 664
31671 7340 663
24287 4660 663
21995 4956 661
13413 6279 664
16760 5728 663
29662 6449 664
15428 4922 665
20005 7337 665
16744 9209 663
20114 4803 664
4834 5571 662
2787 4436 663
17123 6942 588
15075 4169 591
4300 7420 660
29411 7079 587
2785 4209 587
10050 4859 664
28482 5037 664
31536 7527 665
30531 7267 665
3907 5062 664
31544 7417 660
14708 7541 666
9465 9571 664
21172 7301 664
9676 7743 665
4469 7137 615
6398 7328 664
1432 7298 663
13903 7384 664
4406 7437 663
19063 7411 660
7741 4998 662
18506 8064 664
32105 6176 663
16201 7357 665
10061 4547 662
20122 7377 665
5303 7406 662
1459 5719 664
23930 5561 663
31934 7181 662
14072 7332 663
2732 4434 664
5135 4736 662
10771 7228 663
6675 4520 666
25107 4503 661
21011 4432 662
26148 6966 662
30893 7804 664
681 5877 663
20789 6279 664
6453 7401 663
10549 4574 660
15655 9644 664
26317 7511 662
32460 7369 662
20172 7388 661
14028 4438 662
2413 7474 661
27098 7344 663
15726 7465 664
9382 5388 589
26773 7501 664
25332 6075 663
10996 6328 662
25676 7358 663
17951 6103 591
18117 4231 591
15001 5072 662
24260 4704 591
23192 6170 661
23724 6902 590
10568 7401 666
1408 4852 663
32130 7563 663
28643 4885 661
31679 4998 663
5211 7169 611
25985 4509 588
6729 4947 662
25161 5017 588
13010 6294 662
19162 7422 664
31442 7559 664
722 5547 663
31623 5896 663
25478 6239 660
29993 4525 665
3369 7273 662
16968 4918 666
1418 4605 590
29258 5626 589
2634 4976 586
16970 4485 587
23115 4227 589
11696 4794 664
21936 5758 663
7600 6262 663
14887 5018 664
23852 7279 662
5420 4612 661
9516 5644 663
29997 6168 665
27948 4657 662
15661 4578 665
29223 7495 663
8742 4726 664
27174 7291 664
23078 7489 665
4646 7528 661
15714 7487 661
17709 7485 662
25513 6254 663
11177 6989 589
13703 7511 663
11948 6723 663
31008 4875 665
11979 6419 664
26315 4606 665
27260 4593 663
9353 5046 664
22217 5470 665
11867 4850 662
26203 5692 664
13914 6255 664
28998 5008 663
27905 5955 662
23809 6258 664
21875 4575 662
5377 5631 665
26946 5254 663
8514 7404 665
4418 8222 663
2371 6406 663
22850 7347 665
17306 7485 663
15250 5386 663
2970 7342 664
2168 7408 663
22649 4578 663
26745 5645 663
16504 6256 663
28792 4557 663
4217 7531 663
22632 7441 662
16489 7377 664
4200 4575 665
2153 5784 663
24931 5042 667
10595 6225 664
20833 6450 662
6497 5594 666
24929 6519 665
10593 7481 663
4768 7369 663
23200 4555 662
8864 4505 661
17073 7461 662
1705 7322 664
12413 7390 666
20604 7391 664
10364 4657 663
18557 8155 664
125 7428 661
6268 7330 666
18664 4968 663
12522 6315 665
30954 7353 661
1540 7939 664
7685 4826 662
19972 7868 664
11781 7459 663
22021 7330 665
14152 7140 663
9866 4552 592
25126 4582 662
7402 7425 663
23254 7372 665
9413 4494 590
14242 7445 663
29004 11416 664
3299 6211 589
32042 5392 663
25897 7457 662
23908 7527 664
10129 6535 663
16272 7485 663
30608 7377 664
3835 7456 664
20959 7443 664
10976 4806 662
26855 6288 663
26161 4478 667
1584 4521 665
7729 7438 662
20016 4713 661
22065 4395 666
23629 4892 663
15797 4502 663
14368 7249 663
8225 4478 666
28704 4497 664
26657 7250 662
16416 7427 661
2080 4510 663
1586 7364 662
5767 5768 589
29828 4995 664
25829 4491 589
9863 6924 589
15066 5630 662
16006 7350 590
16711 4871 663
30340 8076 663
1566 5784 663
17114 6182 666
26330 5039 666
28127 5070 663
5765 7026 588
18147 9226 666
27893 4768 614
1021 5418 663
32283 7046 587
3713 4248 589
23260 5931 592
16727 7356 662
23889 4493 587
5457 4251 587
5762 4392 591
7694 7484 664
24612 7547 663
27206 6183 662
14919 4467 663
8774 5567 662
2631 5052 662
18991 5672 586
15493 6089 612
26508 4539 663
18991 4897 614
26365 4561 589
22615 4781 665
10461 4911 663
5615 7554 664
26863 4617 664
25796 7575 663
11052 5026 664
4133 5344 615
18447 6430 666
12303 4545 588
16309 4875 663
30645 5036 662
18357 7466 664
24000 7470 662
27610 7346 665
5082 7485 666
22050 5111 665
17145 7833 661
7219 5016 663
2221 6164 665
27172 8108 663
21553 7005 590
7217 4211 589
25649 4102 591
11313 4344 590
13360 4522 591
15323 7426 664
26165 4787 665
17591 7298 664
22399 5002 662
18378 7582 662
12338 8174 663
12113 6454 663
4262 7365 663
2215 4574 663
16551 7347 664
13434 6241 662
31866 7420 663
2302 10140 665
31651 6414 664
8781 7625 664
1958 6141 663
26788 7019 589
30600 5643 663
18312 4528 589
3976 4711 589
6028 7196 589
24460 4173 591
10124 7345 590
28556 5586 590
1879 6239 662
10181 7262 662
11880 4884 662
26216 7298 662
30239 4794 662
20809 7437 664
16885 5779 588
16885 4477 664
20017 5673 590
18091 7116 589
29431 7308 661
18550 7432 663
118 7259 662
1824 7289 663
29852 5996 613
15745 5561 663
16923 4801 662
17793 4615 590
5243 4255 588
12003 4870 665
9180 7821 662
11896 5922 664
26232 6240 664
32377 5590 664
7049 4967 662
32220 4606 612
8867 5031 662
1883 5733 665
28309 7440 666
2648 7334 663
26406 7071 588
30609 7534 664
145 4102 611
8279 6221 662
23659 7356 665
22613 7339 665
26456 4676 588
16060 9352 662
5495 4906 664
28819 6147 663
28557 6374 662
32601 6623 591
26737 7520 662
17089 4938 661
1873 4512 589
16539 5567 588
6978 4868 661
835 7437 661
19267 4869 665
7433 4951 662
25867 7407 662
21769 4582 663
32675 4833 586
1955 7010 587
32675 7545 664
1955 4536 662
22434 7680 588
7435 4621 665
22434 7369 664
16053 7677 588
13871 4225 587
2793 8051 663
22620 7345 660
27591 7290 661
14389 6320 664
20680 7587 664
10321 4795 665
19610 7382 664
12334 5191 590
24879 10106 667
1576 4146 590
32296 4118 590
29785 5009 662
13355 5570 663
31486 7255 664
30946 7265 663
19582 4111 588
19582 6301 663
18068 7204 662
24220 6116 589
9884 6007 589
5788 4326 590
3741 4224 590
25970 5016 662
7061 6347 662
22546 7271 662
3559 6214 661
19255 6978 662
28358 4947 661
28344 6875 589
29975 6144 666
21815 4396 589
7390 4834 666
21726 5709 664
23754 7317 664
5322 7481 665
27850 7779 663
9418 4764 665
15563 7406 663
29899 4839 663
11112 7400 663
12305 7704 663
18451 7399 662
22405 9449 666
27105 6829 663
12466 7309 663
31343 8164 661
12911 7311 663
19365 7297 662
31398 4993 662
7608 7290 664
23987 7427 664
15448 7247 665
1932 6003 664
11152 7887 664
4012 4815 664
30636 4623 662
10456 7241 663
20698 4624 664
32510 9153 664
16871 7372 663
24938 6416 662
12651 7334 664
31083 4454 663
11705 5755 663
6615 4677 662
467 7517 664
14015 7482 663
14727 5691 615
22085 5701 662
13529 7789 665
9599 7391 588
