flow_ID DPDK_proc_time frwd_proc_time
25968 5175 664
13684 6215 665
1396 5488 664
21877 4869 663
25973 4923 663
21879 11806 663
25975 6409 664
13686 6316 662
1398 4686 663
21886 7372 661
25982 7312 665
13695 4660 663
1407 4846 663
13693 5045 664
1405 4858 662
21884 7116 662
25980 6269 662
13688 7323 662
1400 7413 666
21881 6393 662
25977 7490 665
21883 9888 663
25979 5737 661
13690 6148 664
1402 5385 662
13682 4861 664
1394 5985 664
21875 7498 665
25971 7357 665
21873 7444 665
25969 7383 663
13680 5994 664
1392 5037 663
21876 5036 664
25972 5087 664
13685 5036 662
1397 4937 663
13687 7467 665
1399 6300 660
21878 4877 660
25974 4852 663
13670 6561 662
1382 7501 664
21863 7343 664
25959 7540 662
21861 5980 664
25957 7325 663
13668 4941 665
1380 6338 663
21856 5353 664
25952 6121 662
13665 7476 661
1377 5056 662
13667 10805 663
1379 6417 663
21858 4866 663
25954 4926 665
21866 4844 664
25962 4926 663
13675 7753 663
1387 7516 665
13673 7389 661
1385 5520 663
21864 6276 661
25960 7421 664
13676 7517 664
1388 6107 663
21869 4874 661
25965 7173 663
21871 7366 661
25967 4941 663
13678 5972 663
1390 5699 665
13646 7386 663
1358 4872 661
21839 5144 663
25935 5067 664
21837 7341 663
25933 4843 664
13644 4895 663
1356 6006 661
21832 5531 664
25928 4917 664
13641 5602 662
1353 4902 664
13643 7803 665
1355 6282 662
21834 4979 667
25930 4918 663
21826 6312 662
25922 4929 663
13635 4841 664
1347 4901 663
13633 6129 663
1345 6081 665
21824 6091 662
25920 5861 664
13636 4912 663
1348 4848 663
21829 4895 664
25925 5043 663
21831 9711 663
25927 7356 664
13638 7406 663
1350 7423 664
21846 5620 664
25942 7251 661
13655 4879 664
1367 6365 661
13653 4859 665
1365 5000 663
21844 4974 664
25940 6282 661
13648 9182 662
1360 6311 662
21841 7049 663
25937 5140 662
21843 7255 662
25939 5104 667
13650 5024 664
1362 5056 663
13658 7410 665
1370 7630 662
21851 5998 665
